nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2113, 1483, 688, 472, 657, 480, 
1, 2108, 1489, 662, 477, 680, 482, 
2, 2115, 1484, 658, 486, 687, 476, 
3, 2101, 1483, 663, 483, 678, 465, 
4, 2107, 1476, 686, 481, 670, 491, 
5, 2112, 1493, 679, 473, 671, 490, 
6, 2103, 1486, 663, 481, 680, 468, 
7, 2105, 1474, 652, 494, 687, 466, 
8, 2110, 1488, 699, 484, 659, 501, 
9, 2105, 1484, 683, 477, 695, 475, 
10, 2099, 1497, 684, 483, 674, 477, 
11, 2106, 1489, 694, 467, 660, 487, 
12, 2099, 1481, 656, 485, 680, 481, 
13, 2103, 1482, 690, 468, 677, 481, 
14, 2110, 1478, 669, 477, 678, 470, 
15, 2100, 1482, 670, 487, 699, 474, 
16, 2098, 1473, 704, 466, 663, 484, 
17, 2110, 1473, 653, 493, 694, 475, 
18, 2110, 1483, 685, 477, 657, 498, 
19, 2111, 1489, 647, 501, 677, 478, 
20, 2111, 1476, 686, 485, 668, 476, 
21, 2096, 1477, 683, 470, 673, 479, 
22, 2102, 1492, 695, 465, 661, 487, 
23, 2104, 1480, 692, 472, 653, 500, 
24, 2105, 1486, 661, 487, 693, 473, 
25, 2092, 1486, 658, 485, 693, 479, 
26, 2112, 1493, 663, 497, 675, 468, 
27, 2096, 1485, 667, 481, 694, 473, 
28, 2107, 1466, 663, 495, 688, 473, 
29, 2097, 1478, 691, 465, 670, 493, 
30, 2098, 1487, 691, 466, 665, 478, 
31, 2103, 1481, 674, 469, 689, 482, 
32, 2103, 1471, 678, 483, 698, 485, 
33, 2099, 1489, 658, 494, 681, 483, 
34, 2107, 1496, 681, 470, 671, 490, 
35, 2111, 1468, 703, 481, 670, 481, 
36, 2111, 1481, 664, 480, 690, 479, 
37, 2103, 1479, 677, 477, 678, 472, 
38, 2112, 1487, 690, 470, 665, 487, 
39, 2107, 1473, 703, 467, 672, 478, 
40, 2109, 1481, 671, 478, 690, 471, 
41, 2097, 1479, 690, 479, 668, 484, 
42, 2110, 1493, 685, 480, 675, 492, 
43, 2102, 1491, 682, 476, 659, 485, 
44, 2113, 1475, 665, 490, 675, 481, 
45, 2112, 1477, 696, 473, 677, 477, 
46, 2110, 1497, 686, 484, 675, 480, 
47, 2112, 1485, 668, 479, 679, 477, 
48, 2112, 1490, 667, 475, 688, 472, 
49, 2111, 1467, 684, 469, 669, 497, 
50, 2114, 1491, 681, 482, 665, 499, 
51, 2095, 1497, 667, 481, 680, 479, 
52, 2100, 1485, 661, 493, 686, 467, 
53, 2105, 1485, 657, 493, 683, 482, 
54, 2106, 1472, 669, 486, 687, 471, 
55, 2104, 1466, 647, 501, 683, 466, 
56, 2096, 1473, 667, 482, 689, 483, 
57, 2108, 1483, 663, 481, 686, 472, 
58, 2108, 1477, 701, 471, 667, 490, 
59, 2102, 1480, 678, 482, 663, 498, 
60, 2107, 1466, 677, 472, 671, 479, 
61, 2108, 1466, 673, 482, 663, 500, 
62, 2106, 1477, 673, 486, 677, 474, 
63, 2112, 1496, 680, 484, 677, 477, 
64, 2110, 1482, 670, 468, 659, 485, 
65, 2097, 1486, 686, 474, 672, 480, 
66, 2113, 1486, 680, 472, 675, 488, 
67, 2107, 1481, 661, 490, 696, 476, 
68, 2105, 1485, 672, 485, 684, 478, 
69, 2112, 1467, 675, 482, 664, 478, 
70, 2106, 1475, 666, 498, 688, 478, 
71, 2109, 1479, 666, 481, 688, 477, 
72, 2100, 1470, 686, 484, 673, 481, 
73, 2109, 1463, 679, 481, 658, 483, 
74, 2110, 1479, 667, 482, 684, 477, 
75, 2110, 1482, 684, 481, 665, 479, 
76, 2107, 1480, 681, 472, 675, 475, 
77, 2112, 1479, 665, 486, 674, 474, 
78, 2103, 1501, 673, 475, 680, 466, 
79, 2106, 1483, 669, 470, 680, 486, 
80, 2107, 1482, 678, 471, 671, 480, 
81, 2112, 1498, 683, 479, 672, 482, 
82, 2109, 1471, 659, 482, 696, 470, 
83, 2106, 1494, 653, 488, 685, 469, 
84, 2106, 1483, 651, 494, 698, 483, 
85, 2108, 1489, 693, 477, 680, 481, 
86, 2110, 1490, 664, 483, 682, 469, 
87, 2104, 1489, 669, 491, 687, 481, 
88, 2114, 1471, 668, 490, 671, 479, 
89, 2107, 1476, 689, 480, 657, 479, 
90, 2102, 1472, 677, 473, 692, 478, 
91, 2102, 1474, 672, 472, 685, 478, 
92, 2100, 1481, 688, 485, 676, 469, 
93, 2097, 1486, 685, 467, 661, 485, 
94, 2105, 1474, 647, 494, 688, 467, 
95, 2111, 1490, 688, 473, 657, 484, 
96, 2110, 1488, 686, 482, 665, 500, 
97, 2104, 1487, 696, 465, 664, 477, 
98, 2109, 1494, 660, 478, 693, 476, 
99, 2106, 1496, 680, 472, 684, 473, 
100, 2110, 1489, 674, 473, 691, 470, 
101, 2094, 1490, 671, 478, 681, 471, 
102, 2109, 1485, 691, 466, 673, 487, 
103, 2100, 1492, 665, 486, 700, 475, 
104, 2095, 1492, 675, 491, 690, 484, 
105, 2111, 1498, 663, 474, 689, 474, 
106, 2112, 1467, 659, 491, 695, 483, 
107, 2102, 1485, 668, 479, 694, 467, 
108, 2097, 1466, 649, 490, 695, 484, 
109, 2114, 1492, 679, 477, 665, 493, 
110, 2109, 1461, 694, 472, 662, 487, 
111, 2102, 1478, 666, 488, 696, 472, 
112, 2110, 1485, 682, 481, 677, 491, 
113, 2105, 1487, 682, 473, 655, 478, 
114, 2106, 1468, 673, 479, 675, 470, 
115, 2097, 1489, 682, 479, 654, 491, 
116, 2097, 1490, 685, 466, 672, 490, 
117, 2111, 1470, 667, 486, 686, 481, 
118, 2110, 1482, 683, 484, 670, 490, 
119, 2108, 1482, 656, 482, 702, 475, 
120, 2103, 1485, 676, 472, 654, 496, 
121, 2106, 1484, 674, 481, 681, 478, 
122, 2110, 1499, 675, 484, 662, 496, 
123, 2100, 1493, 665, 488, 673, 466, 
