nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2094, 483, 679, 737, 
1, 2105, 484, 671, 733, 
2, 2090, 467, 670, 735, 
3, 2090, 481, 667, 749, 
4, 2100, 472, 676, 737, 
5, 2091, 483, 680, 732, 
6, 2100, 470, 680, 748, 
7, 2092, 475, 685, 745, 
8, 2091, 475, 673, 747, 
9, 2091, 473, 672, 743, 
10, 2107, 476, 684, 740, 
11, 2102, 485, 665, 731, 
12, 2096, 475, 676, 737, 
13, 2099, 467, 682, 743, 
14, 2102, 473, 682, 747, 
15, 2101, 466, 685, 734, 
16, 2103, 484, 677, 745, 
17, 2110, 485, 682, 747, 
18, 2091, 467, 670, 734, 
19, 2109, 469, 670, 747, 
20, 2091, 480, 670, 731, 
21, 2100, 469, 665, 741, 
22, 2096, 479, 667, 744, 
23, 2101, 484, 678, 740, 
24, 2100, 485, 668, 740, 
25, 2098, 475, 684, 744, 
26, 2105, 473, 671, 745, 
27, 2098, 481, 678, 738, 
28, 2101, 467, 675, 732, 
29, 2099, 475, 666, 740, 
30, 2109, 475, 674, 738, 
31, 2098, 484, 676, 743, 
32, 2110, 475, 683, 744, 
33, 2108, 485, 666, 736, 
34, 2096, 473, 685, 750, 
35, 2107, 483, 682, 733, 
36, 2098, 465, 677, 734, 
37, 2105, 478, 673, 742, 
38, 2101, 470, 665, 743, 
39, 2106, 484, 673, 738, 
40, 2090, 481, 672, 731, 
41, 2095, 470, 680, 749, 
42, 2104, 480, 685, 732, 
43, 2098, 485, 676, 750, 
44, 2108, 470, 676, 737, 
45, 2096, 470, 667, 732, 
46, 2095, 485, 676, 742, 
47, 2107, 465, 679, 741, 
48, 2108, 478, 674, 737, 
49, 2095, 479, 681, 747, 
50, 2094, 466, 680, 732, 
51, 2106, 474, 675, 744, 
52, 2104, 480, 667, 750, 
53, 2092, 479, 679, 736, 
54, 2109, 480, 683, 749, 
55, 2098, 465, 668, 750, 
56, 2108, 482, 666, 746, 
57, 2095, 483, 675, 735, 
58, 2097, 479, 676, 742, 
59, 2101, 476, 670, 749, 
60, 2093, 474, 680, 747, 
61, 2093, 474, 678, 744, 
62, 2109, 476, 677, 741, 
