nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 479, 666, 750, 
1, 2102, 468, 666, 731, 
2, 2090, 485, 683, 741, 
3, 2092, 480, 684, 741, 
4, 2100, 479, 667, 743, 
5, 2104, 471, 681, 742, 
6, 2100, 480, 665, 739, 
7, 2107, 475, 671, 733, 
8, 2106, 471, 684, 739, 
9, 2108, 481, 674, 731, 
10, 2101, 477, 681, 733, 
11, 2097, 473, 680, 745, 
12, 2104, 472, 679, 734, 
13, 2098, 465, 676, 732, 
14, 2090, 478, 670, 735, 
15, 2098, 473, 669, 750, 
16, 2093, 474, 675, 733, 
17, 2091, 466, 684, 735, 
18, 2099, 483, 667, 741, 
19, 2098, 466, 683, 740, 
20, 2099, 467, 674, 734, 
21, 2101, 479, 665, 737, 
22, 2096, 468, 665, 739, 
23, 2093, 470, 669, 742, 
24, 2101, 479, 671, 749, 
25, 2110, 469, 671, 737, 
26, 2105, 480, 680, 734, 
27, 2096, 471, 679, 730, 
28, 2104, 474, 676, 739, 
29, 2100, 474, 666, 731, 
30, 2107, 480, 676, 748, 
31, 2095, 472, 673, 749, 
32, 2105, 479, 680, 732, 
33, 2108, 472, 682, 748, 
34, 2094, 466, 672, 747, 
35, 2092, 484, 676, 749, 
36, 2110, 482, 665, 740, 
37, 2098, 465, 670, 738, 
38, 2103, 480, 684, 736, 
39, 2097, 484, 673, 733, 
40, 2096, 473, 670, 739, 
41, 2103, 465, 666, 734, 
42, 2092, 473, 682, 730, 
43, 2093, 467, 683, 750, 
44, 2099, 482, 666, 734, 
45, 2097, 476, 674, 742, 
46, 2094, 483, 677, 743, 
47, 2098, 472, 681, 749, 
48, 2100, 482, 673, 740, 
49, 2103, 469, 680, 747, 
50, 2092, 479, 679, 740, 
51, 2097, 472, 667, 730, 
52, 2109, 485, 666, 738, 
53, 2105, 481, 678, 730, 
54, 2091, 477, 680, 748, 
55, 2093, 474, 665, 742, 
56, 2104, 478, 667, 745, 
57, 2094, 480, 672, 748, 
58, 2104, 477, 666, 746, 
59, 2098, 472, 665, 746, 
60, 2099, 475, 675, 737, 
61, 2097, 485, 683, 737, 
62, 2102, 468, 683, 737, 
63, 2110, 484, 673, 749, 
64, 2095, 465, 684, 741, 
65, 2106, 476, 670, 734, 
66, 2099, 469, 679, 750, 
67, 2091, 475, 676, 743, 
68, 2092, 471, 665, 744, 
69, 2098, 482, 671, 742, 
70, 2107, 470, 680, 744, 
71, 2094, 483, 680, 750, 
72, 2098, 479, 675, 739, 
73, 2093, 478, 665, 732, 
74, 2094, 468, 681, 741, 
75, 2104, 473, 669, 745, 
76, 2102, 471, 673, 734, 
77, 2110, 468, 665, 744, 
78, 2099, 471, 676, 739, 
79, 2091, 465, 678, 740, 
80, 2108, 473, 675, 750, 
81, 2093, 468, 680, 743, 
82, 2090, 470, 679, 750, 
83, 2090, 473, 684, 737, 
84, 2098, 473, 685, 747, 
85, 2110, 485, 671, 735, 
86, 2098, 478, 669, 737, 
87, 2103, 469, 675, 734, 
88, 2102, 484, 670, 749, 
89, 2097, 465, 674, 742, 
90, 2103, 481, 685, 732, 
91, 2106, 485, 680, 739, 
92, 2107, 482, 672, 731, 
93, 2107, 482, 670, 746, 
94, 2102, 465, 679, 740, 
95, 2104, 475, 677, 736, 
96, 2104, 478, 668, 746, 
97, 2101, 483, 672, 730, 
98, 2091, 470, 678, 731, 
99, 2098, 466, 680, 745, 
100, 2110, 471, 673, 743, 
101, 2106, 481, 667, 750, 
102, 2109, 482, 678, 748, 
103, 2105, 479, 667, 732, 
104, 2100, 479, 682, 734, 
105, 2092, 477, 680, 741, 
106, 2103, 484, 674, 733, 
107, 2101, 485, 681, 741, 
108, 2098, 478, 675, 738, 
109, 2097, 484, 666, 735, 
110, 2110, 477, 676, 730, 
111, 2108, 482, 670, 733, 
112, 2109, 484, 670, 743, 
113, 2098, 479, 675, 738, 
114, 2110, 468, 677, 748, 
115, 2106, 467, 678, 746, 
116, 2105, 472, 678, 732, 
117, 2106, 474, 668, 737, 
118, 2109, 468, 679, 747, 
119, 2103, 477, 681, 733, 
120, 2098, 471, 666, 747, 
121, 2110, 484, 673, 735, 
122, 2090, 469, 675, 747, 
123, 2090, 485, 681, 742, 
124, 2097, 473, 668, 748, 
125, 2099, 467, 669, 737, 
126, 2097, 482, 665, 741, 
127, 2098, 470, 681, 746, 
128, 2104, 467, 683, 740, 
129, 2108, 472, 683, 730, 
130, 2101, 476, 671, 744, 
131, 2106, 470, 668, 739, 
132, 2109, 467, 667, 743, 
133, 2105, 471, 681, 744, 
134, 2106, 479, 680, 742, 
135, 2092, 484, 676, 745, 
136, 2100, 481, 682, 742, 
137, 2100, 484, 666, 746, 
138, 2094, 472, 676, 734, 
139, 2095, 482, 671, 746, 
140, 2093, 477, 667, 730, 
141, 2097, 466, 676, 748, 
142, 2097, 467, 668, 735, 
143, 2107, 469, 665, 748, 
144, 2103, 470, 679, 746, 
145, 2092, 485, 674, 733, 
146, 2099, 470, 669, 744, 
147, 2091, 476, 666, 734, 
148, 2098, 483, 665, 743, 
149, 2090, 481, 672, 731, 
150, 2100, 481, 667, 730, 
151, 2094, 481, 678, 743, 
152, 2108, 469, 669, 736, 
153, 2106, 481, 684, 748, 
154, 2103, 477, 676, 747, 
155, 2091, 467, 684, 731, 
156, 2093, 477, 678, 735, 
157, 2107, 478, 678, 741, 
158, 2104, 483, 676, 749, 
159, 2092, 481, 674, 742, 
160, 2094, 475, 675, 733, 
161, 2104, 474, 670, 746, 
162, 2100, 465, 678, 745, 
163, 2108, 466, 677, 737, 
164, 2104, 480, 669, 740, 
165, 2107, 469, 671, 733, 
166, 2108, 481, 684, 732, 
167, 2090, 474, 675, 733, 
168, 2110, 481, 678, 747, 
169, 2097, 474, 677, 738, 
170, 2109, 484, 681, 740, 
171, 2109, 475, 666, 733, 
172, 2102, 476, 684, 744, 
173, 2100, 470, 680, 733, 
174, 2105, 465, 673, 750, 
175, 2099, 466, 673, 741, 
176, 2104, 473, 676, 737, 
177, 2105, 484, 676, 745, 
178, 2103, 472, 682, 740, 
179, 2103, 475, 666, 738, 
