nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2110, 1476, 688, 473, 657, 480, 
1, 2088, 1497, 670, 491, 678, 478, 
2, 2109, 1474, 695, 477, 673, 470, 
3, 2093, 1489, 656, 495, 680, 475, 
4, 2103, 1484, 686, 470, 671, 498, 
5, 2112, 1485, 695, 472, 651, 491, 
6, 2105, 1484, 699, 480, 655, 477, 
7, 2100, 1489, 700, 483, 666, 489, 
8, 2098, 1489, 666, 495, 672, 481, 
9, 2106, 1497, 674, 469, 672, 478, 
10, 2094, 1482, 688, 473, 667, 491, 
11, 2107, 1480, 688, 475, 648, 489, 
12, 2096, 1469, 666, 483, 686, 469, 
13, 2092, 1465, 685, 481, 655, 504, 
14, 2110, 1470, 684, 477, 662, 478, 
15, 2103, 1470, 653, 493, 694, 477, 
16, 2103, 1481, 695, 481, 683, 472, 
17, 2111, 1470, 683, 476, 663, 491, 
18, 2091, 1473, 682, 470, 676, 486, 
19, 2102, 1484, 676, 478, 669, 487, 
20, 2107, 1482, 694, 465, 666, 480, 
21, 2106, 1480, 663, 481, 681, 464, 
22, 2099, 1478, 657, 480, 680, 466, 
23, 2102, 1498, 698, 477, 677, 475, 
24, 2111, 1479, 688, 472, 661, 494, 
25, 2097, 1467, 672, 472, 664, 473, 
26, 2107, 1489, 685, 480, 662, 492, 
27, 2103, 1464, 692, 475, 654, 489, 
28, 2094, 1482, 651, 497, 700, 479, 
29, 2105, 1491, 672, 471, 654, 499, 
30, 2108, 1493, 681, 468, 671, 491, 
31, 2106, 1464, 660, 482, 678, 468, 
32, 2109, 1473, 681, 479, 663, 489, 
33, 2094, 1478, 672, 473, 682, 465, 
34, 2105, 1473, 662, 471, 688, 474, 
35, 2100, 1465, 674, 485, 660, 491, 
36, 2100, 1465, 667, 487, 684, 472, 
37, 2097, 1491, 700, 466, 684, 487, 
38, 2096, 1469, 689, 474, 677, 475, 
39, 2106, 1460, 667, 497, 678, 478, 
40, 2106, 1486, 685, 479, 678, 476, 
41, 2109, 1461, 669, 469, 677, 475, 
42, 2098, 1459, 678, 471, 675, 481, 
43, 2105, 1470, 651, 494, 683, 467, 
44, 2102, 1495, 669, 499, 696, 477, 
45, 2094, 1490, 667, 483, 680, 478, 
46, 2097, 1475, 677, 476, 682, 485, 
47, 2107, 1476, 654, 495, 687, 481, 
48, 2087, 1461, 701, 474, 678, 482, 
49, 2100, 1470, 700, 473, 666, 496, 
50, 2095, 1486, 685, 470, 654, 500, 
51, 2111, 1486, 700, 467, 657, 500, 
52, 2110, 1480, 694, 474, 672, 486, 
53, 2094, 1480, 679, 474, 650, 498, 
54, 2084, 1479, 685, 470, 663, 480, 
55, 2097, 1468, 673, 474, 668, 473, 
56, 2104, 1485, 697, 476, 657, 497, 
57, 2111, 1477, 687, 485, 659, 487, 
58, 2110, 1465, 690, 482, 675, 472, 
59, 2106, 1481, 659, 488, 701, 477, 
60, 2098, 1480, 672, 484, 684, 477, 
61, 2096, 1457, 656, 485, 687, 470, 
62, 2096, 1482, 673, 491, 687, 469, 
63, 2106, 1461, 687, 469, 657, 487, 
64, 2106, 1477, 661, 495, 694, 471, 
65, 2101, 1474, 697, 474, 666, 474, 
66, 2099, 1477, 692, 483, 668, 486, 
67, 2096, 1487, 669, 485, 688, 474, 
68, 2099, 1493, 656, 492, 691, 470, 
69, 2104, 1481, 686, 472, 666, 500, 
70, 2103, 1474, 690, 482, 662, 497, 
71, 2094, 1476, 682, 471, 672, 476, 
72, 2102, 1488, 680, 468, 700, 478, 
73, 2102, 1483, 670, 489, 689, 471, 
74, 2103, 1493, 668, 491, 695, 478, 
75, 2103, 1486, 693, 479, 680, 483, 
76, 2094, 1465, 702, 475, 652, 503, 
77, 2102, 1485, 665, 486, 675, 477, 
78, 2103, 1477, 692, 469, 669, 489, 
79, 2109, 1472, 658, 476, 675, 479, 
80, 2105, 1481, 661, 487, 691, 475, 
81, 2105, 1462, 693, 476, 654, 493, 
82, 2104, 1465, 652, 484, 693, 473, 
83, 2095, 1487, 654, 486, 686, 473, 
84, 2110, 1466, 678, 485, 657, 478, 
85, 2107, 1483, 658, 502, 691, 474, 
86, 2099, 1484, 657, 487, 689, 484, 
87, 2096, 1478, 684, 473, 657, 479, 
88, 2105, 1473, 699, 472, 657, 489, 
89, 2102, 1470, 680, 481, 663, 488, 
90, 2106, 1480, 691, 465, 673, 486, 
91, 2110, 1488, 667, 482, 687, 480, 
92, 2104, 1476, 652, 505, 674, 467, 
93, 2102, 1466, 677, 485, 668, 491, 
94, 2103, 1477, 656, 489, 687, 472, 
95, 2106, 1463, 680, 475, 661, 481, 
96, 2107, 1489, 667, 479, 690, 466, 
97, 2099, 1495, 661, 496, 687, 471, 
98, 2102, 1466, 659, 487, 679, 480, 
99, 2103, 1481, 683, 480, 696, 481, 
100, 2104, 1471, 678, 467, 664, 471, 
101, 2105, 1489, 654, 489, 686, 467, 
102, 2093, 1466, 691, 469, 663, 490, 
