nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2097, 483, 669, 748, 
1, 2093, 483, 676, 750, 
2, 2106, 466, 666, 734, 
3, 2103, 475, 675, 735, 
4, 2096, 473, 669, 737, 
5, 2101, 476, 677, 744, 
6, 2095, 479, 673, 741, 
7, 2093, 485, 681, 740, 
8, 2096, 484, 674, 745, 
9, 2105, 478, 670, 742, 
10, 2107, 478, 674, 749, 
11, 2103, 469, 675, 734, 
12, 2102, 473, 667, 730, 
13, 2110, 479, 665, 739, 
14, 2101, 479, 685, 734, 
15, 2095, 476, 682, 741, 
16, 2106, 479, 674, 737, 
17, 2109, 479, 679, 750, 
18, 2102, 480, 666, 732, 
19, 2110, 476, 665, 734, 
20, 2096, 472, 672, 734, 
21, 2096, 479, 683, 730, 
22, 2102, 484, 683, 739, 
23, 2097, 473, 676, 738, 
24, 2108, 467, 676, 747, 
25, 2099, 466, 673, 741, 
26, 2099, 477, 666, 732, 
27, 2094, 472, 676, 734, 
28, 2105, 473, 672, 737, 
29, 2096, 474, 666, 734, 
30, 2090, 480, 670, 740, 
31, 2100, 483, 682, 731, 
32, 2109, 479, 675, 742, 
33, 2090, 470, 673, 731, 
34, 2093, 477, 682, 743, 
35, 2094, 468, 669, 749, 
36, 2094, 465, 680, 744, 
37, 2110, 469, 671, 732, 
38, 2098, 473, 666, 749, 
39, 2092, 465, 680, 733, 
40, 2093, 471, 677, 742, 
41, 2096, 477, 679, 743, 
42, 2095, 477, 667, 746, 
43, 2107, 466, 669, 742, 
44, 2109, 481, 684, 738, 
45, 2106, 481, 685, 733, 
46, 2091, 478, 665, 734, 
47, 2102, 471, 670, 741, 
48, 2095, 481, 685, 745, 
49, 2107, 477, 668, 742, 
50, 2094, 476, 675, 746, 
51, 2100, 465, 685, 748, 
52, 2103, 473, 665, 733, 
53, 2105, 465, 674, 746, 
54, 2093, 470, 681, 741, 
55, 2106, 469, 671, 733, 
56, 2102, 466, 681, 750, 
57, 2110, 468, 670, 732, 
58, 2096, 484, 677, 742, 
59, 2093, 478, 685, 746, 
60, 2107, 476, 671, 750, 
61, 2090, 471, 674, 735, 
62, 2097, 484, 673, 733, 
63, 2095, 470, 667, 746, 
64, 2093, 469, 669, 735, 
65, 2095, 467, 665, 735, 
66, 2100, 467, 667, 749, 
67, 2095, 477, 671, 748, 
