nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2093, 468, 681, 747, 
1, 2110, 475, 678, 744, 
2, 2096, 470, 667, 735, 
3, 2098, 469, 685, 740, 
4, 2091, 470, 675, 743, 
5, 2101, 477, 665, 739, 
6, 2105, 485, 669, 736, 
7, 2099, 483, 674, 732, 
8, 2110, 470, 680, 744, 
9, 2108, 472, 682, 748, 
10, 2109, 475, 680, 735, 
11, 2094, 479, 683, 747, 
12, 2107, 466, 676, 736, 
13, 2092, 477, 680, 741, 
14, 2092, 472, 682, 732, 
15, 2101, 474, 677, 741, 
16, 2095, 468, 673, 730, 
17, 2095, 475, 666, 731, 
18, 2101, 479, 671, 748, 
19, 2101, 467, 680, 749, 
20, 2110, 481, 679, 739, 
21, 2106, 485, 670, 735, 
22, 2095, 468, 673, 741, 
23, 2109, 483, 673, 737, 
24, 2109, 466, 683, 746, 
25, 2110, 471, 667, 735, 
26, 2108, 479, 677, 738, 
27, 2093, 475, 678, 735, 
28, 2101, 478, 673, 740, 
29, 2107, 479, 684, 749, 
30, 2103, 476, 669, 744, 
31, 2106, 484, 684, 746, 
32, 2097, 479, 669, 749, 
33, 2105, 467, 679, 746, 
34, 2109, 484, 681, 736, 
35, 2102, 485, 685, 747, 
36, 2104, 475, 673, 739, 
37, 2098, 480, 678, 738, 
38, 2101, 484, 679, 743, 
39, 2100, 485, 668, 740, 
40, 2097, 478, 667, 743, 
41, 2101, 476, 679, 736, 
42, 2110, 484, 683, 740, 
43, 2098, 474, 674, 745, 
44, 2096, 483, 667, 730, 
45, 2097, 471, 680, 732, 
46, 2093, 465, 674, 741, 
47, 2102, 470, 673, 750, 
48, 2105, 465, 666, 739, 
49, 2106, 476, 669, 744, 
50, 2105, 481, 678, 730, 
51, 2104, 480, 677, 736, 
52, 2090, 481, 677, 744, 
53, 2090, 465, 671, 737, 
54, 2091, 475, 668, 731, 
55, 2099, 474, 675, 743, 
56, 2098, 477, 673, 733, 
57, 2103, 472, 669, 745, 
58, 2109, 466, 667, 730, 
59, 2105, 478, 679, 743, 
60, 2092, 480, 672, 743, 
61, 2102, 481, 669, 741, 
62, 2090, 484, 681, 730, 
63, 2107, 477, 672, 738, 
64, 2092, 473, 683, 730, 
65, 2101, 476, 670, 749, 
66, 2106, 479, 666, 745, 
67, 2095, 473, 666, 748, 
68, 2094, 475, 669, 730, 
69, 2109, 469, 675, 736, 
70, 2097, 471, 679, 741, 
71, 2105, 472, 667, 744, 
72, 2109, 477, 679, 739, 
73, 2097, 471, 673, 733, 
74, 2103, 481, 670, 744, 
75, 2095, 472, 672, 737, 
76, 2092, 479, 679, 731, 
77, 2094, 484, 672, 746, 
78, 2097, 466, 684, 734, 
79, 2103, 477, 676, 747, 
80, 2091, 471, 683, 745, 
81, 2094, 479, 665, 735, 
82, 2092, 472, 667, 750, 
83, 2095, 477, 678, 738, 
84, 2097, 470, 675, 736, 
85, 2095, 467, 673, 736, 
86, 2100, 485, 671, 742, 
87, 2092, 479, 665, 749, 
88, 2094, 474, 671, 737, 
89, 2103, 468, 681, 733, 
90, 2104, 466, 673, 738, 
91, 2110, 483, 675, 749, 
92, 2101, 475, 677, 732, 
93, 2103, 483, 672, 748, 
94, 2098, 471, 665, 730, 
95, 2097, 466, 677, 741, 
96, 2097, 477, 667, 734, 
97, 2106, 483, 675, 735, 
98, 2100, 474, 682, 737, 
99, 2101, 473, 674, 736, 
100, 2110, 482, 676, 737, 
101, 2100, 474, 666, 732, 
102, 2093, 468, 680, 743, 
103, 2100, 485, 676, 740, 
104, 2103, 475, 681, 740, 
105, 2107, 480, 678, 741, 
106, 2107, 477, 667, 748, 
107, 2092, 476, 679, 730, 
108, 2102, 478, 681, 743, 
109, 2107, 469, 671, 733, 
110, 2099, 468, 677, 740, 
111, 2107, 470, 665, 732, 
112, 2092, 485, 674, 733, 
113, 2093, 466, 682, 736, 
114, 2105, 483, 680, 749, 
115, 2091, 476, 666, 734, 
116, 2106, 484, 683, 735, 
117, 2095, 482, 683, 741, 
118, 2095, 469, 668, 748, 
119, 2110, 473, 682, 736, 
120, 2107, 474, 685, 749, 
121, 2092, 474, 685, 730, 
122, 2101, 478, 669, 741, 
123, 2106, 475, 681, 730, 
124, 2100, 470, 668, 730, 
125, 2100, 473, 670, 750, 
126, 2102, 471, 666, 734, 
127, 2092, 466, 675, 737, 
128, 2110, 471, 666, 733, 
129, 2109, 467, 676, 731, 
130, 2091, 477, 672, 733, 
131, 2099, 476, 673, 734, 
132, 2099, 480, 670, 735, 
133, 2101, 470, 684, 732, 
134, 2110, 482, 682, 745, 
135, 2096, 478, 684, 739, 
136, 2091, 465, 668, 749, 
137, 2108, 469, 669, 736, 
138, 2096, 470, 678, 740, 
139, 2107, 485, 668, 742, 
140, 2092, 467, 674, 741, 
141, 2109, 483, 681, 730, 
142, 2095, 475, 673, 737, 
143, 2090, 484, 672, 742, 
144, 2108, 466, 677, 737, 
145, 2098, 471, 675, 743, 
146, 2095, 468, 675, 734, 
147, 2093, 471, 680, 746, 
148, 2095, 471, 673, 737, 
149, 2110, 478, 678, 749, 
150, 2103, 469, 685, 741, 
151, 2099, 477, 672, 740, 
152, 2093, 485, 665, 750, 
153, 2107, 470, 680, 744, 
154, 2097, 484, 683, 734, 
155, 2101, 472, 674, 747, 
156, 2109, 467, 677, 750, 
157, 2107, 475, 671, 733, 
158, 2107, 478, 674, 734, 
159, 2101, 472, 674, 747, 
160, 2106, 471, 674, 744, 
161, 2107, 468, 672, 732, 
162, 2100, 466, 673, 741, 
163, 2100, 467, 667, 746, 
164, 2096, 465, 674, 734, 
165, 2100, 475, 667, 742, 
166, 2104, 469, 679, 731, 
167, 2105, 476, 683, 731, 
168, 2107, 485, 669, 730, 
169, 2102, 466, 669, 738, 
170, 2103, 485, 681, 731, 
171, 2096, 479, 674, 749, 
172, 2090, 468, 678, 741, 
173, 2091, 482, 665, 742, 
174, 2106, 484, 677, 748, 
175, 2098, 474, 682, 740, 
176, 2097, 473, 666, 747, 
177, 2110, 482, 673, 733, 
178, 2090, 471, 667, 744, 
179, 2102, 476, 682, 750, 
180, 2110, 482, 667, 736, 
181, 2090, 466, 668, 734, 
182, 2110, 472, 671, 733, 
183, 2092, 473, 668, 737, 
184, 2101, 470, 671, 745, 
185, 2101, 474, 684, 734, 
186, 2106, 485, 679, 738, 
187, 2093, 466, 672, 740, 
188, 2090, 477, 666, 731, 
189, 2110, 476, 684, 734, 
190, 2106, 478, 680, 746, 
191, 2110, 470, 667, 749, 
192, 2106, 482, 666, 746, 
193, 2107, 478, 683, 749, 
194, 2103, 485, 676, 743, 
195, 2095, 471, 673, 750, 
196, 2090, 471, 682, 740, 
197, 2095, 483, 685, 731, 
198, 2094, 479, 673, 735, 
199, 2094, 480, 672, 743, 
