nbElements: 200
index, largeur
0, 1500, 
1, 1500, 
2, 1500, 
3, 1500, 
4, 1500, 
5, 1500, 
6, 1500, 
7, 1500, 
8, 1500, 
9, 1500, 
10, 1500, 
11, 1500, 
12, 1500, 
13, 1500, 
14, 1500, 
15, 1500, 
16, 1500, 
17, 1500, 
18, 1500, 
19, 1500, 
20, 1500, 
21, 1500, 
22, 1500, 
23, 1500, 
24, 1500, 
25, 1500, 
26, 1500, 
27, 1500, 
28, 1500, 
29, 1500, 
30, 1500, 
31, 1500, 
32, 1500, 
33, 1500, 
34, 1500, 
35, 1500, 
36, 1500, 
37, 1500, 
38, 1500, 
39, 1500, 
40, 1500, 
41, 1500, 
42, 1500, 
43, 1500, 
44, 1500, 
45, 1500, 
46, 1500, 
47, 1500, 
48, 1500, 
49, 1500, 
50, 1500, 
51, 1500, 
52, 1500, 
53, 1500, 
54, 1500, 
55, 1500, 
56, 1500, 
57, 1500, 
58, 1500, 
59, 1500, 
60, 1500, 
61, 1500, 
62, 1500, 
63, 1500, 
64, 1500, 
65, 1500, 
66, 1500, 
67, 1500, 
68, 1500, 
69, 1500, 
70, 1500, 
71, 1500, 
72, 1500, 
73, 1500, 
74, 1500, 
75, 1500, 
76, 1500, 
77, 1500, 
78, 1500, 
79, 1500, 
80, 1500, 
81, 1500, 
82, 1500, 
83, 1500, 
84, 1500, 
85, 1500, 
86, 1500, 
87, 1500, 
88, 1500, 
89, 1500, 
90, 1500, 
91, 1500, 
92, 1500, 
93, 1500, 
94, 1500, 
95, 1500, 
96, 1500, 
97, 1500, 
98, 1500, 
99, 1500, 
100, 1500, 
101, 1500, 
102, 1500, 
103, 1500, 
104, 1500, 
105, 1500, 
106, 1500, 
107, 1500, 
108, 1500, 
109, 1500, 
110, 1500, 
111, 1500, 
112, 1500, 
113, 1500, 
114, 1500, 
115, 1500, 
116, 1500, 
117, 1500, 
118, 1500, 
119, 1500, 
120, 1500, 
121, 1500, 
122, 1500, 
123, 1500, 
124, 1500, 
125, 1500, 
126, 1500, 
127, 1500, 
128, 1500, 
129, 1500, 
130, 1500, 
131, 1500, 
132, 1500, 
133, 1500, 
134, 1500, 
135, 1500, 
136, 1500, 
137, 1500, 
138, 1500, 
139, 1500, 
140, 1500, 
141, 1500, 
142, 1500, 
143, 1500, 
144, 1500, 
145, 1500, 
146, 1500, 
147, 1500, 
148, 1500, 
149, 1500, 
150, 1500, 
151, 1500, 
152, 1500, 
153, 1500, 
154, 1500, 
155, 1500, 
156, 1500, 
157, 1500, 
158, 1500, 
159, 1500, 
160, 1500, 
161, 1500, 
162, 1500, 
163, 1500, 
164, 1500, 
165, 1500, 
166, 1500, 
167, 1500, 
168, 1500, 
169, 1500, 
170, 1500, 
171, 1500, 
172, 1500, 
173, 1500, 
174, 1500, 
175, 1500, 
176, 1500, 
177, 1500, 
178, 1500, 
179, 1500, 
180, 1500, 
181, 1500, 
182, 1500, 
183, 1500, 
184, 1500, 
185, 1500, 
186, 1500, 
187, 1500, 
188, 1500, 
189, 1500, 
190, 1500, 
191, 1500, 
192, 1500, 
193, 1500, 
194, 1500, 
195, 1500, 
196, 1500, 
197, 1500, 
198, 1500, 
199, 1500, 
