nbElements: 200
index, largeur
0, 753, 
1, 754, 
2, 747, 
3, 740, 
4, 753, 
5, 743, 
6, 750, 
7, 754, 
8, 759, 
9, 757, 
10, 751, 
11, 744, 
12, 755, 
13, 740, 
14, 747, 
15, 746, 
16, 757, 
17, 748, 
18, 749, 
19, 747, 
20, 746, 
21, 749, 
22, 757, 
23, 746, 
24, 746, 
25, 758, 
26, 745, 
27, 743, 
28, 749, 
29, 745, 
30, 758, 
31, 756, 
32, 746, 
33, 749, 
34, 751, 
35, 744, 
36, 749, 
37, 759, 
38, 747, 
39, 740, 
40, 760, 
41, 748, 
42, 750, 
43, 748, 
44, 745, 
45, 744, 
46, 757, 
47, 747, 
48, 744, 
49, 754, 
50, 759, 
51, 749, 
52, 748, 
53, 748, 
54, 739, 
55, 755, 
56, 746, 
57, 755, 
58, 753, 
59, 745, 
60, 748, 
61, 743, 
62, 747, 
63, 743, 
64, 751, 
65, 753, 
66, 743, 
67, 741, 
68, 758, 
69, 754, 
70, 750, 
71, 741, 
72, 742, 
73, 749, 
74, 758, 
75, 744, 
76, 746, 
77, 741, 
78, 760, 
79, 758, 
80, 747, 
81, 750, 
82, 756, 
83, 746, 
84, 757, 
85, 757, 
86, 747, 
87, 745, 
88, 740, 
89, 741, 
90, 742, 
91, 743, 
92, 747, 
93, 742, 
94, 744, 
95, 745, 
96, 740, 
97, 741, 
98, 756, 
99, 740, 
100, 759, 
101, 742, 
102, 741, 
103, 752, 
104, 744, 
105, 743, 
106, 742, 
107, 759, 
108, 745, 
109, 759, 
110, 752, 
111, 755, 
112, 758, 
113, 743, 
114, 751, 
115, 748, 
116, 758, 
117, 760, 
118, 753, 
119, 747, 
120, 755, 
121, 760, 
122, 744, 
123, 740, 
124, 750, 
125, 759, 
126, 743, 
127, 749, 
128, 748, 
129, 755, 
130, 756, 
131, 750, 
132, 749, 
133, 742, 
134, 746, 
135, 755, 
136, 752, 
137, 750, 
138, 760, 
139, 747, 
140, 758, 
141, 743, 
142, 740, 
143, 742, 
144, 752, 
145, 751, 
146, 752, 
147, 760, 
148, 740, 
149, 747, 
150, 750, 
151, 750, 
152, 745, 
153, 759, 
154, 744, 
155, 741, 
156, 743, 
157, 741, 
158, 744, 
159, 758, 
160, 755, 
161, 754, 
162, 749, 
163, 757, 
164, 742, 
165, 759, 
166, 749, 
167, 748, 
168, 741, 
169, 756, 
170, 749, 
171, 754, 
172, 743, 
173, 740, 
174, 740, 
175, 751, 
176, 755, 
177, 741, 
178, 749, 
179, 750, 
180, 755, 
181, 749, 
182, 743, 
183, 754, 
184, 745, 
185, 759, 
186, 742, 
187, 754, 
188, 752, 
189, 747, 
190, 757, 
191, 750, 
192, 751, 
193, 759, 
194, 746, 
195, 758, 
196, 751, 
197, 741, 
198, 747, 
199, 742, 
