nbElements: 200
index, largeur
0, 745, 
1, 757, 
2, 752, 
3, 749, 
4, 759, 
5, 750, 
6, 747, 
7, 755, 
8, 751, 
9, 740, 
10, 748, 
11, 749, 
12, 740, 
13, 755, 
14, 758, 
15, 741, 
16, 743, 
17, 749, 
18, 751, 
19, 753, 
20, 747, 
21, 744, 
22, 756, 
23, 746, 
24, 753, 
25, 758, 
26, 754, 
27, 749, 
28, 750, 
29, 756, 
30, 747, 
31, 756, 
32, 759, 
33, 740, 
34, 757, 
35, 757, 
36, 753, 
37, 755, 
38, 754, 
39, 744, 
40, 751, 
41, 741, 
42, 741, 
43, 748, 
44, 753, 
45, 753, 
46, 742, 
47, 760, 
48, 758, 
49, 749, 
50, 759, 
51, 739, 
52, 756, 
53, 742, 
54, 750, 
55, 745, 
56, 757, 
57, 754, 
58, 744, 
59, 742, 
60, 740, 
61, 741, 
62, 741, 
63, 747, 
64, 757, 
65, 757, 
66, 755, 
67, 744, 
68, 743, 
69, 756, 
70, 745, 
71, 751, 
72, 756, 
73, 752, 
74, 745, 
75, 743, 
76, 748, 
77, 758, 
78, 746, 
79, 745, 
80, 752, 
81, 739, 
82, 752, 
83, 744, 
84, 755, 
85, 752, 
86, 753, 
87, 749, 
88, 756, 
89, 740, 
90, 752, 
91, 752, 
92, 755, 
93, 746, 
94, 740, 
95, 751, 
96, 751, 
97, 758, 
98, 755, 
99, 748, 
100, 749, 
101, 753, 
102, 744, 
103, 758, 
104, 741, 
105, 751, 
106, 744, 
107, 758, 
108, 750, 
109, 751, 
110, 755, 
111, 747, 
112, 752, 
113, 744, 
114, 757, 
115, 740, 
116, 749, 
117, 752, 
118, 759, 
119, 755, 
120, 739, 
121, 758, 
122, 756, 
123, 750, 
124, 755, 
125, 754, 
126, 753, 
127, 749, 
128, 745, 
129, 753, 
130, 740, 
131, 739, 
132, 758, 
133, 740, 
134, 741, 
135, 742, 
136, 745, 
137, 754, 
138, 742, 
139, 757, 
140, 759, 
141, 741, 
142, 758, 
143, 747, 
144, 751, 
145, 752, 
146, 749, 
147, 752, 
148, 755, 
149, 740, 
150, 749, 
151, 744, 
152, 749, 
153, 757, 
154, 758, 
155, 746, 
156, 754, 
157, 750, 
158, 758, 
159, 758, 
160, 747, 
161, 755, 
162, 749, 
163, 759, 
164, 744, 
165, 745, 
166, 758, 
167, 750, 
168, 751, 
169, 750, 
170, 743, 
171, 751, 
172, 746, 
173, 749, 
174, 753, 
175, 740, 
176, 749, 
177, 742, 
178, 746, 
179, 757, 
180, 756, 
181, 753, 
182, 750, 
183, 751, 
184, 746, 
185, 756, 
186, 739, 
187, 759, 
188, 741, 
189, 759, 
190, 741, 
191, 753, 
192, 742, 
193, 754, 
194, 754, 
195, 746, 
196, 748, 
197, 744, 
198, 747, 
199, 751, 
