nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2100, 1491, 675, 475, 675, 475, 
1, 2100, 1479, 675, 475, 675, 475, 
2, 2100, 1488, 675, 475, 675, 475, 
3, 2100, 1498, 675, 475, 675, 475, 
4, 2100, 1488, 675, 475, 675, 475, 
5, 2100, 1470, 675, 475, 675, 475, 
6, 2100, 1490, 675, 475, 675, 475, 
7, 2100, 1482, 675, 475, 675, 475, 
8, 2100, 1487, 675, 475, 675, 475, 
9, 2100, 1485, 675, 475, 675, 475, 
10, 2100, 1498, 675, 475, 675, 475, 
11, 2100, 1485, 675, 475, 675, 475, 
12, 2100, 1508, 675, 475, 675, 475, 
13, 2100, 1486, 675, 475, 675, 475, 
14, 2100, 1473, 675, 475, 675, 475, 
15, 2100, 1479, 675, 475, 675, 475, 
16, 2100, 1489, 675, 475, 675, 475, 
17, 2100, 1504, 675, 475, 675, 475, 
18, 2100, 1480, 675, 475, 675, 475, 
19, 2100, 1494, 675, 475, 675, 475, 
20, 2100, 1505, 675, 475, 675, 475, 
21, 2100, 1493, 675, 475, 675, 475, 
22, 2100, 1502, 675, 475, 675, 475, 
23, 2100, 1496, 675, 475, 675, 475, 
24, 2100, 1471, 675, 475, 675, 475, 
25, 2100, 1490, 675, 475, 675, 475, 
26, 2100, 1504, 675, 475, 675, 475, 
27, 2100, 1495, 675, 475, 675, 475, 
28, 2100, 1505, 675, 475, 675, 475, 
29, 2100, 1478, 675, 475, 675, 475, 
30, 2100, 1476, 675, 475, 675, 475, 
31, 2100, 1490, 675, 475, 675, 475, 
32, 2100, 1475, 675, 475, 675, 475, 
33, 2100, 1477, 675, 475, 675, 475, 
34, 2100, 1486, 675, 475, 675, 475, 
35, 2100, 1492, 675, 475, 675, 475, 
36, 2100, 1479, 675, 475, 675, 475, 
37, 2100, 1490, 675, 475, 675, 475, 
38, 2100, 1475, 675, 475, 675, 475, 
