nbElements: 200
index, largeur
0, 754, 
1, 755, 
2, 748, 
3, 741, 
4, 754, 
5, 744, 
6, 751, 
7, 755, 
8, 760, 
9, 758, 
10, 752, 
11, 745, 
12, 756, 
13, 741, 
14, 748, 
15, 747, 
16, 758, 
17, 749, 
18, 750, 
19, 748, 
20, 747, 
21, 750, 
22, 758, 
23, 747, 
24, 747, 
25, 759, 
26, 746, 
27, 744, 
28, 750, 
29, 746, 
30, 759, 
31, 757, 
32, 747, 
33, 750, 
34, 752, 
35, 745, 
36, 750, 
37, 760, 
38, 748, 
39, 741, 
40, 761, 
41, 749, 
42, 751, 
43, 749, 
44, 746, 
45, 745, 
46, 758, 
47, 748, 
48, 745, 
49, 755, 
50, 760, 
51, 750, 
52, 749, 
53, 749, 
54, 740, 
55, 756, 
56, 747, 
57, 756, 
58, 754, 
59, 746, 
60, 749, 
61, 744, 
62, 748, 
63, 744, 
64, 752, 
65, 754, 
66, 744, 
67, 742, 
68, 759, 
69, 755, 
70, 751, 
71, 742, 
72, 743, 
73, 750, 
74, 759, 
75, 745, 
76, 747, 
77, 742, 
78, 761, 
79, 759, 
80, 748, 
81, 751, 
82, 757, 
83, 747, 
84, 758, 
85, 758, 
86, 748, 
87, 746, 
88, 741, 
89, 742, 
90, 743, 
91, 744, 
92, 748, 
93, 743, 
94, 745, 
95, 746, 
96, 741, 
97, 742, 
98, 757, 
99, 741, 
100, 760, 
101, 743, 
102, 742, 
103, 753, 
104, 745, 
105, 744, 
106, 743, 
107, 760, 
108, 746, 
109, 760, 
110, 753, 
111, 756, 
112, 759, 
113, 744, 
114, 752, 
115, 749, 
116, 759, 
117, 761, 
118, 754, 
119, 748, 
120, 756, 
121, 761, 
122, 745, 
123, 741, 
124, 751, 
125, 760, 
126, 744, 
127, 750, 
128, 749, 
129, 756, 
130, 757, 
131, 751, 
132, 750, 
133, 743, 
134, 747, 
135, 756, 
136, 753, 
137, 751, 
138, 761, 
139, 748, 
140, 759, 
141, 744, 
142, 741, 
143, 743, 
144, 753, 
145, 752, 
146, 753, 
147, 761, 
148, 741, 
149, 748, 
150, 751, 
151, 751, 
152, 746, 
153, 760, 
154, 745, 
155, 742, 
156, 744, 
157, 742, 
158, 745, 
159, 759, 
160, 756, 
161, 755, 
162, 750, 
163, 758, 
164, 743, 
165, 760, 
166, 750, 
167, 749, 
168, 742, 
169, 757, 
170, 750, 
171, 755, 
172, 744, 
173, 741, 
174, 741, 
175, 752, 
176, 756, 
177, 742, 
178, 750, 
179, 751, 
180, 756, 
181, 750, 
182, 744, 
183, 755, 
184, 746, 
185, 760, 
186, 743, 
187, 755, 
188, 753, 
189, 748, 
190, 758, 
191, 751, 
192, 752, 
193, 760, 
194, 747, 
195, 759, 
196, 752, 
197, 742, 
198, 748, 
199, 743, 
