nbElements: 200
index, largeur
0, 746, 
1, 758, 
2, 753, 
3, 750, 
4, 760, 
5, 751, 
6, 748, 
7, 756, 
8, 752, 
9, 741, 
10, 749, 
11, 750, 
12, 741, 
13, 756, 
14, 759, 
15, 742, 
16, 744, 
17, 750, 
18, 752, 
19, 754, 
20, 748, 
21, 745, 
22, 757, 
23, 747, 
24, 754, 
25, 759, 
26, 755, 
27, 750, 
28, 751, 
29, 757, 
30, 748, 
31, 757, 
32, 760, 
33, 741, 
34, 758, 
35, 758, 
36, 754, 
37, 756, 
38, 755, 
39, 745, 
40, 752, 
41, 742, 
42, 742, 
43, 749, 
44, 754, 
45, 754, 
46, 743, 
47, 761, 
48, 759, 
49, 750, 
50, 760, 
51, 740, 
52, 757, 
53, 743, 
54, 751, 
55, 746, 
56, 758, 
57, 755, 
58, 745, 
59, 743, 
60, 741, 
61, 742, 
62, 742, 
63, 748, 
64, 758, 
65, 758, 
66, 756, 
67, 745, 
68, 744, 
69, 757, 
70, 746, 
71, 752, 
72, 757, 
73, 753, 
74, 746, 
75, 744, 
76, 749, 
77, 759, 
78, 747, 
79, 746, 
80, 753, 
81, 740, 
82, 753, 
83, 745, 
84, 756, 
85, 753, 
86, 754, 
87, 750, 
88, 757, 
89, 741, 
90, 753, 
91, 753, 
92, 756, 
93, 747, 
94, 741, 
95, 752, 
96, 752, 
97, 759, 
98, 756, 
99, 749, 
100, 750, 
101, 754, 
102, 745, 
103, 759, 
104, 742, 
105, 752, 
106, 745, 
107, 759, 
108, 751, 
109, 752, 
110, 756, 
111, 748, 
112, 753, 
113, 745, 
114, 758, 
115, 741, 
116, 750, 
117, 753, 
118, 760, 
119, 756, 
120, 740, 
121, 759, 
122, 757, 
123, 751, 
124, 756, 
125, 755, 
126, 754, 
127, 750, 
128, 746, 
129, 754, 
130, 741, 
131, 740, 
132, 759, 
133, 741, 
134, 742, 
135, 743, 
136, 746, 
137, 755, 
138, 743, 
139, 758, 
140, 760, 
141, 742, 
142, 759, 
143, 748, 
144, 752, 
145, 753, 
146, 750, 
147, 753, 
148, 756, 
149, 741, 
150, 750, 
151, 745, 
152, 750, 
153, 758, 
154, 759, 
155, 747, 
156, 755, 
157, 751, 
158, 759, 
159, 759, 
160, 748, 
161, 756, 
162, 750, 
163, 760, 
164, 745, 
165, 746, 
166, 759, 
167, 751, 
168, 752, 
169, 751, 
170, 744, 
171, 752, 
172, 747, 
173, 750, 
174, 754, 
175, 741, 
176, 750, 
177, 743, 
178, 747, 
179, 758, 
180, 757, 
181, 754, 
182, 751, 
183, 752, 
184, 747, 
185, 757, 
186, 740, 
187, 760, 
188, 742, 
189, 760, 
190, 742, 
191, 754, 
192, 743, 
193, 755, 
194, 755, 
195, 747, 
196, 749, 
197, 745, 
198, 748, 
199, 752, 
