nbElements: 50
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2113, 1477, 683, 472, 667, 470, 
1, 2108, 1486, 667, 472, 675, 482, 
2, 2115, 1484, 673, 471, 687, 476, 
3, 2101, 1471, 663, 483, 678, 465, 
4, 2107, 1485, 686, 481, 675, 486, 
5, 2112, 1482, 679, 473, 681, 480, 
6, 2103, 1477, 678, 466, 675, 468, 
7, 2105, 1487, 662, 484, 682, 466, 
8, 2110, 1487, 684, 484, 674, 486, 
9, 2105, 1483, 683, 477, 685, 475, 
10, 2099, 1479, 684, 483, 679, 472, 
11, 2106, 1479, 684, 467, 670, 477, 
12, 2099, 1476, 671, 470, 670, 481, 
13, 2103, 1493, 685, 468, 677, 481, 
14, 2110, 1481, 669, 477, 668, 470, 
15, 2100, 1483, 670, 487, 684, 474, 
16, 2098, 1492, 689, 466, 668, 479, 
17, 2110, 1490, 668, 478, 679, 475, 
18, 2110, 1482, 685, 477, 667, 488, 
19, 2111, 1493, 662, 486, 677, 478, 
20, 2111, 1487, 681, 485, 668, 476, 
21, 2096, 1488, 683, 470, 678, 474, 
22, 2102, 1487, 685, 465, 666, 482, 
23, 2104, 1471, 682, 472, 663, 490, 
24, 2105, 1489, 661, 487, 683, 473, 
25, 2092, 1490, 668, 475, 683, 479, 
26, 2112, 1484, 673, 487, 675, 468, 
27, 2096, 1482, 667, 481, 689, 473, 
28, 2107, 1492, 673, 485, 673, 473, 
29, 2097, 1484, 676, 465, 680, 483, 
30, 2098, 1484, 681, 466, 665, 478, 
31, 2103, 1483, 674, 469, 674, 482, 
32, 2103, 1485, 678, 483, 683, 485, 
33, 2099, 1477, 668, 484, 681, 483, 
34, 2107, 1483, 681, 470, 671, 490, 
35, 2111, 1483, 688, 481, 680, 471, 
36, 2111, 1479, 669, 475, 680, 479, 
37, 2103, 1477, 677, 477, 678, 472, 
38, 2112, 1490, 685, 470, 670, 482, 
39, 2107, 1474, 688, 467, 677, 473, 
40, 2109, 1488, 671, 478, 685, 471, 
41, 2097, 1476, 675, 479, 668, 484, 
42, 2110, 1483, 685, 480, 680, 487, 
43, 2102, 1481, 677, 476, 669, 475, 
44, 2113, 1487, 680, 475, 670, 481, 
45, 2112, 1489, 686, 473, 677, 477, 
46, 2110, 1482, 681, 484, 675, 480, 
47, 2112, 1477, 678, 469, 674, 477, 
48, 2112, 1477, 672, 470, 673, 472, 
49, 2111, 1481, 679, 469, 679, 487, 
