nbElements: 50
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 482, 670, 737, 
1, 2105, 484, 671, 735, 
2, 2090, 467, 670, 736, 
3, 2108, 482, 670, 745, 
4, 2090, 481, 667, 740, 
5, 2093, 474, 673, 744, 
6, 2107, 478, 674, 743, 
7, 2092, 479, 679, 741, 
8, 2094, 483, 679, 735, 
9, 2100, 472, 676, 737, 
10, 2103, 475, 680, 740, 
11, 2093, 474, 680, 745, 
12, 2091, 482, 670, 740, 
13, 2110, 485, 681, 737, 
14, 2102, 473, 682, 739, 
15, 2101, 466, 685, 743, 
16, 2095, 467, 684, 736, 
17, 2109, 468, 671, 740, 
18, 2096, 485, 679, 745, 
19, 2107, 473, 671, 744, 
20, 2095, 480, 683, 736, 
21, 2110, 485, 682, 738, 
22, 2101, 473, 671, 735, 
23, 2109, 481, 665, 742, 
24, 2100, 485, 676, 741, 
25, 2107, 475, 680, 742, 
26, 2100, 477, 669, 735, 
27, 2093, 468, 672, 735, 
28, 2101, 466, 681, 742, 
29, 2090, 478, 683, 736, 
30, 2092, 476, 667, 736, 
31, 2095, 465, 674, 735, 
32, 2098, 484, 676, 740, 
33, 2106, 473, 674, 737, 
34, 2093, 477, 681, 744, 
35, 2110, 476, 684, 738, 
36, 2099, 479, 669, 745, 
37, 2096, 473, 685, 739, 
38, 2101, 470, 665, 742, 
39, 2108, 479, 677, 735, 
40, 2099, 485, 668, 735, 
41, 2093, 471, 683, 745, 
42, 2107, 474, 670, 745, 
43, 2098, 485, 676, 738, 
44, 2110, 474, 680, 745, 
45, 2110, 472, 670, 737, 
46, 2094, 472, 680, 743, 
47, 2102, 470, 680, 735, 
48, 2108, 478, 674, 743, 
49, 2103, 475, 675, 745, 
