nbElements: 50
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2098, 466, 680, 745, 
1, 2106, 481, 667, 745, 
2, 2109, 482, 678, 744, 
3, 2105, 479, 667, 742, 
4, 2100, 479, 667, 735, 
5, 2091, 477, 680, 745, 
6, 2103, 484, 674, 745, 
7, 2107, 475, 671, 740, 
8, 2100, 479, 682, 740, 
9, 2094, 480, 672, 738, 
10, 2110, 471, 673, 744, 
11, 2095, 479, 670, 736, 
12, 2102, 468, 683, 744, 
13, 2098, 465, 676, 736, 
14, 2090, 478, 670, 743, 
15, 2106, 476, 670, 738, 
16, 2108, 481, 684, 738, 
17, 2091, 466, 684, 743, 
18, 2092, 480, 684, 740, 
19, 2097, 476, 674, 744, 
20, 2109, 484, 681, 742, 
21, 2094, 483, 680, 743, 
22, 2090, 469, 675, 743, 
23, 2102, 476, 684, 739, 
24, 2107, 470, 680, 743, 
25, 2092, 473, 682, 744, 
26, 2104, 473, 676, 739, 
27, 2098, 470, 681, 743, 
28, 2103, 472, 682, 738, 
29, 2091, 465, 678, 743, 
30, 2108, 473, 675, 741, 
31, 2104, 467, 683, 736, 
32, 2109, 468, 679, 738, 
33, 2108, 472, 682, 741, 
34, 2090, 473, 684, 739, 
35, 2092, 484, 676, 739, 
36, 2090, 471, 672, 745, 
37, 2097, 466, 676, 740, 
38, 2103, 469, 675, 744, 
39, 2097, 484, 673, 736, 
40, 2103, 481, 685, 739, 
41, 2106, 485, 680, 738, 
42, 2095, 465, 683, 742, 
43, 2093, 467, 683, 742, 
44, 2102, 465, 679, 740, 
45, 2099, 482, 666, 745, 
46, 2099, 470, 669, 738, 
47, 2098, 472, 681, 736, 
48, 2091, 470, 678, 743, 
49, 2097, 465, 674, 744, 
