nbElements: 50
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2108, 1472, 683, 473, 667, 470, 
1, 2094, 1486, 680, 481, 673, 478, 
2, 2109, 1476, 685, 477, 673, 470, 
3, 2095, 1475, 671, 480, 680, 475, 
4, 2107, 1479, 676, 470, 681, 488, 
5, 2106, 1475, 685, 472, 661, 481, 
6, 2109, 1466, 684, 480, 665, 467, 
7, 2102, 1483, 685, 483, 681, 474, 
8, 2100, 1469, 676, 485, 672, 481, 
9, 2110, 1482, 669, 469, 672, 478, 
10, 2094, 1480, 678, 473, 677, 481, 
11, 2107, 1472, 683, 475, 663, 474, 
12, 2098, 1484, 671, 478, 686, 469, 
13, 2092, 1471, 675, 481, 670, 489, 
14, 2106, 1474, 669, 477, 667, 473, 
15, 2105, 1485, 668, 478, 679, 477, 
16, 2103, 1477, 685, 481, 683, 472, 
17, 2109, 1478, 678, 476, 673, 481, 
18, 2091, 1478, 677, 470, 676, 486, 
19, 2096, 1488, 671, 478, 679, 477, 
20, 2103, 1485, 679, 465, 671, 475, 
21, 2104, 1481, 663, 481, 671, 464, 
22, 2101, 1480, 667, 470, 680, 466, 
23, 2102, 1474, 688, 477, 677, 475, 
24, 2107, 1474, 678, 472, 676, 479, 
25, 2095, 1476, 667, 472, 664, 473, 
26, 2107, 1479, 675, 480, 672, 482, 
27, 2105, 1480, 682, 475, 664, 479, 
28, 2096, 1477, 666, 482, 685, 479, 
29, 2103, 1478, 672, 471, 664, 489, 
30, 2102, 1478, 681, 468, 671, 491, 
31, 2108, 1480, 675, 467, 673, 468, 
32, 2103, 1470, 681, 479, 668, 484, 
33, 2100, 1469, 672, 473, 672, 465, 
34, 2109, 1471, 662, 471, 678, 474, 
35, 2106, 1479, 674, 485, 670, 481, 
36, 2106, 1473, 667, 487, 669, 472, 
37, 2101, 1481, 685, 466, 684, 487, 
38, 2098, 1483, 679, 474, 677, 475, 
39, 2100, 1473, 677, 487, 673, 478, 
40, 2110, 1476, 675, 479, 678, 476, 
41, 2103, 1481, 669, 469, 672, 475, 
42, 2094, 1477, 683, 466, 675, 481, 
43, 2103, 1482, 666, 479, 678, 467, 
44, 2100, 1470, 684, 484, 681, 477, 
45, 2090, 1479, 677, 473, 680, 478, 
46, 2097, 1478, 667, 476, 682, 485, 
47, 2105, 1472, 664, 485, 687, 481, 
48, 2089, 1480, 686, 474, 683, 477, 
49, 2098, 1479, 685, 473, 681, 481, 
