nbElements: 50
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2094, 476, 675, 741, 
1, 2097, 483, 669, 744, 
2, 2101, 485, 685, 742, 
3, 2104, 467, 667, 735, 
4, 2093, 470, 681, 742, 
5, 2109, 470, 668, 735, 
6, 2103, 475, 675, 745, 
7, 2101, 476, 677, 740, 
8, 2096, 484, 677, 742, 
9, 2095, 479, 673, 736, 
10, 2107, 478, 674, 743, 
11, 2093, 471, 680, 737, 
12, 2097, 484, 673, 736, 
13, 2095, 470, 667, 737, 
14, 2093, 469, 669, 744, 
15, 2107, 478, 674, 741, 
16, 2104, 478, 672, 736, 
17, 2095, 477, 671, 744, 
18, 2100, 480, 671, 735, 
19, 2092, 474, 670, 744, 
20, 2092, 472, 684, 745, 
21, 2090, 467, 670, 736, 
22, 2096, 468, 685, 739, 
23, 2110, 470, 682, 741, 
24, 2106, 478, 666, 741, 
25, 2100, 473, 684, 745, 
26, 2090, 480, 672, 735, 
27, 2103, 469, 675, 744, 
28, 2093, 475, 681, 744, 
29, 2104, 468, 677, 739, 
30, 2090, 475, 678, 736, 
31, 2095, 479, 675, 743, 
32, 2109, 479, 675, 735, 
33, 2095, 481, 685, 742, 
34, 2106, 481, 685, 738, 
35, 2101, 479, 685, 745, 
36, 2092, 473, 685, 739, 
37, 2110, 484, 683, 736, 
38, 2110, 477, 665, 745, 
39, 2110, 469, 671, 745, 
40, 2101, 473, 672, 744, 
41, 2103, 483, 669, 740, 
42, 2098, 485, 676, 738, 
43, 2107, 466, 669, 742, 
44, 2106, 467, 679, 742, 
45, 2110, 477, 677, 740, 
46, 2100, 479, 682, 740, 
47, 2100, 465, 670, 737, 
48, 2104, 470, 667, 741, 
49, 2098, 471, 682, 739, 
