nbElements: 50
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2103, 475, 681, 738, 
1, 2100, 474, 666, 740, 
2, 2093, 468, 680, 737, 
3, 2090, 465, 671, 743, 
4, 2091, 470, 675, 744, 
5, 2099, 474, 675, 738, 
6, 2098, 477, 673, 743, 
7, 2107, 475, 671, 740, 
8, 2107, 478, 674, 743, 
9, 2108, 472, 682, 741, 
10, 2109, 475, 680, 740, 
11, 2094, 479, 683, 742, 
12, 2107, 466, 676, 743, 
13, 2101, 477, 665, 742, 
14, 2105, 483, 680, 743, 
15, 2101, 476, 670, 745, 
16, 2092, 480, 672, 739, 
17, 2095, 475, 666, 741, 
18, 2101, 479, 671, 737, 
19, 2103, 472, 669, 738, 
20, 2107, 470, 680, 743, 
21, 2101, 472, 674, 735, 
22, 2109, 466, 667, 736, 
23, 2107, 485, 669, 745, 
24, 2106, 485, 670, 735, 
25, 2101, 467, 680, 744, 
26, 2108, 479, 677, 735, 
27, 2093, 475, 678, 740, 
28, 2101, 474, 677, 744, 
29, 2109, 467, 676, 740, 
30, 2090, 484, 681, 742, 
31, 2106, 484, 684, 742, 
32, 2099, 480, 670, 740, 
33, 2107, 468, 672, 742, 
34, 2110, 482, 682, 735, 
35, 2097, 466, 684, 744, 
36, 2102, 485, 685, 739, 
37, 2091, 482, 665, 735, 
38, 2101, 484, 679, 735, 
39, 2110, 476, 684, 738, 
40, 2094, 474, 671, 741, 
41, 2110, 470, 667, 741, 
42, 2092, 474, 685, 745, 
43, 2098, 474, 674, 741, 
44, 2107, 478, 683, 738, 
45, 2095, 471, 673, 737, 
46, 2090, 471, 682, 735, 
47, 2095, 468, 675, 737, 
48, 2094, 479, 673, 740, 
49, 2098, 471, 665, 736, 
