nbElements: 2153
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2110, 1483, 698, 472, 647, 490, 
1, 2108, 1486, 662, 477, 700, 482, 
2, 2112, 1481, 658, 486, 697, 476, 
3, 2101, 1483, 653, 493, 698, 465, 
4, 2104, 1473, 696, 481, 670, 491, 
5, 2109, 1490, 679, 473, 671, 490, 
6, 2103, 1486, 673, 471, 680, 468, 
7, 2105, 1471, 642, 504, 707, 466, 
8, 2110, 1485, 709, 484, 669, 491, 
9, 2105, 1481, 683, 477, 685, 475, 
10, 2096, 1497, 704, 483, 674, 477, 
11, 2106, 1489, 694, 467, 670, 477, 
12, 2099, 1481, 646, 495, 670, 481, 
13, 2103, 1479, 710, 468, 677, 481, 
14, 2107, 1478, 649, 497, 688, 470, 
15, 2097, 1482, 670, 487, 709, 474, 
16, 2095, 1470, 714, 466, 663, 484, 
17, 2107, 1470, 643, 503, 684, 475, 
18, 2107, 1483, 705, 477, 657, 498, 
19, 2108, 1486, 637, 511, 687, 478, 
20, 2108, 1473, 706, 485, 648, 496, 
21, 2096, 1477, 683, 470, 653, 499, 
22, 2099, 1492, 685, 465, 651, 497, 
23, 2101, 1480, 692, 472, 653, 500, 
24, 2102, 1483, 661, 487, 703, 473, 
25, 2092, 1483, 658, 485, 683, 479, 
26, 2109, 1493, 653, 507, 685, 468, 
27, 2096, 1485, 667, 481, 694, 473, 
28, 2107, 1463, 653, 505, 688, 473, 
29, 2097, 1475, 701, 465, 660, 503, 
30, 2098, 1484, 691, 466, 655, 488, 
31, 2103, 1478, 654, 489, 679, 482, 
32, 2100, 1471, 678, 483, 688, 485, 
33, 2096, 1486, 648, 504, 701, 483, 
34, 2107, 1496, 701, 470, 671, 490, 
35, 2108, 1468, 703, 481, 680, 471, 
36, 2111, 1481, 654, 490, 690, 479, 
37, 2103, 1479, 667, 487, 698, 472, 
38, 2109, 1484, 700, 470, 665, 487, 
39, 2104, 1470, 713, 467, 672, 478, 
40, 2106, 1478, 671, 478, 700, 471, 
41, 2097, 1479, 700, 479, 658, 494, 
42, 2110, 1490, 685, 480, 655, 512, 
43, 2102, 1491, 692, 476, 669, 475, 
44, 2110, 1475, 675, 480, 685, 481, 
45, 2112, 1474, 696, 473, 677, 477, 
46, 2107, 1497, 706, 484, 655, 500, 
47, 2109, 1482, 668, 479, 689, 477, 
48, 2112, 1490, 657, 485, 678, 472, 
49, 2111, 1467, 704, 469, 679, 487, 
50, 2111, 1488, 691, 482, 675, 489, 
51, 2095, 1494, 677, 471, 700, 479, 
52, 2100, 1485, 661, 493, 696, 467, 
53, 2105, 1482, 647, 503, 693, 482, 
54, 2103, 1469, 669, 486, 697, 471, 
55, 2101, 1463, 637, 511, 703, 466, 
56, 2096, 1473, 657, 492, 709, 483, 
57, 2105, 1480, 653, 491, 686, 472, 
58, 2108, 1477, 701, 471, 667, 490, 
59, 2102, 1480, 698, 482, 673, 488, 
60, 2107, 1463, 697, 472, 671, 479, 
61, 2108, 1463, 673, 482, 673, 490, 
62, 2106, 1474, 673, 486, 677, 474, 
63, 2112, 1493, 690, 484, 667, 487, 
64, 2110, 1482, 680, 468, 639, 505, 
65, 2097, 1483, 686, 474, 662, 490, 
66, 2110, 1483, 690, 472, 655, 508, 
67, 2107, 1481, 641, 510, 686, 476, 
68, 2105, 1485, 652, 505, 674, 478, 
69, 2109, 1467, 695, 482, 664, 478, 
70, 2103, 1475, 656, 508, 688, 478, 
71, 2106, 1479, 646, 501, 708, 477, 
72, 2097, 1467, 676, 484, 663, 491, 
73, 2109, 1463, 679, 481, 658, 483, 
74, 2107, 1476, 667, 482, 674, 477, 
75, 2107, 1479, 704, 481, 665, 479, 
76, 2107, 1480, 701, 472, 675, 475, 
77, 2109, 1476, 655, 496, 694, 474, 
78, 2100, 1501, 653, 495, 690, 466, 
79, 2106, 1483, 689, 470, 670, 496, 
80, 2107, 1479, 678, 471, 651, 500, 
81, 2109, 1495, 693, 479, 662, 492, 
82, 2109, 1471, 639, 502, 696, 470, 
83, 2106, 1494, 643, 498, 675, 469, 
84, 2106, 1480, 661, 484, 708, 483, 
85, 2105, 1486, 683, 477, 660, 501, 
86, 2110, 1487, 654, 493, 682, 469, 
87, 2104, 1486, 649, 511, 697, 481, 
88, 2111, 1468, 678, 480, 691, 479, 
89, 2107, 1476, 689, 480, 637, 499, 
90, 2102, 1472, 667, 483, 702, 478, 
91, 2102, 1474, 652, 492, 685, 478, 
92, 2100, 1481, 708, 485, 656, 489, 
93, 2097, 1486, 675, 467, 641, 505, 
94, 2105, 1471, 647, 494, 688, 467, 
95, 2108, 1490, 698, 473, 657, 484, 
96, 2107, 1488, 696, 482, 655, 510, 
97, 2101, 1487, 706, 465, 644, 497, 
98, 2106, 1494, 670, 468, 703, 476, 
99, 2106, 1493, 660, 492, 694, 473, 
100, 2110, 1486, 664, 483, 691, 470, 
101, 2091, 1487, 651, 498, 701, 471, 
102, 2109, 1485, 691, 466, 653, 507, 
103, 2100, 1489, 655, 496, 690, 475, 
104, 2095, 1489, 675, 491, 680, 484, 
105, 2111, 1495, 653, 484, 679, 474, 
106, 2109, 1464, 669, 481, 685, 483, 
107, 2099, 1482, 668, 479, 684, 467, 
108, 2097, 1463, 659, 480, 705, 484, 
109, 2111, 1492, 679, 477, 655, 503, 
110, 2109, 1461, 704, 472, 652, 497, 
111, 2099, 1475, 656, 498, 696, 472, 
112, 2110, 1485, 702, 481, 677, 491, 
113, 2105, 1487, 682, 473, 655, 478, 
114, 2106, 1468, 653, 499, 695, 470, 
115, 2097, 1486, 692, 479, 664, 481, 
116, 2097, 1487, 685, 466, 682, 480, 
117, 2111, 1470, 667, 486, 686, 481, 
118, 2110, 1479, 683, 484, 660, 500, 
119, 2108, 1482, 666, 472, 712, 475, 
120, 2103, 1485, 666, 472, 644, 506, 
121, 2106, 1481, 674, 481, 691, 478, 
122, 2110, 1499, 695, 484, 662, 496, 
123, 2097, 1493, 665, 488, 683, 466, 
124, 2111, 1480, 667, 482, 703, 475, 
125, 2102, 1489, 682, 482, 661, 479, 
126, 2104, 1482, 655, 494, 684, 465, 
127, 2111, 1480, 670, 475, 695, 485, 
128, 2104, 1478, 690, 478, 661, 494, 
129, 2109, 1481, 637, 514, 696, 478, 
130, 2104, 1491, 683, 470, 641, 506, 
131, 2112, 1470, 643, 500, 696, 481, 
132, 2105, 1480, 675, 465, 682, 488, 
133, 2105, 1494, 668, 492, 702, 475, 
134, 2106, 1487, 656, 486, 691, 484, 
135, 2099, 1488, 656, 502, 675, 484, 
136, 2097, 1482, 662, 480, 691, 477, 
137, 2108, 1489, 677, 489, 701, 484, 
138, 2105, 1484, 660, 492, 683, 485, 
139, 2103, 1483, 671, 485, 699, 473, 
140, 2095, 1483, 640, 504, 701, 478, 
141, 2111, 1463, 661, 483, 690, 468, 
142, 2111, 1473, 658, 498, 697, 475, 
143, 2098, 1475, 644, 491, 696, 466, 
144, 2108, 1488, 652, 498, 697, 484, 
145, 2102, 1471, 688, 468, 667, 494, 
146, 2111, 1472, 646, 510, 686, 485, 
147, 2103, 1487, 652, 483, 692, 478, 
148, 2110, 1466, 687, 484, 639, 510, 
149, 2107, 1491, 654, 480, 685, 474, 
150, 2103, 1474, 686, 485, 659, 494, 
151, 2106, 1472, 700, 482, 669, 496, 
152, 2110, 1491, 659, 475, 702, 467, 
153, 2107, 1472, 647, 493, 691, 484, 
154, 2098, 1481, 672, 481, 706, 485, 
155, 2105, 1479, 656, 493, 696, 471, 
156, 2094, 1482, 663, 495, 701, 482, 
157, 2101, 1465, 667, 491, 680, 465, 
158, 2110, 1488, 685, 473, 655, 493, 
159, 2111, 1483, 647, 507, 697, 477, 
160, 2109, 1483, 677, 483, 667, 477, 
161, 2098, 1495, 663, 485, 698, 465, 
162, 2107, 1496, 669, 496, 707, 479, 
163, 2107, 1494, 697, 467, 656, 490, 
164, 2099, 1470, 670, 480, 686, 480, 
165, 2108, 1484, 663, 479, 696, 482, 
166, 2108, 1494, 648, 493, 696, 474, 
167, 2105, 1489, 686, 474, 640, 507, 
168, 2109, 1479, 670, 469, 692, 466, 
169, 2094, 1476, 661, 494, 695, 467, 
170, 2106, 1466, 695, 481, 665, 475, 
171, 2095, 1480, 655, 484, 679, 466, 
172, 2096, 1480, 664, 472, 695, 470, 
173, 2102, 1463, 657, 494, 695, 485, 
174, 2103, 1480, 665, 503, 706, 466, 
175, 2100, 1470, 670, 467, 652, 498, 
176, 2111, 1488, 663, 480, 693, 479, 
177, 2102, 1477, 698, 481, 667, 487, 
178, 2110, 1488, 691, 466, 643, 505, 
179, 2107, 1483, 669, 490, 686, 481, 
180, 2102, 1476, 659, 482, 680, 469, 
181, 2107, 1481, 693, 478, 646, 507, 
182, 2096, 1473, 671, 469, 698, 483, 
183, 2098, 1489, 667, 493, 693, 479, 
184, 2110, 1487, 661, 479, 681, 476, 
185, 2100, 1477, 694, 474, 665, 487, 
186, 2100, 1487, 695, 484, 653, 493, 
187, 2110, 1475, 660, 499, 707, 476, 
188, 2102, 1480, 701, 481, 670, 483, 
189, 2106, 1485, 679, 479, 671, 487, 
190, 2112, 1489, 665, 494, 687, 465, 
191, 2099, 1482, 703, 475, 657, 479, 
192, 2104, 1474, 654, 480, 670, 484, 
193, 2094, 1474, 710, 485, 649, 500, 
194, 2108, 1487, 651, 494, 686, 467, 
195, 2101, 1486, 653, 491, 703, 466, 
196, 2109, 1484, 702, 480, 664, 488, 
197, 2105, 1475, 682, 471, 648, 511, 
198, 2095, 1491, 694, 470, 675, 477, 
199, 2111, 1492, 689, 472, 661, 483, 
200, 2097, 1467, 703, 480, 652, 496, 
201, 2097, 1486, 672, 469, 679, 473, 
202, 2097, 1494, 702, 468, 657, 492, 
203, 2106, 1469, 702, 465, 663, 492, 
204, 2109, 1461, 685, 470, 656, 501, 
205, 2104, 1479, 652, 507, 686, 469, 
206, 2103, 1495, 681, 466, 645, 488, 
207, 2103, 1469, 673, 470, 659, 479, 
208, 2096, 1471, 672, 472, 657, 483, 
209, 2112, 1477, 689, 483, 652, 506, 
210, 2110, 1473, 680, 468, 647, 491, 
211, 2092, 1480, 681, 474, 655, 487, 
212, 2100, 1484, 695, 473, 642, 509, 
213, 2103, 1468, 693, 485, 667, 493, 
214, 2111, 1465, 668, 475, 653, 496, 
215, 2111, 1480, 651, 501, 694, 473, 
216, 2101, 1470, 690, 478, 674, 474, 
217, 2094, 1471, 671, 479, 667, 494, 
218, 2106, 1479, 672, 471, 701, 468, 
219, 2105, 1473, 682, 476, 647, 504, 
220, 2106, 1477, 661, 500, 696, 485, 
221, 2100, 1484, 696, 468, 643, 495, 
222, 2107, 1470, 691, 468, 647, 501, 
223, 2110, 1464, 666, 494, 679, 472, 
224, 2102, 1479, 687, 485, 651, 481, 
225, 2099, 1476, 701, 473, 662, 483, 
226, 2107, 1478, 655, 480, 694, 468, 
227, 2102, 1497, 660, 498, 687, 469, 
228, 2103, 1482, 680, 478, 705, 474, 
229, 2107, 1483, 679, 490, 684, 473, 
230, 2102, 1488, 665, 486, 708, 475, 
231, 2101, 1477, 658, 493, 692, 481, 
232, 2093, 1499, 675, 492, 695, 474, 
233, 2096, 1486, 660, 502, 692, 478, 
234, 2097, 1471, 695, 469, 665, 491, 
235, 2103, 1465, 664, 498, 701, 483, 
236, 2106, 1486, 672, 474, 706, 475, 
237, 2112, 1478, 701, 469, 645, 513, 
238, 2107, 1491, 667, 484, 690, 484, 
239, 2101, 1482, 661, 494, 704, 478, 
240, 2100, 1491, 654, 488, 697, 481, 
241, 2109, 1472, 703, 478, 675, 473, 
242, 2096, 1478, 688, 473, 651, 500, 
243, 2097, 1495, 695, 470, 653, 501, 
244, 2100, 1484, 668, 470, 694, 470, 
245, 2100, 1483, 667, 468, 659, 490, 
246, 2106, 1499, 660, 500, 695, 467, 
247, 2108, 1484, 693, 485, 651, 489, 
248, 2105, 1478, 691, 484, 653, 499, 
249, 2098, 1478, 654, 484, 688, 481, 
250, 2106, 1472, 672, 491, 709, 470, 
251, 2094, 1468, 662, 476, 701, 467, 
252, 2107, 1491, 699, 478, 667, 485, 
253, 2101, 1489, 661, 491, 713, 478, 
254, 2098, 1469, 712, 481, 663, 491, 
255, 2110, 1488, 686, 466, 655, 490, 
256, 2105, 1475, 669, 482, 697, 482, 
257, 2106, 1490, 701, 469, 658, 492, 
258, 2109, 1494, 689, 472, 670, 484, 
259, 2100, 1494, 702, 481, 656, 488, 
260, 2107, 1485, 672, 469, 654, 504, 
261, 2092, 1481, 645, 487, 688, 474, 
262, 2111, 1474, 645, 498, 688, 480, 
263, 2104, 1499, 704, 472, 669, 486, 
264, 2109, 1485, 653, 497, 688, 479, 
265, 2104, 1482, 662, 491, 693, 465, 
266, 2112, 1480, 659, 498, 690, 474, 
267, 2108, 1464, 671, 476, 672, 465, 
268, 2109, 1482, 642, 493, 699, 467, 
269, 2108, 1495, 647, 510, 701, 484, 
270, 2105, 1477, 658, 482, 682, 479, 
271, 2110, 1489, 706, 470, 648, 510, 
272, 2099, 1489, 672, 476, 643, 511, 
273, 2109, 1479, 678, 467, 650, 485, 
274, 2105, 1483, 696, 470, 658, 476, 
275, 2093, 1469, 695, 480, 655, 489, 
276, 2100, 1471, 656, 502, 685, 469, 
277, 2099, 1471, 692, 470, 662, 500, 
278, 2100, 1489, 667, 477, 674, 478, 
279, 2110, 1483, 694, 476, 647, 496, 
280, 2097, 1483, 693, 474, 664, 494, 
281, 2109, 1471, 651, 505, 680, 468, 
282, 2102, 1479, 658, 482, 709, 472, 
283, 2109, 1482, 673, 476, 642, 505, 
284, 2098, 1490, 695, 485, 665, 499, 
285, 2112, 1478, 652, 505, 670, 483, 
286, 2107, 1488, 651, 503, 683, 474, 
287, 2112, 1480, 678, 466, 637, 498, 
288, 2107, 1473, 679, 472, 664, 498, 
289, 2110, 1485, 643, 504, 696, 483, 
290, 2110, 1482, 660, 494, 671, 476, 
291, 2105, 1485, 646, 499, 680, 468, 
292, 2101, 1480, 690, 467, 677, 487, 
293, 2109, 1486, 671, 480, 668, 487, 
294, 2108, 1499, 651, 500, 700, 479, 
295, 2110, 1488, 655, 495, 677, 468, 
296, 2106, 1481, 703, 483, 659, 489, 
297, 2109, 1467, 709, 467, 655, 493, 
298, 2110, 1480, 667, 497, 688, 475, 
