nbElements: 2153
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2106, 473, 669, 748, 
1, 2097, 475, 671, 734, 
2, 2109, 481, 683, 737, 
3, 2106, 484, 680, 747, 
4, 2094, 470, 673, 732, 
5, 2098, 478, 677, 750, 
6, 2099, 484, 675, 733, 
7, 2092, 466, 665, 732, 
8, 2104, 476, 683, 738, 
9, 2107, 474, 685, 738, 
10, 2108, 475, 681, 744, 
11, 2108, 480, 683, 748, 
12, 2107, 469, 669, 745, 
13, 2102, 482, 670, 738, 
14, 2097, 471, 679, 735, 
15, 2104, 483, 675, 748, 
16, 2103, 474, 676, 739, 
17, 2105, 479, 668, 738, 
18, 2103, 484, 677, 745, 
19, 2110, 481, 681, 748, 
20, 2109, 472, 681, 742, 
21, 2105, 470, 667, 741, 
22, 2105, 477, 671, 742, 
23, 2105, 482, 678, 746, 
24, 2090, 477, 676, 738, 
25, 2093, 477, 671, 738, 
26, 2098, 485, 681, 730, 
27, 2095, 465, 666, 735, 
28, 2098, 476, 680, 742, 
29, 2106, 484, 679, 735, 
30, 2094, 472, 680, 744, 
31, 2102, 474, 684, 736, 
32, 2103, 467, 682, 740, 
33, 2104, 469, 666, 733, 
34, 2107, 477, 668, 748, 
35, 2093, 474, 681, 731, 
36, 2096, 480, 684, 742, 
37, 2092, 473, 684, 743, 
38, 2102, 484, 671, 732, 
39, 2106, 474, 678, 747, 
40, 2110, 482, 675, 750, 
41, 2092, 481, 679, 730, 
42, 2109, 480, 667, 744, 
43, 2095, 470, 673, 736, 
44, 2101, 473, 671, 747, 
45, 2093, 484, 667, 748, 
46, 2106, 482, 681, 738, 
47, 2110, 485, 683, 740, 
48, 2098, 468, 680, 735, 
49, 2103, 468, 666, 736, 
50, 2107, 485, 673, 738, 
51, 2090, 482, 674, 741, 
52, 2107, 467, 672, 730, 
53, 2101, 477, 666, 745, 
54, 2098, 483, 672, 747, 
55, 2093, 481, 677, 731, 
56, 2095, 477, 677, 746, 
57, 2099, 474, 675, 745, 
58, 2098, 480, 674, 737, 
59, 2107, 482, 684, 748, 
60, 2091, 469, 684, 734, 
61, 2100, 485, 677, 744, 
62, 2108, 482, 685, 750, 
63, 2108, 472, 673, 749, 
64, 2090, 478, 675, 746, 
65, 2101, 472, 669, 742, 
66, 2098, 468, 672, 742, 
67, 2099, 468, 674, 739, 
68, 2094, 484, 666, 730, 
69, 2094, 479, 682, 741, 
70, 2100, 485, 672, 742, 
71, 2104, 483, 679, 750, 
72, 2095, 469, 680, 740, 
73, 2102, 466, 670, 735, 
74, 2103, 474, 684, 747, 
75, 2097, 473, 669, 745, 
76, 2090, 480, 668, 746, 
77, 2095, 473, 671, 744, 
78, 2103, 470, 672, 736, 
79, 2109, 465, 682, 733, 
80, 2109, 485, 683, 732, 
81, 2107, 472, 682, 748, 
82, 2101, 472, 680, 740, 
83, 2097, 472, 679, 736, 
84, 2106, 477, 682, 734, 
85, 2103, 481, 679, 746, 
86, 2097, 480, 681, 747, 
87, 2110, 466, 684, 742, 
88, 2091, 474, 671, 743, 
89, 2102, 465, 682, 735, 
90, 2095, 471, 669, 750, 
91, 2093, 484, 682, 746, 
92, 2091, 469, 672, 741, 
93, 2092, 469, 684, 747, 
94, 2106, 484, 685, 739, 
95, 2095, 480, 669, 742, 
96, 2096, 470, 672, 733, 
97, 2106, 477, 666, 746, 
98, 2100, 478, 682, 740, 
99, 2107, 471, 681, 733, 
100, 2103, 476, 674, 738, 
101, 2104, 476, 676, 732, 
102, 2094, 472, 674, 743, 
103, 2095, 466, 680, 731, 
104, 2097, 479, 676, 742, 
105, 2099, 476, 680, 735, 
106, 2104, 478, 675, 749, 
107, 2102, 468, 677, 730, 
108, 2094, 483, 677, 733, 
