nbElements: 2153
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2091, 467, 676, 737, 
1, 2091, 474, 684, 741, 
2, 2104, 473, 670, 735, 
3, 2091, 468, 666, 743, 
4, 2099, 484, 671, 735, 
5, 2103, 481, 671, 749, 
6, 2107, 481, 674, 742, 
7, 2101, 471, 668, 734, 
8, 2103, 474, 677, 740, 
9, 2104, 484, 683, 744, 
10, 2091, 477, 675, 746, 
11, 2092, 465, 682, 734, 
12, 2097, 481, 682, 742, 
13, 2101, 467, 679, 736, 
14, 2099, 466, 670, 737, 
15, 2101, 479, 669, 746, 
16, 2101, 483, 672, 730, 
17, 2092, 465, 678, 749, 
18, 2105, 473, 672, 748, 
19, 2091, 468, 682, 745, 
20, 2093, 481, 665, 749, 
21, 2100, 474, 685, 730, 
22, 2109, 467, 669, 747, 
23, 2102, 465, 679, 740, 
24, 2097, 485, 680, 730, 
25, 2091, 475, 668, 744, 
26, 2109, 467, 669, 739, 
27, 2100, 481, 667, 730, 
28, 2094, 479, 676, 736, 
29, 2093, 466, 666, 743, 
30, 2096, 478, 666, 739, 
31, 2092, 483, 675, 747, 
32, 2098, 471, 685, 737, 
33, 2100, 479, 679, 748, 
34, 2109, 480, 671, 749, 
35, 2092, 485, 670, 748, 
36, 2106, 468, 681, 743, 
37, 2108, 476, 672, 734, 
38, 2098, 477, 678, 730, 
39, 2102, 471, 683, 748, 
40, 2097, 472, 667, 731, 
41, 2098, 469, 685, 731, 
42, 2107, 485, 684, 731, 
43, 2106, 465, 677, 741, 
44, 2105, 473, 684, 730, 
45, 2099, 473, 675, 737, 
46, 2107, 483, 672, 745, 
47, 2100, 466, 669, 743, 
48, 2102, 465, 671, 746, 
49, 2102, 471, 673, 734, 
50, 2104, 465, 668, 731, 
51, 2092, 480, 666, 738, 
52, 2100, 483, 678, 747, 
53, 2108, 473, 683, 747, 
54, 2103, 469, 675, 734, 
55, 2097, 473, 680, 745, 
56, 2101, 465, 665, 732, 
57, 2097, 482, 683, 730, 
58, 2098, 470, 681, 746, 
59, 2090, 467, 665, 737, 
60, 2103, 470, 670, 743, 
61, 2090, 475, 674, 734, 
62, 2106, 475, 675, 750, 
63, 2092, 473, 667, 736, 
64, 2110, 465, 665, 733, 
65, 2093, 473, 675, 744, 
66, 2094, 477, 680, 732, 
67, 2102, 471, 679, 749, 
68, 2092, 472, 685, 730, 
69, 2101, 471, 673, 731, 
70, 2103, 473, 682, 737, 
71, 2101, 465, 670, 735, 
72, 2096, 466, 672, 732, 
73, 2106, 482, 681, 731, 
74, 2100, 479, 675, 735, 
75, 2099, 482, 685, 732, 
76, 2096, 469, 679, 740, 
77, 2098, 482, 678, 742, 
78, 2103, 477, 674, 733, 
79, 2097, 471, 668, 735, 
80, 2094, 468, 673, 740, 
81, 2099, 474, 678, 731, 
82, 2100, 473, 672, 739, 
83, 2093, 477, 678, 735, 
84, 2093, 479, 683, 746, 
85, 2110, 484, 683, 738, 
86, 2104, 477, 671, 736, 
87, 2092, 473, 666, 747, 
88, 2099, 466, 679, 738, 
89, 2095, 473, 672, 735, 
90, 2093, 474, 672, 733, 
91, 2107, 472, 683, 731, 
92, 2104, 474, 675, 746, 
93, 2095, 471, 671, 732, 
94, 2093, 470, 666, 738, 
95, 2098, 472, 682, 741, 
96, 2105, 470, 679, 733, 
97, 2106, 472, 679, 739, 
98, 2099, 478, 673, 732, 
99, 2090, 466, 669, 731, 
100, 2102, 478, 685, 733, 
101, 2095, 485, 681, 743, 
102, 2097, 469, 672, 737, 
103, 2090, 478, 675, 743, 
104, 2090, 478, 672, 750, 
105, 2102, 474, 674, 731, 
106, 2102, 482, 665, 732, 
107, 2096, 465, 668, 746, 
108, 2093, 474, 665, 742, 
109, 2092, 470, 681, 736, 
110, 2098, 471, 672, 750, 
111, 2108, 485, 677, 737, 
112, 2094, 474, 668, 745, 
113, 2103, 477, 668, 742, 
114, 2105, 482, 679, 748, 
115, 2095, 467, 678, 737, 
116, 2102, 476, 672, 739, 
117, 2108, 467, 677, 734, 
118, 2093, 482, 683, 734, 
119, 2098, 468, 676, 742, 
120, 2097, 470, 679, 741, 
121, 2099, 482, 667, 738, 
122, 2098, 479, 669, 743, 
123, 2107, 466, 667, 737, 
124, 2097, 469, 676, 735, 
125, 2103, 481, 674, 750, 
126, 2096, 478, 666, 735, 
127, 2095, 470, 669, 730, 
128, 2098, 478, 675, 738, 
129, 2099, 470, 675, 748, 
130, 2104, 473, 669, 739, 
131, 2107, 483, 677, 735, 
132, 2090, 469, 675, 747, 
133, 2101, 476, 671, 744, 
134, 2102, 469, 668, 738, 
135, 2093, 470, 684, 742, 
136, 2106, 481, 684, 748, 
137, 2098, 478, 673, 744, 
138, 2105, 465, 677, 738, 
139, 2103, 470, 673, 738, 
140, 2102, 477, 672, 731, 
141, 2108, 471, 669, 746, 
142, 2100, 469, 673, 733, 
143, 2107, 484, 675, 746, 
144, 2108, 465, 682, 742, 
145, 2103, 480, 682, 743, 
146, 2101, 484, 673, 746, 
147, 2097, 479, 670, 733, 
148, 2105, 465, 673, 750, 
149, 2107, 485, 679, 738, 
150, 2110, 484, 673, 735, 
151, 2091, 470, 668, 741, 
152, 2103, 481, 685, 732, 
153, 2098, 469, 675, 749, 
154, 2093, 476, 666, 748, 
155, 2104, 467, 681, 738, 
156, 2104, 466, 682, 732, 
157, 2099, 484, 681, 741, 
158, 2104, 472, 679, 734, 
159, 2091, 479, 675, 742, 
160, 2097, 484, 684, 730, 
161, 2090, 477, 670, 731, 
162, 2098, 471, 676, 748, 
163, 2105, 475, 667, 733, 
164, 2105, 474, 683, 741, 
165, 2094, 480, 684, 744, 
166, 2099, 485, 675, 743, 
167, 2105, 480, 683, 744, 
168, 2095, 473, 678, 745, 
169, 2090, 481, 674, 748, 
170, 2094, 468, 665, 737, 
171, 2103, 470, 679, 746, 
172, 2101, 477, 681, 733, 
173, 2105, 468, 672, 750, 
174, 2096, 477, 678, 745, 
175, 2103, 484, 669, 736, 
176, 2097, 469, 671, 742, 
177, 2096, 481, 674, 747, 
178, 2104, 484, 685, 739, 
179, 2109, 484, 665, 737, 
180, 2108, 467, 675, 744, 
181, 2108, 477, 682, 732, 
182, 2096, 480, 674, 735, 
183, 2105, 475, 666, 749, 
184, 2092, 479, 679, 740, 
185, 2098, 469, 679, 747, 
186, 2107, 480, 676, 748, 
187, 2094, 470, 673, 740, 
188, 2104, 465, 671, 732, 
189, 2104, 465, 668, 733, 
190, 2096, 469, 683, 744, 
191, 2109, 478, 677, 741, 
192, 2096, 483, 674, 743, 
193, 2107, 470, 680, 735, 
194, 2091, 483, 668, 730, 
195, 2105, 483, 669, 740, 
196, 2109, 471, 666, 745, 
197, 2093, 467, 680, 748, 
198, 2104, 485, 684, 750, 
199, 2094, 466, 673, 746, 
200, 2094, 476, 666, 736, 
201, 2097, 470, 668, 741, 
202, 2101, 483, 670, 744, 
203, 2092, 479, 666, 744, 
204, 2096, 476, 685, 740, 
205, 2105, 477, 669, 742, 
206, 2094, 471, 669, 738, 
207, 2094, 470, 684, 745, 
208, 2100, 468, 675, 731, 
209, 2104, 475, 665, 740, 
210, 2094, 473, 684, 743, 
211, 2104, 470, 670, 741, 
212, 2097, 468, 674, 740, 
213, 2108, 484, 670, 732, 
214, 2107, 484, 670, 736, 
215, 2103, 467, 685, 740, 
216, 2105, 471, 678, 743, 
217, 2102, 485, 665, 748, 
218, 2090, 484, 678, 750, 
219, 2100, 475, 680, 734, 
220, 2107, 468, 685, 745, 
221, 2090, 485, 683, 731, 
222, 2091, 472, 683, 740, 
223, 2109, 468, 685, 750, 
224, 2101, 473, 683, 739, 
225, 2090, 471, 672, 746, 
226, 2090, 470, 676, 745, 
227, 2099, 477, 666, 730, 
228, 2104, 478, 685, 741, 
229, 2109, 477, 665, 737, 
230, 2104, 471, 668, 747, 
231, 2100, 474, 666, 731, 
232, 2102, 472, 681, 737, 
233, 2102, 479, 673, 745, 
234, 2103, 484, 674, 733, 
235, 2110, 465, 678, 738, 
236, 2107, 485, 673, 735, 
237, 2103, 477, 681, 733, 
238, 2098, 468, 666, 746, 
239, 2094, 476, 674, 739, 
240, 2109, 483, 683, 746, 
241, 2107, 484, 666, 734, 
242, 2100, 468, 671, 737, 
243, 2101, 477, 684, 749, 
244, 2102, 469, 675, 733, 
245, 2109, 468, 679, 747, 
246, 2102, 469, 684, 739, 
247, 2101, 467, 682, 734, 
248, 2100, 470, 681, 743, 
249, 2094, 480, 676, 740, 
250, 2103, 485, 676, 748, 
251, 2099, 473, 683, 730, 
252, 2092, 480, 684, 745, 
253, 2108, 467, 669, 735, 
254, 2105, 465, 678, 748, 
255, 2101, 476, 673, 738, 
256, 2110, 470, 682, 737, 
257, 2100, 481, 682, 742, 
258, 2100, 481, 669, 743, 
259, 2103, 473, 681, 733, 
260, 2091, 468, 673, 738, 
261, 2090, 483, 685, 744, 
262, 2099, 467, 671, 749, 
263, 2101, 466, 684, 741, 
264, 2092, 474, 685, 738, 
265, 2090, 479, 673, 731, 
266, 2100, 482, 684, 737, 
267, 2110, 474, 685, 749, 
268, 2095, 468, 684, 733, 
269, 2090, 466, 675, 739, 
270, 2094, 483, 672, 738, 
271, 2106, 482, 679, 747, 
272, 2093, 475, 681, 741, 
273, 2106, 476, 671, 749, 
274, 2099, 476, 666, 739, 
275, 2106, 481, 683, 739, 
276, 2097, 476, 666, 735, 
277, 2091, 472, 667, 730, 
278, 2094, 482, 674, 743, 
279, 2096, 485, 669, 749, 
280, 2090, 468, 672, 732, 
281, 2095, 482, 675, 744, 
282, 2103, 475, 670, 737, 
283, 2094, 465, 666, 732, 
284, 2094, 472, 676, 734, 
285, 2101, 465, 673, 742, 
286, 2099, 477, 683, 749, 
287, 2106, 483, 683, 735, 
288, 2107, 477, 676, 734, 
289, 2100, 481, 681, 740, 
290, 2090, 470, 679, 750, 
291, 2110, 480, 665, 734, 
292, 2094, 478, 684, 730, 
293, 2105, 484, 668, 748, 
294, 2094, 481, 678, 743, 
295, 2101, 469, 678, 734, 
296, 2095, 465, 666, 736, 
297, 2105, 485, 683, 747, 
298, 2106, 483, 666, 740, 
299, 2107, 470, 674, 744, 
300, 2100, 474, 682, 749, 
301, 2094, 469, 666, 732, 
