nbElements: 2153
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2110, 1476, 698, 473, 647, 490, 
1, 2088, 1497, 680, 481, 688, 478, 
2, 2109, 1474, 695, 477, 653, 490, 
3, 2093, 1489, 666, 485, 690, 475, 
4, 2103, 1484, 676, 470, 681, 488, 
5, 2112, 1485, 705, 472, 641, 501, 
6, 2105, 1484, 689, 480, 645, 487, 
7, 2100, 1489, 710, 483, 656, 499, 
8, 2098, 1489, 676, 485, 672, 481, 
9, 2106, 1497, 684, 469, 652, 498, 
10, 2094, 1482, 678, 473, 657, 501, 
11, 2107, 1480, 688, 475, 648, 489, 
12, 2096, 1469, 666, 483, 696, 469, 
13, 2092, 1465, 685, 481, 645, 514, 
14, 2110, 1470, 684, 477, 652, 488, 
15, 2103, 1470, 643, 503, 684, 477, 
16, 2103, 1481, 705, 481, 663, 492, 
17, 2111, 1470, 703, 476, 663, 491, 
18, 2091, 1473, 692, 470, 666, 496, 
19, 2102, 1484, 686, 478, 669, 487, 
20, 2107, 1482, 704, 465, 646, 500, 
21, 2106, 1480, 653, 491, 691, 464, 
22, 2099, 1478, 667, 470, 690, 466, 
23, 2102, 1498, 708, 477, 677, 475, 
24, 2111, 1479, 698, 472, 651, 504, 
25, 2097, 1467, 672, 472, 644, 493, 
26, 2107, 1489, 685, 480, 662, 492, 
27, 2103, 1464, 702, 475, 654, 489, 
28, 2094, 1482, 661, 487, 690, 479, 
29, 2105, 1491, 692, 471, 654, 499, 
30, 2108, 1493, 701, 468, 671, 491, 
31, 2106, 1464, 650, 492, 698, 468, 
32, 2109, 1473, 691, 479, 643, 509, 
33, 2094, 1478, 672, 473, 672, 465, 
34, 2105, 1473, 652, 481, 678, 474, 
35, 2100, 1465, 694, 485, 650, 501, 
36, 2100, 1465, 657, 497, 694, 472, 
37, 2097, 1491, 690, 466, 684, 487, 
38, 2096, 1469, 679, 474, 667, 485, 
39, 2106, 1460, 677, 487, 698, 478, 
40, 2106, 1486, 675, 479, 658, 496, 
41, 2109, 1461, 649, 489, 697, 475, 
42, 2098, 1459, 678, 471, 695, 481, 
43, 2105, 1470, 651, 494, 703, 467, 
44, 2102, 1495, 659, 509, 706, 477, 
45, 2094, 1490, 677, 473, 700, 478, 
46, 2097, 1475, 677, 476, 662, 505, 
47, 2107, 1476, 664, 485, 697, 481, 
48, 2087, 1461, 691, 474, 678, 482, 
49, 2100, 1470, 710, 473, 666, 496, 
50, 2095, 1486, 695, 470, 644, 510, 
51, 2111, 1486, 710, 467, 667, 490, 
52, 2110, 1480, 684, 474, 652, 506, 
53, 2094, 1480, 679, 474, 660, 488, 
54, 2084, 1479, 685, 470, 653, 490, 
55, 2097, 1468, 653, 494, 678, 473, 
56, 2104, 1485, 697, 476, 667, 487, 
57, 2111, 1477, 677, 485, 639, 507, 
58, 2110, 1465, 690, 482, 665, 482, 
59, 2106, 1481, 639, 508, 701, 477, 
60, 2098, 1480, 652, 504, 674, 477, 
61, 2096, 1457, 666, 475, 697, 470, 
62, 2096, 1482, 663, 501, 707, 469, 
