nbElements: 2153
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2100, 471, 668, 742, 
1, 2102, 473, 680, 746, 
2, 2090, 469, 673, 736, 
3, 2110, 480, 683, 733, 
4, 2092, 468, 677, 736, 
5, 2103, 480, 679, 740, 
6, 2108, 474, 675, 736, 
7, 2092, 467, 667, 743, 
8, 2092, 473, 685, 733, 
9, 2106, 467, 684, 749, 
10, 2095, 469, 683, 739, 
11, 2105, 474, 676, 734, 
12, 2104, 465, 675, 730, 
13, 2091, 470, 672, 737, 
14, 2102, 469, 679, 748, 
15, 2104, 469, 681, 748, 
16, 2098, 472, 683, 750, 
17, 2108, 485, 669, 736, 
18, 2108, 465, 674, 744, 
19, 2104, 471, 669, 744, 
20, 2110, 465, 679, 740, 
21, 2103, 467, 677, 749, 
22, 2092, 472, 665, 747, 
23, 2096, 480, 670, 747, 
24, 2094, 484, 677, 743, 
25, 2098, 479, 674, 738, 
26, 2096, 485, 672, 738, 
27, 2101, 470, 685, 730, 
28, 2093, 473, 669, 739, 
29, 2100, 465, 677, 740, 
30, 2109, 485, 666, 735, 
31, 2098, 484, 671, 731, 
32, 2090, 466, 674, 742, 
33, 2094, 465, 672, 736, 
34, 2097, 473, 676, 738, 
35, 2100, 484, 670, 749, 
36, 2103, 483, 683, 740, 
37, 2090, 472, 667, 738, 
38, 2101, 479, 672, 745, 
39, 2105, 481, 677, 736, 
40, 2090, 480, 677, 749, 
41, 2095, 472, 683, 739, 
42, 2107, 481, 671, 736, 
43, 2090, 470, 667, 747, 
44, 2110, 483, 671, 745, 
45, 2105, 475, 676, 749, 
46, 2095, 481, 685, 745, 
47, 2110, 475, 669, 740, 
48, 2099, 468, 682, 744, 
49, 2105, 483, 679, 733, 
50, 2101, 469, 667, 746, 
51, 2097, 480, 673, 749, 
52, 2093, 468, 665, 738, 
53, 2104, 477, 685, 750, 
54, 2102, 482, 679, 741, 
55, 2104, 474, 670, 739, 
56, 2110, 471, 667, 732, 
57, 2107, 479, 671, 748, 
58, 2093, 485, 671, 742, 
59, 2096, 469, 669, 741, 
60, 2098, 469, 669, 731, 
61, 2103, 477, 684, 749, 
62, 2102, 484, 677, 744, 
63, 2102, 475, 681, 746, 
64, 2104, 466, 678, 747, 
65, 2097, 485, 667, 750, 
66, 2097, 482, 683, 730, 
67, 2096, 468, 670, 735, 
68, 2107, 476, 671, 750, 
69, 2096, 475, 681, 736, 
70, 2099, 470, 668, 732, 
71, 2100, 478, 677, 731, 
72, 2100, 481, 672, 737, 
73, 2099, 479, 676, 731, 
74, 2096, 483, 677, 742, 
75, 2107, 485, 667, 731, 
76, 2091, 483, 680, 731, 
77, 2092, 485, 669, 746, 
78, 2105, 465, 682, 744, 
79, 2098, 473, 666, 749, 
80, 2110, 467, 667, 734, 
81, 2102, 469, 676, 745, 
82, 2106, 481, 685, 738, 
83, 2090, 485, 684, 741, 
84, 2092, 477, 682, 743, 
85, 2098, 466, 683, 743, 
86, 2091, 474, 668, 741, 
87, 2098, 477, 680, 737, 
88, 2094, 473, 668, 737, 
89, 2105, 472, 678, 741, 
90, 2091, 483, 667, 738, 
91, 2100, 472, 679, 735, 
92, 2106, 479, 681, 738, 
93, 2103, 476, 674, 749, 
94, 2098, 483, 683, 733, 
95, 2105, 474, 680, 738, 
96, 2105, 475, 678, 739, 
97, 2100, 470, 672, 737, 
98, 2107, 470, 675, 746, 
99, 2110, 478, 682, 747, 
100, 2110, 469, 666, 737, 
101, 2091, 473, 671, 739, 
102, 2094, 472, 672, 738, 
103, 2097, 474, 672, 750, 
104, 2110, 481, 671, 750, 
105, 2109, 467, 669, 747, 
106, 2109, 467, 669, 733, 
107, 2099, 469, 670, 742, 
108, 2092, 476, 684, 732, 
109, 2095, 479, 670, 735, 
110, 2091, 484, 666, 739, 
111, 2108, 483, 665, 747, 
