nbElements: 2153
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2103, 468, 681, 733, 
1, 2099, 474, 675, 743, 
2, 2095, 472, 679, 749, 
3, 2108, 472, 666, 732, 
4, 2108, 467, 678, 733, 
5, 2105, 481, 668, 747, 
6, 2095, 477, 667, 746, 
7, 2104, 466, 674, 732, 
8, 2093, 467, 684, 732, 
9, 2105, 476, 666, 739, 
10, 2095, 480, 678, 738, 
11, 2091, 476, 671, 748, 
12, 2092, 485, 683, 734, 
13, 2090, 481, 669, 731, 
14, 2093, 484, 671, 749, 
15, 2100, 466, 684, 731, 
16, 2093, 465, 680, 734, 
17, 2091, 484, 674, 748, 
18, 2098, 474, 681, 748, 
19, 2107, 485, 666, 733, 
20, 2099, 471, 675, 749, 
21, 2110, 474, 684, 739, 
22, 2093, 469, 669, 735, 
23, 2102, 470, 666, 738, 
24, 2093, 476, 665, 747, 
25, 2110, 474, 671, 736, 
26, 2090, 479, 684, 750, 
27, 2105, 485, 669, 736, 
28, 2091, 471, 684, 750, 
29, 2104, 485, 683, 730, 
30, 2090, 470, 680, 739, 
31, 2090, 485, 665, 731, 
32, 2097, 476, 675, 749, 
33, 2094, 483, 681, 730, 
34, 2092, 467, 679, 730, 
35, 2106, 473, 685, 737, 
36, 2102, 477, 667, 748, 
37, 2109, 469, 675, 736, 
38, 2110, 484, 674, 730, 
39, 2102, 467, 679, 740, 
40, 2097, 485, 669, 733, 
41, 2105, 468, 666, 736, 
42, 2108, 476, 685, 743, 
43, 2092, 479, 679, 731, 
44, 2107, 479, 670, 748, 
45, 2109, 473, 674, 738, 
46, 2098, 474, 682, 740, 
47, 2107, 472, 677, 750, 
48, 2091, 484, 667, 748, 
49, 2091, 470, 682, 743, 
50, 2101, 478, 677, 747, 
51, 2097, 468, 675, 750, 
52, 2100, 484, 672, 746, 
53, 2093, 477, 685, 736, 
54, 2100, 466, 673, 741, 
55, 2093, 471, 680, 746, 
56, 2096, 468, 674, 733, 
57, 2090, 470, 667, 744, 
58, 2107, 472, 681, 733, 
59, 2110, 469, 669, 739, 
60, 2100, 482, 668, 739, 
61, 2107, 466, 676, 746, 
62, 2107, 485, 665, 734, 
63, 2103, 465, 684, 747, 
64, 2099, 466, 683, 744, 
65, 2107, 473, 670, 731, 
66, 2104, 466, 682, 738, 
67, 2108, 473, 671, 741, 
68, 2099, 476, 682, 743, 
69, 2092, 473, 668, 737, 
70, 2093, 470, 682, 730, 
71, 2100, 482, 682, 746, 
72, 2103, 466, 678, 747, 
73, 2108, 480, 665, 738, 
74, 2093, 468, 675, 745, 
75, 2102, 466, 676, 747, 
76, 2091, 468, 682, 749, 
77, 2096, 472, 681, 734, 
78, 2090, 485, 674, 735, 
79, 2107, 469, 679, 749, 
80, 2096, 466, 677, 749, 
81, 2106, 465, 679, 731, 
82, 2099, 467, 681, 749, 
83, 2106, 476, 676, 745, 
84, 2107, 465, 682, 749, 
85, 2095, 485, 666, 750, 
86, 2090, 467, 678, 740, 
87, 2107, 471, 667, 748, 
88, 2105, 467, 672, 731, 
89, 2100, 466, 674, 738, 
90, 2097, 475, 673, 733, 
91, 2092, 480, 669, 746, 
92, 2091, 472, 676, 745, 
93, 2104, 469, 685, 739, 
94, 2098, 472, 680, 744, 
95, 2100, 475, 667, 742, 
96, 2102, 470, 673, 750, 
97, 2095, 483, 685, 731, 
98, 2107, 480, 674, 743, 
99, 2110, 483, 683, 739, 
100, 2106, 485, 679, 746, 
101, 2090, 473, 667, 735, 
102, 2102, 465, 678, 750, 
103, 2102, 468, 675, 743, 
104, 2102, 476, 667, 734, 
105, 2107, 480, 678, 741, 
106, 2109, 476, 668, 749, 
107, 2099, 480, 667, 735, 
108, 2096, 484, 670, 745, 
109, 2104, 484, 683, 747, 
110, 2103, 482, 676, 745, 
111, 2092, 470, 669, 738, 
112, 2092, 485, 681, 744, 
113, 2091, 473, 667, 745, 
114, 2093, 473, 682, 732, 
115, 2092, 485, 676, 747, 
116, 2090, 477, 681, 741, 
117, 2106, 470, 680, 744, 
118, 2108, 476, 669, 737, 
119, 2094, 465, 670, 737, 
120, 2109, 485, 666, 735, 
121, 2103, 485, 675, 746, 
122, 2095, 466, 682, 733, 
123, 2100, 472, 676, 731, 
124, 2098, 482, 668, 747, 
125, 2100, 469, 671, 743, 
126, 2093, 479, 679, 744, 
127, 2107, 468, 673, 737, 
128, 2091, 479, 679, 748, 
129, 2100, 473, 678, 742, 
130, 2110, 480, 669, 748, 
131, 2098, 468, 665, 746, 
132, 2095, 476, 672, 736, 
133, 2110, 480, 674, 750, 
134, 2093, 483, 685, 750, 
135, 2097, 469, 681, 732, 
136, 2100, 473, 675, 732, 
137, 2099, 485, 672, 732, 
138, 2107, 476, 679, 738, 
139, 2091, 478, 685, 737, 
140, 2106, 479, 667, 732, 
141, 2100, 479, 671, 730, 
142, 2097, 472, 682, 739, 
143, 2097, 467, 678, 742, 
144, 2110, 474, 682, 732, 
145, 2100, 471, 681, 747, 
146, 2102, 481, 671, 732, 
147, 2091, 470, 679, 730, 
148, 2106, 481, 666, 736, 
149, 2106, 468, 680, 730, 
150, 2107, 474, 685, 749, 
151, 2104, 477, 673, 748, 
152, 2098, 473, 682, 730, 
153, 2106, 483, 675, 735, 
154, 2110, 468, 667, 745, 
155, 2097, 474, 666, 741, 
156, 2092, 485, 673, 743, 
157, 2106, 474, 665, 745, 
158, 2092, 468, 674, 745, 
159, 2108, 478, 682, 733, 
160, 2094, 477, 669, 749, 
161, 2102, 469, 683, 750, 
162, 2095, 471, 684, 743, 
163, 2101, 483, 674, 735, 
164, 2090, 468, 684, 736, 
165, 2090, 472, 676, 744, 
166, 2107, 476, 667, 738, 
167, 2106, 474, 685, 733, 
168, 2104, 469, 684, 750, 
169, 2098, 470, 665, 748, 
170, 2096, 484, 670, 741, 
171, 2097, 472, 680, 746, 
172, 2101, 472, 675, 743, 
173, 2108, 481, 673, 735, 
174, 2100, 481, 674, 730, 
175, 2094, 485, 670, 738, 
176, 2100, 484, 668, 736, 
177, 2091, 478, 680, 731, 
178, 2097, 470, 666, 741, 
179, 2097, 480, 679, 737, 
180, 2109, 471, 668, 732, 
181, 2102, 465, 676, 731, 
182, 2107, 479, 684, 749, 
183, 2098, 467, 675, 736, 
184, 2104, 465, 673, 733, 
185, 2101, 476, 670, 749, 
186, 2092, 476, 681, 744, 
187, 2097, 473, 666, 747, 
188, 2100, 472, 684, 750, 
189, 2098, 472, 666, 733, 
190, 2096, 474, 668, 731, 
191, 2094, 479, 673, 735, 
192, 2090, 466, 681, 746, 
193, 2091, 470, 671, 730, 
194, 2093, 478, 678, 732, 
195, 2104, 480, 676, 732, 
196, 2097, 477, 676, 740, 
197, 2095, 465, 676, 730, 
198, 2102, 476, 682, 750, 
199, 2100, 484, 682, 750, 
200, 2093, 465, 665, 734, 
201, 2102, 473, 675, 750, 
202, 2103, 476, 684, 744, 
203, 2110, 468, 673, 735, 
204, 2105, 467, 676, 731, 
205, 2104, 476, 683, 733, 
206, 2093, 483, 674, 750, 
207, 2109, 480, 672, 744, 
208, 2090, 467, 675, 746, 
209, 2090, 480, 682, 736, 
210, 2098, 471, 677, 750, 
211, 2105, 484, 685, 737, 
212, 2108, 474, 666, 743, 
213, 2105, 484, 683, 733, 
214, 2102, 482, 677, 748, 
215, 2103, 475, 670, 731, 
216, 2105, 474, 678, 737, 
217, 2094, 485, 679, 750, 
218, 2108, 477, 679, 747, 
219, 2106, 484, 678, 748, 
220, 2110, 477, 672, 741, 
221, 2103, 475, 678, 737, 
222, 2093, 476, 677, 738, 
223, 2106, 480, 674, 741, 
224, 2093, 472, 667, 743, 
225, 2090, 477, 665, 735, 
226, 2109, 480, 683, 746, 
227, 2106, 479, 680, 743, 
228, 2107, 470, 680, 743, 
229, 2105, 468, 675, 737, 
230, 2094, 474, 671, 737, 
231, 2106, 482, 679, 736, 
232, 2090, 465, 666, 734, 
233, 2101, 475, 677, 732, 
234, 2095, 476, 675, 737, 
235, 2095, 465, 685, 731, 
236, 2091, 477, 681, 735, 
237, 2100, 473, 672, 745, 
238, 2109, 469, 669, 732, 
239, 2108, 469, 684, 748, 
240, 2105, 478, 677, 731, 
241, 2100, 468, 680, 731, 
242, 2099, 469, 667, 747, 
243, 2101, 479, 668, 736, 
244, 2105, 482, 678, 749, 
