nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2104, 1481, 680, 483, 687, 470, 
1, 2105, 1481, 664, 503, 698, 469, 
2, 2113, 1476, 662, 484, 697, 474, 
3, 2111, 1486, 673, 474, 670, 499, 
4, 2096, 1479, 658, 500, 681, 474, 
5, 2110, 1479, 657, 473, 681, 481, 
6, 2112, 1494, 663, 474, 694, 472, 
7, 2110, 1485, 679, 485, 654, 503, 
8, 2095, 1469, 680, 478, 661, 497, 
9, 2110, 1467, 677, 475, 688, 465, 
10, 2104, 1483, 678, 475, 670, 479, 
11, 2097, 1485, 666, 470, 683, 467, 
12, 2113, 1487, 678, 472, 687, 475, 
13, 2102, 1482, 691, 470, 673, 482, 
14, 2104, 1477, 663, 493, 681, 468, 
15, 2110, 1474, 685, 472, 664, 495, 
16, 2107, 1488, 664, 483, 701, 476, 
17, 2112, 1483, 660, 498, 677, 472, 
18, 2105, 1479, 657, 490, 671, 468, 
19, 2103, 1488, 672, 476, 682, 479, 
20, 2103, 1485, 674, 490, 702, 466, 
21, 2108, 1473, 686, 480, 678, 488, 
22, 2108, 1478, 658, 484, 668, 479, 
23, 2110, 1488, 663, 489, 686, 481, 
24, 2105, 1478, 663, 481, 689, 467, 
25, 2109, 1472, 668, 481, 692, 470, 
26, 2110, 1499, 678, 477, 681, 486, 
27, 2109, 1475, 659, 485, 687, 485, 
28, 2111, 1488, 679, 465, 662, 489, 
29, 2102, 1479, 675, 476, 675, 474, 
30, 2109, 1484, 698, 469, 670, 484, 
31, 2102, 1466, 675, 484, 680, 483, 
32, 2103, 1479, 687, 471, 681, 481, 
33, 2104, 1483, 672, 486, 688, 483, 
34, 2107, 1462, 681, 472, 680, 483, 
35, 2103, 1469, 658, 495, 682, 467, 
36, 2105, 1492, 672, 474, 693, 484, 
37, 2105, 1472, 687, 466, 662, 480, 
38, 2102, 1482, 702, 467, 676, 473, 
39, 2110, 1499, 701, 481, 664, 474, 
40, 2106, 1482, 680, 479, 669, 491, 
41, 2113, 1478, 668, 470, 697, 484, 
42, 2106, 1465, 668, 478, 704, 466, 
43, 2106, 1481, 654, 494, 696, 467, 
44, 2109, 1488, 681, 479, 667, 476, 
45, 2112, 1467, 666, 488, 683, 478, 
46, 2106, 1485, 685, 469, 669, 489, 
47, 2109, 1497, 691, 482, 665, 489, 
48, 2102, 1481, 654, 492, 696, 466, 
49, 2100, 1488, 677, 482, 662, 487, 
50, 2109, 1481, 657, 500, 687, 475, 
51, 2102, 1492, 658, 477, 696, 473, 
52, 2111, 1477, 648, 496, 680, 483, 
53, 2114, 1499, 657, 487, 683, 466, 
54, 2108, 1483, 665, 481, 688, 472, 
55, 2099, 1479, 671, 476, 696, 477, 
56, 2095, 1479, 670, 479, 679, 484, 
57, 2105, 1472, 694, 478, 658, 483, 
58, 2110, 1481, 698, 467, 651, 494, 
59, 2111, 1490, 682, 467, 672, 483, 
60, 2112, 1480, 673, 474, 685, 473, 
61, 2107, 1486, 663, 489, 687, 466, 
62, 2104, 1477, 672, 489, 700, 465, 
63, 2106, 1485, 673, 470, 670, 470, 
64, 2112, 1491, 665, 491, 695, 484, 
65, 2101, 1479, 651, 492, 679, 484, 
66, 2099, 1497, 675, 470, 660, 489, 
67, 2111, 1480, 676, 483, 664, 494, 
68, 2095, 1487, 667, 486, 696, 483, 
69, 2112, 1469, 664, 483, 679, 474, 
70, 2101, 1464, 667, 478, 693, 478, 
71, 2104, 1486, 672, 485, 689, 475, 
72, 2103, 1470, 695, 468, 665, 486, 
73, 2111, 1482, 694, 484, 674, 487, 
74, 2097, 1476, 692, 465, 661, 502, 
75, 2113, 1477, 662, 483, 670, 466, 
76, 2106, 1473, 662, 488, 702, 483, 
77, 2096, 1473, 667, 476, 663, 471, 
78, 2100, 1489, 661, 471, 685, 480, 
79, 2111, 1481, 658, 495, 691, 479, 
80, 2101, 1482, 665, 487, 682, 481, 
81, 2109, 1492, 695, 482, 664, 486, 
82, 2095, 1483, 692, 478, 675, 485, 
83, 2114, 1487, 672, 469, 654, 501, 
84, 2101, 1495, 663, 498, 681, 479, 
85, 2111, 1472, 671, 467, 690, 469, 
86, 2109, 1467, 683, 469, 665, 491, 
87, 2109, 1469, 674, 473, 688, 477, 
88, 2110, 1480, 694, 481, 665, 474, 
89, 2103, 1481, 653, 487, 692, 472, 
90, 2108, 1474, 695, 474, 678, 484, 
91, 2101, 1472, 667, 478, 679, 478, 
92, 2106, 1484, 691, 485, 645, 493, 
93, 2100, 1487, 665, 501, 676, 470, 
94, 2097, 1476, 658, 493, 680, 484, 
95, 2106, 1477, 678, 480, 669, 476, 
96, 2109, 1492, 657, 476, 689, 470, 
97, 2100, 1483, 687, 483, 666, 489, 
98, 2099, 1493, 688, 480, 673, 495, 
99, 2105, 1479, 695, 468, 668, 480, 
100, 2110, 1465, 672, 483, 682, 476, 
101, 2107, 1487, 678, 489, 704, 472, 
102, 2114, 1493, 651, 501, 671, 476, 
103, 2110, 1492, 682, 482, 662, 487, 
104, 2097, 1475, 695, 477, 674, 482, 
105, 2108, 1483, 665, 472, 675, 469, 
106, 2098, 1484, 686, 484, 671, 478, 
107, 2113, 1478, 679, 475, 674, 472, 
108, 2106, 1493, 697, 473, 669, 487, 
109, 2106, 1481, 669, 472, 675, 467, 
110, 2111, 1472, 660, 491, 686, 472, 
111, 2097, 1473, 670, 469, 674, 481, 
112, 2111, 1471, 679, 473, 676, 476, 
113, 2106, 1480, 670, 483, 657, 479, 
114, 2111, 1472, 677, 471, 698, 476, 
115, 2102, 1482, 676, 482, 666, 484, 
116, 2091, 1495, 673, 480, 657, 490, 
117, 2108, 1489, 683, 480, 663, 481, 
118, 2106, 1482, 687, 480, 661, 494, 
119, 2114, 1485, 665, 477, 689, 468, 
120, 2104, 1466, 667, 476, 691, 478, 
121, 2102, 1489, 661, 490, 682, 470, 
122, 2097, 1482, 671, 470, 692, 485, 
123, 2097, 1476, 675, 486, 675, 467, 
124, 2097, 1483, 675, 477, 695, 484, 
125, 2108, 1480, 698, 475, 653, 492, 
126, 2104, 1486, 662, 498, 687, 482, 
127, 2110, 1486, 684, 484, 646, 485, 
128, 2109, 1469, 651, 486, 685, 476, 
129, 2105, 1483, 678, 485, 675, 494, 
130, 2111, 1478, 683, 471, 663, 488, 
131, 2109, 1492, 683, 479, 670, 487, 
132, 2108, 1472, 661, 497, 690, 485, 
133, 2103, 1483, 678, 476, 665, 480, 
134, 2109, 1474, 688, 481, 651, 497, 
135, 2094, 1472, 661, 485, 692, 483, 
136, 2103, 1481, 681, 470, 650, 502, 
137, 2111, 1489, 698, 481, 663, 496, 
138, 2100, 1469, 677, 488, 674, 470, 
139, 2113, 1481, 672, 476, 703, 478, 
140, 2107, 1482, 665, 481, 680, 479, 
141, 2108, 1479, 664, 494, 697, 479, 
142, 2105, 1479, 679, 480, 666, 491, 
143, 2107, 1479, 657, 487, 700, 480, 
144, 2106, 1496, 685, 469, 649, 492, 
145, 2113, 1484, 688, 478, 682, 467, 
146, 2098, 1488, 687, 482, 673, 487, 
147, 2093, 1490, 698, 485, 667, 480, 
148, 2101, 1479, 684, 480, 663, 484, 
149, 2106, 1480, 687, 470, 665, 481, 
150, 2113, 1473, 661, 472, 697, 469, 
151, 2109, 1481, 678, 480, 667, 495, 
152, 2109, 1497, 686, 484, 649, 498, 
153, 2101, 1481, 685, 465, 663, 482, 
154, 2111, 1476, 673, 468, 667, 475, 
155, 2104, 1498, 659, 492, 685, 476, 
156, 2111, 1483, 675, 492, 674, 483, 
157, 2109, 1469, 689, 480, 659, 482, 
158, 2097, 1475, 700, 469, 673, 482, 
159, 2102, 1470, 656, 479, 684, 474, 
160, 2093, 1482, 678, 468, 655, 492, 
161, 2114, 1498, 679, 483, 651, 484, 
162, 2110, 1467, 681, 485, 664, 489, 
163, 2100, 1468, 660, 480, 681, 485, 
164, 2108, 1480, 679, 472, 657, 487, 
165, 2108, 1488, 676, 482, 671, 472, 
166, 2106, 1477, 679, 474, 672, 485, 
167, 2105, 1483, 701, 477, 674, 480, 
168, 2106, 1483, 681, 472, 659, 488, 
169, 2110, 1471, 688, 466, 676, 485, 
170, 2114, 1482, 670, 494, 684, 474, 
171, 2100, 1482, 691, 465, 650, 492, 
172, 2105, 1484, 685, 484, 662, 500, 
173, 2101, 1480, 652, 498, 681, 476, 
174, 2102, 1478, 697, 472, 675, 473, 
175, 2106, 1492, 682, 476, 655, 478, 
176, 2110, 1492, 668, 482, 683, 466, 
177, 2102, 1462, 660, 487, 681, 482, 
178, 2102, 1491, 700, 477, 673, 491, 
179, 2108, 1493, 666, 489, 690, 479, 
180, 2105, 1477, 661, 498, 680, 485, 
181, 2106, 1487, 683, 481, 658, 492, 
182, 2104, 1478, 652, 487, 672, 483, 
183, 2108, 1480, 681, 484, 669, 482, 
184, 2111, 1496, 693, 480, 664, 478, 
185, 2114, 1488, 663, 486, 698, 469, 
186, 2102, 1483, 682, 484, 670, 491, 
187, 2105, 1482, 656, 495, 684, 466, 
188, 2104, 1468, 667, 476, 697, 465, 
189, 2105, 1485, 677, 471, 673, 483, 
190, 2108, 1466, 690, 471, 656, 493, 
191, 2107, 1478, 685, 471, 667, 470, 
192, 2113, 1491, 697, 476, 668, 473, 
193, 2107, 1475, 684, 478, 664, 479, 
194, 2112, 1497, 692, 471, 661, 477, 
195, 2108, 1484, 670, 488, 684, 484, 
196, 2106, 1468, 682, 472, 662, 487, 
197, 2111, 1479, 676, 484, 672, 489, 
198, 2114, 1479, 696, 481, 673, 481, 
199, 2112, 1488, 669, 473, 679, 479, 
