nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 475, 676, 743, 
1, 2108, 469, 677, 736, 
2, 2097, 479, 678, 739, 
3, 2110, 480, 678, 732, 
4, 2096, 476, 671, 731, 
5, 2102, 469, 677, 747, 
6, 2090, 480, 682, 740, 
7, 2108, 469, 685, 734, 
8, 2104, 483, 679, 734, 
9, 2101, 483, 671, 747, 
10, 2106, 483, 685, 739, 
11, 2099, 482, 685, 749, 
12, 2091, 479, 684, 734, 
13, 2094, 484, 685, 732, 
14, 2093, 482, 676, 730, 
15, 2098, 483, 679, 732, 
16, 2090, 485, 684, 746, 
17, 2108, 469, 682, 733, 
18, 2107, 468, 675, 746, 
19, 2103, 482, 665, 737, 
20, 2092, 480, 665, 750, 
21, 2099, 470, 675, 732, 
22, 2093, 466, 670, 747, 
23, 2092, 467, 673, 739, 
24, 2095, 474, 672, 735, 
25, 2099, 472, 670, 736, 
26, 2091, 482, 667, 732, 
27, 2102, 484, 676, 739, 
28, 2101, 472, 684, 745, 
29, 2096, 476, 673, 732, 
30, 2100, 467, 685, 739, 
31, 2098, 467, 667, 731, 
32, 2105, 478, 680, 736, 
33, 2093, 466, 668, 730, 
34, 2096, 472, 683, 740, 
35, 2098, 480, 684, 741, 
36, 2110, 475, 682, 740, 
37, 2099, 483, 668, 739, 
38, 2091, 476, 679, 742, 
39, 2094, 470, 667, 745, 
40, 2110, 481, 670, 746, 
41, 2109, 474, 678, 739, 
42, 2110, 465, 682, 736, 
43, 2109, 480, 679, 740, 
44, 2110, 476, 666, 746, 
45, 2108, 485, 677, 738, 
46, 2109, 485, 669, 750, 
47, 2095, 467, 684, 734, 
48, 2106, 479, 685, 747, 
49, 2108, 478, 684, 730, 
50, 2102, 467, 667, 731, 
51, 2095, 473, 668, 750, 
52, 2101, 478, 678, 731, 
53, 2094, 467, 676, 732, 
54, 2107, 466, 665, 745, 
55, 2099, 481, 668, 739, 
56, 2107, 483, 665, 731, 
57, 2092, 474, 678, 744, 
58, 2108, 479, 677, 736, 
59, 2110, 468, 674, 731, 
60, 2102, 476, 683, 750, 
61, 2099, 476, 672, 744, 
62, 2108, 465, 684, 747, 
63, 2098, 466, 682, 738, 
64, 2105, 480, 665, 741, 
65, 2103, 471, 678, 733, 
66, 2093, 484, 674, 745, 
67, 2108, 482, 685, 747, 
68, 2097, 473, 667, 737, 
69, 2091, 483, 677, 734, 
70, 2094, 484, 679, 730, 
71, 2097, 474, 684, 734, 
72, 2092, 483, 677, 737, 
73, 2108, 476, 685, 736, 
74, 2092, 475, 682, 744, 
75, 2110, 484, 667, 750, 
76, 2102, 472, 676, 735, 
