nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2092, 474, 666, 730, 
1, 2091, 475, 674, 742, 
2, 2095, 482, 671, 747, 
3, 2099, 485, 671, 736, 
4, 2105, 485, 669, 746, 
5, 2097, 484, 682, 742, 
6, 2110, 484, 674, 737, 
7, 2101, 467, 685, 730, 
8, 2094, 481, 677, 734, 
9, 2103, 468, 678, 735, 
10, 2096, 469, 666, 742, 
11, 2094, 482, 677, 742, 
12, 2096, 471, 669, 730, 
13, 2092, 480, 672, 738, 
14, 2091, 479, 665, 741, 
15, 2094, 470, 673, 746, 
16, 2098, 473, 677, 740, 
17, 2094, 482, 667, 738, 
18, 2095, 481, 676, 739, 
19, 2095, 480, 671, 736, 
20, 2106, 470, 677, 730, 
21, 2105, 482, 677, 741, 
22, 2102, 467, 679, 738, 
23, 2107, 477, 673, 750, 
24, 2096, 472, 678, 741, 
25, 2098, 476, 671, 730, 
26, 2105, 484, 667, 732, 
27, 2100, 471, 673, 742, 
28, 2102, 470, 667, 739, 
29, 2108, 465, 666, 736, 
30, 2108, 478, 671, 735, 
31, 2091, 480, 681, 732, 
32, 2094, 483, 677, 732, 
33, 2098, 480, 671, 741, 
34, 2093, 471, 682, 740, 
35, 2109, 476, 685, 740, 
36, 2101, 473, 679, 748, 
37, 2105, 474, 670, 737, 
38, 2103, 476, 666, 747, 
39, 2107, 471, 679, 746, 
40, 2090, 484, 684, 742, 
41, 2106, 480, 677, 735, 
42, 2108, 477, 668, 744, 
43, 2097, 484, 674, 749, 
44, 2094, 475, 676, 738, 
45, 2109, 469, 683, 730, 
46, 2094, 466, 675, 736, 
47, 2105, 483, 667, 730, 
48, 2100, 480, 670, 733, 
49, 2095, 468, 678, 744, 
50, 2097, 482, 668, 732, 
51, 2099, 476, 679, 741, 
52, 2107, 471, 679, 735, 
53, 2096, 482, 682, 746, 
54, 2102, 472, 678, 735, 
55, 2107, 484, 668, 744, 
56, 2106, 481, 683, 746, 
57, 2102, 472, 670, 745, 
58, 2090, 479, 675, 740, 
59, 2110, 467, 674, 746, 
60, 2101, 483, 669, 742, 
61, 2095, 465, 678, 735, 
62, 2101, 470, 674, 744, 
63, 2093, 468, 665, 736, 
64, 2098, 477, 681, 748, 
65, 2099, 481, 679, 749, 
66, 2092, 478, 672, 733, 
67, 2101, 470, 668, 733, 
68, 2110, 465, 665, 736, 
69, 2093, 468, 684, 743, 
70, 2102, 466, 667, 732, 
71, 2099, 480, 671, 742, 
72, 2107, 468, 669, 736, 
73, 2097, 484, 667, 745, 
74, 2098, 484, 680, 743, 
75, 2105, 484, 677, 740, 
76, 2101, 469, 674, 733, 
77, 2097, 483, 674, 738, 
78, 2097, 474, 669, 731, 
79, 2099, 474, 684, 743, 
80, 2103, 478, 671, 739, 
81, 2108, 481, 676, 739, 
82, 2093, 474, 685, 744, 
83, 2102, 480, 666, 736, 
84, 2100, 484, 683, 738, 
85, 2105, 485, 682, 737, 
86, 2090, 478, 674, 747, 
87, 2101, 467, 683, 743, 
88, 2097, 471, 671, 731, 
89, 2096, 477, 677, 738, 
90, 2106, 465, 683, 738, 
91, 2103, 480, 671, 743, 
92, 2106, 469, 680, 745, 
93, 2096, 466, 670, 733, 
94, 2095, 469, 683, 744, 
95, 2102, 474, 668, 749, 
96, 2104, 484, 675, 736, 
97, 2093, 471, 675, 733, 
98, 2103, 466, 682, 735, 
99, 2091, 485, 678, 739, 
100, 2099, 477, 676, 736, 
101, 2100, 480, 667, 747, 
102, 2090, 476, 665, 732, 
103, 2098, 465, 675, 744, 
104, 2092, 479, 666, 744, 
105, 2103, 485, 676, 740, 
106, 2108, 484, 682, 748, 
107, 2109, 477, 667, 750, 
108, 2103, 472, 678, 747, 
109, 2097, 469, 681, 731, 
110, 2103, 484, 668, 743, 
111, 2097, 472, 674, 734, 
112, 2100, 471, 681, 739, 
113, 2110, 468, 670, 745, 
114, 2099, 473, 674, 740, 
115, 2094, 469, 684, 730, 
116, 2105, 469, 677, 742, 
117, 2100, 473, 670, 732, 
118, 2110, 471, 673, 731, 
119, 2110, 474, 671, 745, 
120, 2102, 478, 682, 731, 
121, 2109, 481, 673, 732, 
122, 2099, 465, 668, 744, 
123, 2096, 482, 672, 742, 
124, 2106, 472, 675, 734, 
125, 2101, 477, 671, 744, 
126, 2106, 469, 684, 730, 
127, 2100, 468, 667, 730, 
128, 2091, 468, 674, 750, 
129, 2106, 484, 667, 739, 
130, 2091, 480, 666, 747, 
131, 2091, 474, 670, 737, 
132, 2104, 477, 670, 742, 
133, 2097, 469, 671, 730, 
134, 2097, 469, 672, 748, 
135, 2095, 466, 672, 734, 
136, 2096, 479, 684, 735, 
137, 2097, 475, 683, 749, 
