nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
0, 2087, 1472, 701, 482, 657, 484, 
1, 2096, 1478, 667, 483, 668, 498, 
2, 2095, 1480, 673, 484, 669, 484, 
3, 2106, 1469, 677, 470, 661, 493, 
4, 2095, 1460, 672, 484, 696, 473, 
5, 2108, 1475, 676, 485, 673, 486, 
6, 2101, 1475, 667, 483, 698, 472, 
7, 2104, 1482, 699, 484, 666, 480, 
8, 2107, 1474, 672, 484, 700, 466, 
9, 2102, 1479, 671, 478, 694, 476, 
10, 2103, 1471, 665, 465, 695, 483, 
11, 2103, 1481, 686, 483, 677, 471, 
12, 2096, 1466, 664, 490, 691, 466, 
13, 2099, 1458, 677, 475, 670, 485, 
14, 2104, 1472, 679, 486, 675, 471, 
15, 2107, 1477, 665, 472, 676, 471, 
16, 2100, 1470, 670, 467, 652, 500, 
17, 2093, 1479, 681, 486, 703, 471, 
18, 2093, 1474, 662, 501, 690, 469, 
19, 2103, 1487, 695, 471, 655, 491, 
20, 2101, 1489, 682, 473, 651, 490, 
21, 2110, 1466, 694, 466, 676, 484, 
22, 2105, 1482, 677, 473, 649, 488, 
23, 2094, 1480, 659, 489, 685, 484, 
24, 2100, 1480, 689, 482, 671, 476, 
25, 2106, 1473, 658, 482, 685, 474, 
26, 2093, 1482, 653, 490, 686, 481, 
27, 2102, 1476, 686, 483, 667, 491, 
28, 2108, 1481, 685, 476, 681, 481, 
29, 2109, 1467, 671, 478, 678, 467, 
30, 2101, 1483, 668, 474, 684, 468, 
31, 2108, 1473, 685, 471, 665, 483, 
32, 2109, 1460, 688, 469, 676, 484, 
33, 2103, 1475, 654, 497, 669, 487, 
34, 2092, 1474, 676, 470, 662, 481, 
35, 2100, 1473, 649, 483, 668, 480, 
36, 2100, 1474, 670, 487, 679, 480, 
37, 2098, 1484, 672, 496, 700, 483, 
38, 2089, 1467, 663, 490, 683, 485, 
39, 2107, 1475, 668, 473, 672, 478, 
40, 2106, 1471, 691, 471, 663, 492, 
41, 2105, 1465, 684, 477, 669, 470, 
42, 2104, 1484, 675, 478, 682, 470, 
43, 2106, 1498, 683, 483, 675, 470, 
44, 2103, 1465, 672, 482, 670, 487, 
45, 2102, 1473, 686, 482, 672, 487, 
46, 2099, 1474, 673, 488, 673, 477, 
47, 2094, 1475, 674, 481, 689, 476, 
48, 2102, 1496, 658, 496, 704, 473, 
49, 2099, 1484, 666, 483, 691, 475, 
50, 2108, 1465, 653, 486, 691, 483, 
51, 2106, 1485, 689, 474, 667, 482, 
52, 2094, 1481, 671, 476, 679, 479, 
53, 2095, 1496, 672, 481, 669, 483, 
54, 2088, 1488, 662, 483, 682, 468, 
55, 2095, 1487, 664, 475, 684, 485, 
56, 2102, 1459, 680, 470, 674, 479, 
57, 2094, 1478, 671, 484, 688, 484, 
58, 2106, 1484, 661, 479, 687, 475, 
59, 2093, 1477, 661, 489, 688, 466, 
60, 2089, 1480, 661, 498, 684, 476, 
61, 2101, 1468, 659, 486, 686, 466, 
62, 2099, 1471, 677, 480, 687, 479, 
63, 2104, 1478, 682, 467, 658, 499, 
64, 2106, 1486, 666, 494, 694, 472, 
65, 2096, 1489, 684, 471, 671, 487, 
66, 2107, 1469, 678, 471, 682, 469, 
67, 2105, 1478, 658, 479, 685, 479, 
68, 2110, 1460, 663, 483, 680, 475, 
69, 2099, 1492, 673, 491, 674, 472, 
70, 2102, 1471, 663, 488, 678, 465, 
71, 2102, 1479, 687, 479, 682, 474, 
72, 2103, 1486, 649, 503, 691, 475, 
73, 2097, 1463, 662, 502, 691, 476, 
74, 2108, 1474, 654, 487, 683, 485, 
75, 2108, 1494, 657, 482, 682, 481, 
76, 2102, 1481, 679, 479, 657, 492, 
77, 2105, 1478, 676, 470, 663, 494, 
78, 2106, 1469, 694, 473, 664, 491, 
79, 2095, 1480, 664, 489, 674, 479, 
80, 2102, 1489, 659, 474, 686, 472, 
81, 2105, 1489, 673, 471, 662, 503, 
82, 2096, 1479, 662, 493, 685, 472, 
83, 2107, 1467, 653, 488, 704, 481, 
84, 2098, 1467, 685, 482, 661, 493, 
85, 2102, 1476, 679, 468, 653, 488, 
86, 2103, 1478, 687, 483, 664, 490, 
87, 2105, 1489, 690, 471, 659, 490, 
88, 2103, 1483, 664, 490, 691, 475, 
89, 2093, 1473, 696, 472, 658, 493, 
90, 2099, 1464, 651, 483, 683, 467, 
91, 2094, 1484, 678, 472, 664, 483, 
92, 2103, 1472, 663, 490, 683, 481, 
93, 2104, 1493, 675, 478, 695, 483, 
94, 2095, 1478, 676, 484, 678, 475, 
95, 2103, 1473, 694, 474, 668, 487, 
96, 2096, 1473, 657, 500, 697, 484, 
97, 2103, 1484, 676, 473, 660, 480, 
98, 2090, 1486, 691, 485, 666, 487, 
99, 2104, 1494, 674, 476, 675, 482, 
100, 2092, 1486, 691, 481, 658, 479, 
101, 2091, 1488, 678, 478, 658, 479, 
102, 2098, 1483, 660, 482, 674, 471, 
103, 2105, 1469, 676, 469, 657, 498, 
104, 2094, 1478, 660, 485, 694, 472, 
105, 2110, 1462, 670, 476, 682, 487, 
106, 2096, 1475, 682, 486, 678, 474, 
107, 2096, 1473, 673, 473, 667, 493, 
108, 2109, 1482, 660, 488, 686, 466, 
109, 2099, 1467, 655, 503, 683, 466, 
110, 2093, 1468, 669, 483, 692, 471, 
111, 2108, 1481, 687, 479, 660, 495, 
112, 2103, 1472, 684, 482, 657, 494, 
113, 2102, 1472, 650, 484, 693, 475, 
114, 2101, 1493, 673, 467, 648, 489, 
115, 2103, 1494, 666, 489, 698, 473, 
116, 2098, 1470, 690, 475, 666, 486, 
117, 2090, 1473, 689, 480, 655, 483, 
118, 2100, 1477, 676, 468, 646, 495, 
119, 2096, 1493, 666, 489, 675, 470, 
120, 2098, 1468, 665, 496, 694, 472, 
121, 2097, 1471, 682, 485, 670, 470, 
122, 2102, 1473, 688, 482, 657, 488, 
123, 2105, 1477, 674, 484, 683, 475, 
124, 2105, 1473, 662, 478, 687, 477, 
125, 2102, 1482, 694, 484, 672, 478, 
126, 2104, 1479, 687, 469, 661, 477, 
127, 2099, 1473, 685, 472, 654, 491, 
128, 2105, 1463, 660, 484, 693, 479, 
129, 2092, 1470, 680, 466, 670, 485, 
130, 2102, 1471, 703, 478, 670, 467, 
131, 2096, 1494, 663, 493, 694, 469, 
132, 2095, 1488, 674, 474, 659, 485, 
133, 2097, 1465, 660, 481, 690, 469, 
134, 2090, 1477, 656, 486, 674, 476, 
135, 2092, 1477, 694, 470, 664, 488, 
136, 2105, 1472, 672, 479, 679, 471, 
137, 2102, 1490, 685, 468, 651, 481, 
138, 2104, 1473, 664, 484, 675, 468, 
139, 2093, 1468, 684, 473, 665, 497, 
140, 2089, 1461, 655, 491, 686, 480, 
141, 2107, 1485, 704, 476, 663, 483, 
142, 2102, 1467, 671, 494, 695, 474, 
143, 2102, 1459, 659, 482, 697, 467, 
144, 2111, 1477, 694, 466, 655, 475, 
145, 2111, 1467, 664, 493, 673, 469, 
146, 2090, 1477, 685, 479, 668, 481, 
147, 2101, 1467, 688, 481, 682, 466, 
148, 2102, 1470, 658, 480, 691, 479, 
149, 2112, 1476, 686, 470, 661, 478, 
150, 2097, 1483, 653, 505, 683, 470, 
151, 2106, 1465, 667, 478, 658, 487, 
152, 2107, 1470, 649, 500, 698, 466, 
153, 2089, 1469, 705, 467, 664, 492, 
154, 2107, 1474, 700, 472, 663, 485, 
155, 2096, 1458, 666, 494, 696, 481, 
156, 2103, 1482, 688, 473, 680, 471, 
157, 2103, 1482, 660, 487, 694, 477, 
158, 2093, 1477, 665, 496, 688, 482, 
159, 2108, 1459, 657, 489, 692, 477, 
160, 2106, 1460, 701, 468, 680, 472, 
161, 2101, 1478, 683, 477, 664, 497, 
162, 2094, 1482, 654, 485, 689, 482, 
163, 2104, 1482, 685, 475, 652, 487, 
164, 2099, 1477, 662, 498, 669, 483, 
165, 2097, 1476, 682, 476, 662, 474, 
166, 2104, 1477, 671, 479, 685, 466, 
167, 2096, 1461, 683, 472, 668, 479, 
168, 2100, 1464, 693, 475, 671, 488, 
