nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 468, 667, 733, 
1, 2099, 485, 669, 730, 
2, 2094, 475, 685, 733, 
3, 2101, 482, 682, 737, 
4, 2090, 483, 671, 746, 
5, 2093, 478, 666, 731, 
6, 2108, 468, 684, 732, 
7, 2099, 467, 680, 738, 
8, 2106, 472, 682, 745, 
9, 2107, 480, 684, 737, 
10, 2108, 470, 673, 743, 
11, 2110, 471, 670, 732, 
12, 2104, 482, 685, 730, 
13, 2100, 469, 672, 743, 
14, 2102, 481, 683, 747, 
15, 2096, 482, 671, 749, 
16, 2097, 470, 671, 735, 
17, 2094, 478, 678, 743, 
18, 2105, 466, 682, 735, 
19, 2091, 465, 685, 748, 
20, 2099, 480, 679, 747, 
21, 2097, 469, 681, 747, 
22, 2110, 471, 679, 743, 
23, 2103, 465, 673, 734, 
24, 2110, 473, 671, 749, 
25, 2095, 478, 681, 731, 
26, 2095, 475, 668, 735, 
27, 2093, 468, 677, 750, 
28, 2100, 483, 666, 733, 
29, 2102, 475, 675, 735, 
30, 2095, 484, 671, 733, 
31, 2102, 470, 680, 737, 
32, 2096, 471, 683, 737, 
33, 2090, 485, 671, 731, 
34, 2094, 478, 672, 748, 
35, 2091, 478, 678, 743, 
36, 2093, 476, 666, 733, 
37, 2092, 480, 682, 732, 
38, 2101, 480, 670, 736, 
39, 2098, 474, 682, 740, 
40, 2098, 483, 683, 743, 
41, 2103, 477, 670, 745, 
42, 2104, 465, 682, 740, 
43, 2101, 480, 684, 733, 
44, 2104, 466, 681, 738, 
45, 2106, 466, 667, 740, 
46, 2102, 474, 674, 732, 
47, 2093, 475, 667, 745, 
48, 2095, 472, 685, 733, 
49, 2110, 484, 680, 750, 
50, 2097, 465, 672, 742, 
51, 2096, 485, 681, 734, 
52, 2106, 468, 679, 730, 
53, 2094, 470, 678, 743, 
54, 2105, 473, 673, 737, 
55, 2110, 473, 668, 741, 
56, 2093, 467, 670, 737, 
57, 2092, 482, 683, 742, 
58, 2092, 475, 671, 730, 
59, 2098, 467, 674, 743, 
60, 2091, 480, 675, 732, 
61, 2108, 466, 672, 733, 
62, 2097, 485, 684, 747, 
63, 2107, 466, 670, 750, 
64, 2110, 465, 669, 734, 
65, 2102, 485, 685, 743, 
66, 2106, 473, 668, 743, 
67, 2108, 477, 678, 742, 
68, 2108, 474, 682, 743, 
69, 2102, 466, 671, 749, 
70, 2104, 484, 673, 732, 
71, 2104, 479, 678, 737, 
72, 2094, 468, 671, 742, 
73, 2094, 465, 675, 740, 
74, 2091, 479, 677, 740, 
75, 2090, 482, 668, 746, 
76, 2104, 477, 672, 745, 
77, 2095, 471, 667, 742, 
78, 2104, 484, 670, 731, 
79, 2105, 473, 677, 739, 
80, 2106, 480, 668, 743, 
81, 2090, 483, 676, 746, 
82, 2092, 473, 680, 731, 
83, 2092, 467, 685, 749, 
84, 2107, 467, 668, 740, 
85, 2097, 476, 684, 744, 
86, 2104, 470, 675, 739, 
87, 2109, 481, 669, 745, 
88, 2105, 469, 679, 750, 
89, 2106, 465, 685, 739, 
90, 2107, 468, 668, 744, 
91, 2106, 473, 670, 733, 
92, 2094, 469, 668, 741, 
93, 2093, 472, 683, 732, 
94, 2108, 476, 683, 738, 
95, 2090, 470, 676, 739, 
96, 2101, 475, 683, 738, 
97, 2104, 469, 668, 750, 
98, 2101, 465, 671, 745, 
99, 2105, 475, 683, 738, 
100, 2103, 472, 669, 741, 
101, 2108, 470, 674, 736, 
102, 2096, 478, 665, 730, 
103, 2109, 468, 681, 741, 
104, 2110, 483, 681, 745, 
105, 2092, 475, 679, 731, 
106, 2110, 475, 673, 740, 
107, 2106, 476, 680, 741, 
108, 2107, 471, 680, 745, 
109, 2093, 473, 680, 735, 
110, 2091, 484, 683, 743, 
111, 2107, 466, 669, 731, 
112, 2092, 478, 680, 741, 
113, 2107, 483, 684, 733, 
114, 2096, 484, 672, 749, 
115, 2108, 485, 676, 733, 
116, 2108, 467, 683, 743, 
117, 2107, 478, 684, 747, 
118, 2105, 467, 668, 750, 
119, 2092, 467, 683, 747, 
120, 2093, 468, 676, 741, 
121, 2104, 474, 684, 746, 
122, 2099, 481, 677, 748, 
123, 2104, 471, 673, 743, 
124, 2090, 474, 673, 739, 
125, 2099, 474, 681, 737, 
126, 2108, 475, 665, 735, 
127, 2091, 479, 665, 734, 
128, 2102, 466, 681, 732, 
129, 2107, 468, 669, 734, 
130, 2101, 482, 675, 733, 
131, 2096, 475, 670, 736, 
132, 2091, 473, 665, 748, 
133, 2097, 484, 670, 749, 
134, 2103, 475, 680, 746, 
135, 2105, 480, 674, 743, 
136, 2095, 476, 678, 738, 
137, 2096, 477, 681, 746, 
138, 2094, 482, 672, 748, 
139, 2099, 468, 671, 736, 
140, 2096, 477, 671, 749, 
141, 2109, 477, 678, 737, 
142, 2094, 466, 677, 732, 
143, 2107, 473, 677, 742, 
144, 2104, 468, 669, 737, 
145, 2090, 466, 669, 750, 
146, 2106, 465, 682, 737, 
147, 2096, 483, 666, 738, 
148, 2103, 481, 672, 730, 
149, 2108, 483, 681, 736, 
150, 2095, 482, 666, 734, 
151, 2094, 484, 669, 743, 
152, 2092, 477, 666, 749, 
153, 2093, 476, 677, 732, 
154, 2092, 473, 671, 742, 
155, 2094, 471, 666, 746, 
156, 2092, 472, 674, 738, 
157, 2095, 469, 677, 747, 
158, 2106, 473, 681, 730, 
159, 2100, 485, 666, 735, 
160, 2095, 480, 676, 745, 
161, 2104, 480, 673, 733, 
162, 2095, 476, 671, 739, 
163, 2109, 468, 685, 730, 
164, 2093, 478, 671, 734, 
165, 2109, 466, 666, 742, 
166, 2096, 472, 677, 747, 
167, 2091, 483, 683, 747, 
168, 2092, 485, 666, 731, 
169, 2097, 469, 669, 742, 
170, 2099, 478, 679, 742, 
171, 2107, 477, 668, 730, 
172, 2107, 476, 682, 733, 
173, 2101, 483, 668, 730, 
174, 2103, 477, 672, 740, 
175, 2097, 484, 667, 740, 
176, 2091, 482, 675, 746, 
177, 2099, 479, 671, 739, 
178, 2096, 471, 677, 739, 
179, 2101, 472, 667, 750, 
180, 2091, 466, 671, 732, 
181, 2104, 468, 670, 732, 
182, 2090, 466, 681, 747, 
183, 2105, 474, 679, 738, 
184, 2103, 480, 678, 731, 
185, 2103, 480, 671, 750, 
186, 2097, 469, 677, 732, 
187, 2095, 470, 672, 730, 
188, 2107, 465, 666, 745, 
189, 2093, 478, 673, 750, 
190, 2097, 467, 684, 744, 
191, 2092, 481, 678, 730, 
192, 2093, 483, 682, 744, 
193, 2110, 473, 684, 742, 
194, 2105, 481, 682, 735, 
195, 2105, 465, 683, 733, 
196, 2096, 475, 674, 735, 
197, 2107, 469, 676, 732, 
198, 2090, 485, 681, 738, 
199, 2104, 476, 665, 734, 
