nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
0, 2102, 477, 669, 730, 
1, 2108, 483, 682, 742, 
2, 2102, 483, 670, 739, 
3, 2093, 471, 679, 737, 
4, 2096, 475, 682, 746, 
5, 2095, 477, 682, 742, 
6, 2108, 469, 685, 749, 
7, 2103, 466, 673, 740, 
8, 2099, 481, 669, 730, 
9, 2107, 478, 670, 739, 
10, 2096, 483, 685, 740, 
11, 2106, 468, 669, 747, 
12, 2095, 484, 677, 736, 
13, 2096, 474, 669, 736, 
14, 2102, 465, 679, 740, 
15, 2096, 483, 666, 731, 
16, 2103, 475, 670, 745, 
17, 2106, 467, 674, 744, 
18, 2099, 474, 667, 732, 
19, 2099, 465, 676, 734, 
20, 2091, 481, 668, 749, 
21, 2100, 482, 674, 750, 
22, 2109, 482, 674, 748, 
23, 2094, 476, 665, 740, 
24, 2109, 467, 671, 736, 
25, 2097, 482, 665, 742, 
26, 2097, 485, 670, 734, 
27, 2098, 478, 683, 732, 
28, 2095, 475, 671, 748, 
29, 2105, 477, 665, 737, 
30, 2094, 475, 677, 738, 
31, 2110, 473, 670, 735, 
32, 2106, 476, 667, 742, 
33, 2098, 484, 678, 748, 
34, 2094, 466, 685, 735, 
35, 2110, 481, 670, 750, 
36, 2094, 482, 678, 748, 
37, 2100, 477, 668, 744, 
38, 2104, 469, 672, 734, 
39, 2098, 465, 684, 736, 
40, 2109, 471, 670, 750, 
41, 2092, 484, 674, 747, 
42, 2095, 474, 677, 739, 
43, 2102, 483, 679, 732, 
44, 2100, 466, 682, 744, 
45, 2099, 470, 680, 733, 
46, 2096, 481, 682, 741, 
47, 2105, 481, 674, 734, 
48, 2103, 473, 667, 732, 
49, 2109, 479, 672, 743, 
50, 2090, 479, 673, 736, 
51, 2096, 468, 672, 734, 
52, 2109, 474, 680, 744, 
53, 2094, 480, 682, 737, 
54, 2091, 472, 666, 747, 
55, 2096, 465, 666, 733, 
56, 2103, 483, 668, 737, 
57, 2090, 474, 668, 750, 
58, 2103, 467, 670, 737, 
59, 2102, 469, 673, 739, 
60, 2091, 479, 683, 749, 
61, 2104, 480, 685, 739, 
62, 2092, 472, 667, 737, 
63, 2100, 470, 678, 749, 
64, 2090, 485, 668, 735, 
65, 2109, 485, 675, 736, 
66, 2098, 468, 682, 734, 
67, 2103, 465, 674, 748, 
68, 2108, 481, 667, 731, 
69, 2098, 469, 670, 750, 
70, 2105, 481, 683, 738, 
71, 2090, 468, 675, 733, 
72, 2105, 485, 675, 750, 
73, 2092, 476, 674, 749, 
74, 2094, 480, 677, 741, 
75, 2090, 475, 678, 750, 
76, 2110, 470, 674, 732, 
77, 2107, 480, 672, 737, 
78, 2108, 474, 680, 739, 
79, 2101, 477, 666, 730, 
80, 2107, 473, 679, 730, 
81, 2103, 466, 673, 750, 
82, 2101, 470, 677, 739, 
83, 2108, 470, 675, 731, 
84, 2091, 471, 677, 748, 
85, 2092, 470, 684, 743, 
86, 2097, 485, 675, 736, 
87, 2093, 467, 673, 741, 
88, 2090, 474, 667, 736, 
89, 2103, 477, 681, 735, 
90, 2091, 481, 684, 738, 
91, 2090, 482, 675, 730, 
92, 2096, 471, 665, 748, 
93, 2105, 470, 665, 749, 
94, 2095, 477, 672, 736, 
95, 2093, 476, 668, 747, 
96, 2095, 480, 675, 745, 
97, 2105, 484, 685, 744, 
98, 2100, 481, 680, 739, 
99, 2090, 482, 670, 734, 
100, 2099, 485, 682, 743, 
101, 2092, 475, 667, 735, 
