nbElements: 200
index, largeur
0, 746, 
1, 757, 
2, 746, 
3, 740, 
4, 753, 
5, 754, 
6, 759, 
7, 756, 
8, 758, 
9, 753, 
10, 752, 
11, 746, 
12, 760, 
13, 743, 
14, 744, 
15, 748, 
16, 758, 
17, 751, 
18, 759, 
19, 756, 
20, 742, 
21, 747, 
22, 741, 
23, 749, 
24, 747, 
25, 744, 
26, 750, 
27, 743, 
28, 747, 
29, 753, 
30, 739, 
31, 750, 
32, 748, 
33, 748, 
34, 739, 
35, 753, 
36, 748, 
37, 741, 
38, 742, 
39, 741, 
40, 758, 
41, 741, 
42, 754, 
43, 754, 
44, 748, 
45, 752, 
46, 750, 
47, 754, 
48, 739, 
49, 754, 
50, 750, 
51, 760, 
52, 745, 
53, 740, 
54, 740, 
55, 753, 
56, 754, 
57, 740, 
58, 759, 
59, 751, 
60, 740, 
61, 753, 
62, 746, 
63, 745, 
64, 751, 
65, 754, 
66, 742, 
67, 739, 
68, 753, 
69, 757, 
70, 744, 
71, 746, 
72, 740, 
73, 758, 
74, 757, 
75, 757, 
76, 745, 
77, 757, 
78, 750, 
79, 760, 
80, 746, 
81, 752, 
82, 757, 
83, 757, 
84, 752, 
85, 741, 
86, 743, 
87, 743, 
88, 757, 
89, 745, 
90, 743, 
91, 743, 
92, 758, 
93, 748, 
94, 748, 
95, 754, 
96, 749, 
97, 748, 
98, 744, 
99, 754, 
100, 749, 
101, 754, 
102, 744, 
103, 747, 
104, 740, 
105, 745, 
106, 760, 
107, 744, 
108, 750, 
109, 752, 
110, 742, 
111, 753, 
112, 747, 
113, 750, 
114, 752, 
115, 757, 
116, 748, 
117, 743, 
118, 760, 
119, 750, 
120, 748, 
121, 742, 
122, 757, 
123, 753, 
124, 739, 
125, 739, 
126, 755, 
127, 759, 
128, 748, 
129, 751, 
130, 756, 
131, 757, 
132, 742, 
133, 753, 
134, 752, 
135, 748, 
136, 746, 
137, 748, 
138, 745, 
139, 749, 
140, 741, 
141, 748, 
142, 746, 
143, 757, 
144, 755, 
145, 744, 
146, 750, 
147, 749, 
148, 755, 
149, 756, 
150, 753, 
151, 747, 
152, 748, 
153, 754, 
154, 739, 
155, 748, 
156, 740, 
157, 756, 
158, 759, 
159, 756, 
160, 745, 
161, 751, 
162, 759, 
163, 757, 
164, 754, 
165, 744, 
166, 753, 
167, 757, 
168, 760, 
169, 754, 
170, 759, 
171, 745, 
172, 745, 
173, 753, 
174, 751, 
175, 742, 
176, 755, 
177, 745, 
178, 757, 
179, 758, 
180, 750, 
181, 752, 
182, 751, 
183, 747, 
184, 744, 
185, 742, 
186, 757, 
187, 754, 
188, 741, 
189, 757, 
190, 758, 
191, 760, 
192, 744, 
193, 743, 
194, 756, 
195, 756, 
196, 740, 
197, 745, 
198, 749, 
199, 741, 
