nbElements: 200
index, largeur
0, 743, 
1, 751, 
2, 740, 
3, 760, 
4, 760, 
5, 750, 
6, 746, 
7, 751, 
8, 754, 
9, 748, 
10, 753, 
11, 747, 
12, 753, 
13, 759, 
14, 744, 
15, 749, 
16, 746, 
17, 751, 
18, 745, 
19, 759, 
20, 740, 
21, 745, 
22, 749, 
23, 749, 
24, 739, 
25, 742, 
26, 743, 
27, 745, 
28, 753, 
29, 743, 
30, 740, 
31, 742, 
32, 741, 
33, 745, 
34, 746, 
35, 745, 
36, 743, 
37, 750, 
38, 753, 
39, 750, 
40, 760, 
41, 757, 
42, 742, 
43, 742, 
44, 755, 
45, 752, 
46, 755, 
47, 758, 
48, 741, 
49, 758, 
50, 745, 
51, 741, 
52, 743, 
53, 747, 
54, 758, 
55, 743, 
56, 750, 
57, 752, 
58, 753, 
59, 744, 
60, 741, 
61, 749, 
62, 751, 
63, 751, 
64, 750, 
65, 758, 
66, 754, 
67, 757, 
68, 741, 
69, 756, 
70, 746, 
71, 741, 
72, 746, 
73, 759, 
74, 751, 
75, 745, 
76, 757, 
77, 742, 
78, 754, 
79, 739, 
80, 756, 
81, 758, 
82, 744, 
83, 750, 
84, 756, 
85, 740, 
86, 758, 
87, 755, 
88, 760, 
89, 758, 
90, 749, 
91, 741, 
92, 756, 
93, 756, 
94, 745, 
95, 750, 
96, 749, 
97, 746, 
98, 753, 
99, 746, 
100, 753, 
101, 755, 
102, 740, 
103, 758, 
104, 755, 
105, 752, 
106, 746, 
107, 745, 
108, 751, 
109, 758, 
110, 746, 
111, 752, 
112, 752, 
113, 741, 
114, 756, 
115, 746, 
116, 750, 
117, 754, 
118, 749, 
119, 739, 
120, 757, 
121, 754, 
122, 741, 
123, 757, 
124, 758, 
125, 742, 
126, 760, 
127, 749, 
128, 748, 
129, 741, 
130, 740, 
131, 743, 
132, 740, 
133, 743, 
134, 760, 
135, 752, 
136, 757, 
137, 753, 
138, 739, 
139, 745, 
140, 760, 
141, 743, 
142, 748, 
143, 743, 
144, 749, 
145, 756, 
146, 757, 
147, 753, 
148, 756, 
149, 747, 
150, 741, 
151, 751, 
152, 753, 
153, 754, 
154, 749, 
155, 759, 
156, 756, 
157, 747, 
158, 740, 
159, 754, 
160, 746, 
161, 743, 
162, 755, 
163, 740, 
164, 758, 
165, 750, 
166, 752, 
167, 752, 
168, 750, 
169, 754, 
170, 753, 
171, 756, 
172, 744, 
173, 751, 
174, 745, 
175, 745, 
176, 746, 
177, 759, 
178, 748, 
179, 742, 
180, 750, 
181, 746, 
182, 756, 
183, 745, 
184, 742, 
185, 752, 
186, 739, 
187, 755, 
188, 744, 
189, 746, 
190, 740, 
191, 747, 
192, 749, 
193, 754, 
194, 756, 
195, 741, 
196, 751, 
197, 749, 
198, 751, 
199, 747, 
