nbElements: 200
index, largeur
0, 759, 
1, 743, 
2, 754, 
3, 746, 
4, 746, 
5, 741, 
6, 760, 
7, 742, 
8, 752, 
9, 753, 
10, 751, 
11, 749, 
12, 760, 
13, 750, 
14, 756, 
15, 748, 
16, 740, 
17, 757, 
18, 754, 
19, 750, 
20, 741, 
21, 750, 
22, 752, 
23, 743, 
24, 748, 
25, 753, 
26, 755, 
27, 757, 
28, 749, 
29, 742, 
30, 740, 
31, 758, 
32, 748, 
33, 746, 
34, 742, 
35, 741, 
36, 749, 
37, 740, 
38, 759, 
39, 742, 
40, 742, 
41, 753, 
42, 746, 
43, 741, 
44, 742, 
45, 750, 
46, 751, 
47, 750, 
48, 759, 
49, 756, 
50, 750, 
51, 759, 
52, 742, 
53, 753, 
54, 747, 
55, 746, 
56, 758, 
57, 755, 
58, 747, 
59, 759, 
60, 742, 
61, 750, 
62, 748, 
63, 757, 
64, 740, 
65, 754, 
66, 751, 
67, 752, 
68, 759, 
69, 748, 
70, 744, 
71, 746, 
72, 751, 
73, 751, 
74, 759, 
75, 743, 
76, 746, 
77, 747, 
78, 760, 
79, 751, 
80, 749, 
81, 755, 
82, 757, 
83, 753, 
84, 755, 
85, 749, 
86, 749, 
87, 755, 
88, 752, 
89, 756, 
90, 755, 
91, 752, 
92, 759, 
93, 744, 
94, 741, 
95, 759, 
96, 749, 
97, 747, 
98, 745, 
99, 755, 
100, 757, 
101, 749, 
102, 753, 
103, 755, 
104, 749, 
105, 755, 
106, 755, 
107, 746, 
108, 743, 
109, 752, 
110, 746, 
111, 754, 
112, 758, 
113, 753, 
114, 742, 
115, 756, 
116, 743, 
117, 750, 
118, 744, 
119, 745, 
120, 753, 
121, 750, 
122, 750, 
123, 745, 
124, 757, 
125, 744, 
126, 744, 
127, 745, 
128, 754, 
129, 758, 
130, 753, 
131, 749, 
132, 755, 
133, 752, 
134, 751, 
135, 750, 
136, 752, 
137, 742, 
138, 752, 
139, 760, 
140, 746, 
141, 751, 
142, 743, 
143, 758, 
144, 740, 
145, 758, 
146, 741, 
147, 748, 
148, 745, 
149, 744, 
150, 744, 
151, 741, 
152, 752, 
153, 760, 
154, 742, 
155, 756, 
156, 745, 
157, 752, 
158, 746, 
159, 757, 
160, 756, 
161, 759, 
162, 745, 
163, 754, 
164, 741, 
165, 749, 
166, 746, 
167, 757, 
168, 754, 
169, 745, 
170, 754, 
171, 745, 
172, 749, 
173, 754, 
174, 741, 
175, 742, 
176, 750, 
177, 758, 
178, 756, 
179, 746, 
180, 757, 
181, 749, 
182, 740, 
183, 746, 
184, 755, 
185, 756, 
186, 760, 
187, 744, 
188, 759, 
189, 742, 
190, 750, 
191, 742, 
192, 755, 
193, 750, 
194, 746, 
195, 751, 
196, 758, 
197, 747, 
198, 758, 
199, 751, 
