nbElements: 200
index, largeur
0, 754, 
1, 749, 
2, 753, 
3, 749, 
4, 741, 
5, 749, 
6, 755, 
7, 756, 
8, 746, 
9, 761, 
10, 749, 
11, 748, 
12, 758, 
13, 752, 
14, 755, 
15, 745, 
16, 760, 
17, 754, 
18, 743, 
19, 740, 
20, 758, 
21, 742, 
22, 751, 
23, 747, 
24, 756, 
25, 750, 
26, 753, 
27, 756, 
28, 752, 
29, 750, 
30, 746, 
31, 755, 
32, 742, 
33, 758, 
34, 744, 
35, 761, 
36, 759, 
37, 745, 
38, 746, 
39, 746, 
40, 743, 
41, 758, 
42, 741, 
43, 750, 
44, 752, 
45, 748, 
46, 742, 
47, 751, 
48, 749, 
49, 744, 
50, 749, 
51, 751, 
52, 749, 
53, 742, 
54, 745, 
55, 746, 
56, 748, 
57, 753, 
58, 760, 
59, 750, 
60, 753, 
61, 752, 
62, 741, 
63, 741, 
64, 748, 
65, 750, 
66, 746, 
67, 744, 
68, 756, 
69, 759, 
70, 758, 
71, 750, 
72, 751, 
73, 748, 
74, 752, 
75, 746, 
76, 747, 
77, 747, 
78, 754, 
79, 760, 
80, 743, 
81, 741, 
82, 742, 
83, 755, 
84, 757, 
85, 752, 
86, 753, 
87, 753, 
88, 747, 
89, 760, 
90, 742, 
91, 756, 
92, 741, 
93, 749, 
94, 756, 
95, 750, 
96, 758, 
97, 751, 
98, 758, 
99, 755, 
100, 750, 
101, 751, 
102, 749, 
103, 747, 
104, 753, 
105, 760, 
106, 745, 
107, 749, 
108, 747, 
109, 761, 
110, 756, 
111, 759, 
112, 755, 
113, 756, 
114, 749, 
115, 746, 
116, 755, 
117, 745, 
118, 760, 
119, 746, 
120, 744, 
121, 753, 
122, 742, 
123, 761, 
124, 744, 
125, 749, 
126, 750, 
127, 759, 
128, 755, 
129, 761, 
130, 745, 
131, 752, 
132, 756, 
133, 744, 
134, 741, 
135, 758, 
136, 748, 
137, 752, 
138, 746, 
139, 751, 
140, 750, 
141, 756, 
142, 750, 
143, 761, 
144, 757, 
145, 746, 
146, 758, 
147, 757, 
148, 757, 
149, 742, 
150, 742, 
151, 757, 
152, 757, 
153, 745, 
154, 751, 
155, 749, 
156, 750, 
157, 758, 
158, 752, 
159, 755, 
160, 744, 
161, 759, 
162, 741, 
163, 748, 
164, 754, 
165, 760, 
166, 748, 
167, 745, 
168, 756, 
169, 755, 
170, 744, 
171, 742, 
172, 752, 
173, 758, 
174, 752, 
175, 749, 
176, 748, 
177, 756, 
178, 743, 
179, 749, 
180, 751, 
181, 745, 
182, 755, 
183, 752, 
184, 753, 
185, 754, 
186, 761, 
187, 759, 
188, 749, 
189, 760, 
190, 749, 
191, 760, 
192, 749, 
193, 744, 
194, 759, 
195, 741, 
196, 747, 
197, 754, 
198, 742, 
199, 761, 
