nbElements: 200
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 123, 191, 
1, 32, 72, 
2, 65, 185, 
3, 164, 189, 
4, 102, 10, 
5, 98, 137, 
6, 154, 198, 
7, 138, 21, 
8, 72, 8, 
9, 110, 155, 
10, 129, 149, 
11, 76, 74, 
12, 124, 144, 
13, 17, 9, 
14, 187, 192, 
15, 90, 0, 
16, 77, 53, 
17, 140, 66, 
18, 139, 37, 
19, 85, 161, 
20, 81, 84, 
21, 168, 141, 
22, 75, 134, 
23, 128, 59, 
24, 82, 89, 
25, 71, 197, 
26, 49, 56, 
27, 198, 73, 
28, 40, 36, 
29, 47, 132, 
30, 56, 50, 
31, 35, 33, 
32, 89, 159, 
33, 176, 87, 
34, 153, 139, 
35, 41, 115, 
36, 111, 93, 
37, 171, 48, 
38, 180, 29, 
39, 130, 150, 
40, 155, 65, 
41, 73, 68, 
42, 172, 114, 
43, 66, 49, 
44, 195, 5, 
45, 53, 178, 
46, 94, 160, 
47, 134, 17, 
48, 126, 47, 
49, 18, 121, 
50, 101, 35, 
51, 109, 143, 
52, 11, 190, 
53, 167, 169, 
54, 148, 14, 
55, 8, 67, 
56, 37, 30, 
57, 127, 88, 
58, 118, 71, 
59, 13, 133, 
60, 166, 111, 
61, 45, 2, 
62, 149, 45, 
63, 120, 124, 
64, 6, 15, 
65, 147, 186, 
66, 57, 27, 
67, 22, 24, 
68, 43, 16, 
69, 86, 156, 
70, 84, 199, 
71, 95, 54, 
72, 143, 4, 
73, 108, 94, 
74, 105, 140, 
75, 14, 117, 
76, 67, 20, 
77, 28, 96, 
78, 78, 113, 
79, 64, 176, 
80, 42, 64, 
81, 119, 165, 
82, 142, 148, 
83, 23, 196, 
84, 125, 40, 
85, 114, 118, 
86, 99, 77, 
87, 133, 58, 
88, 192, 172, 
89, 93, 138, 
90, 196, 52, 
91, 117, 70, 
92, 188, 28, 
93, 34, 152, 
94, 29, 22, 
95, 136, 19, 
96, 79, 83, 
97, 145, 174, 
98, 36, 170, 
99, 96, 180, 
100, 83, 79, 
101, 48, 168, 
102, 157, 116, 
103, 179, 171, 
104, 74, 1, 
105, 190, 43, 
106, 27, 147, 
107, 131, 23, 
108, 38, 108, 
109, 165, 125, 
110, 52, 100, 
111, 115, 46, 
112, 0, 105, 
113, 69, 135, 
114, 144, 109, 
115, 9, 78, 
116, 5, 112, 
117, 107, 179, 
118, 163, 126, 
119, 141, 91, 
120, 54, 104, 
121, 193, 90, 
122, 177, 193, 
123, 70, 153, 
124, 186, 18, 
125, 112, 13, 
126, 21, 146, 
127, 50, 63, 
128, 91, 7, 
129, 80, 75, 
130, 178, 130, 
131, 189, 182, 
132, 194, 128, 
133, 197, 175, 
134, 1, 12, 
135, 12, 183, 
136, 113, 119, 
137, 174, 195, 
138, 97, 26, 
139, 92, 129, 
140, 116, 86, 
141, 61, 38, 
142, 132, 184, 
143, 104, 11, 
144, 162, 32, 
145, 10, 163, 
146, 160, 31, 
147, 100, 194, 
148, 68, 61, 
149, 121, 81, 
150, 58, 162, 
151, 3, 102, 
152, 161, 62, 
153, 151, 177, 
154, 2, 42, 
155, 55, 107, 
156, 33, 122, 
157, 158, 25, 
158, 15, 123, 
159, 137, 80, 
160, 20, 157, 
161, 62, 127, 
162, 4, 34, 
163, 7, 55, 
164, 185, 131, 
165, 183, 167, 
166, 181, 98, 
167, 87, 120, 
168, 182, 154, 
169, 156, 188, 
170, 122, 181, 
171, 44, 6, 
172, 30, 76, 
173, 146, 39, 
174, 184, 145, 
175, 175, 164, 
176, 159, 106, 
177, 88, 136, 
178, 59, 95, 
179, 150, 110, 
180, 169, 173, 
181, 24, 101, 
182, 46, 57, 
183, 103, 82, 
184, 25, 97, 
185, 106, 99, 
186, 170, 103, 
187, 26, 69, 
188, 199, 158, 
189, 60, 85, 
190, 39, 60, 
191, 152, 166, 
192, 16, 151, 
193, 19, 142, 
194, 191, 41, 
195, 51, 51, 
196, 31, 187, 
197, 173, 92, 
198, 63, 44, 
199, 135, 3, 
