nbElements: 200
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 197, 61, 
1, 147, 90, 
2, 35, 123, 
3, 52, 127, 
4, 75, 109, 
5, 78, 158, 
6, 28, 165, 
7, 70, 110, 
8, 38, 106, 
9, 142, 95, 
10, 91, 30, 
11, 20, 170, 
12, 168, 141, 
13, 21, 152, 
14, 160, 59, 
15, 129, 137, 
16, 43, 66, 
17, 198, 3, 
18, 106, 43, 
19, 120, 37, 
20, 178, 92, 
21, 188, 190, 
22, 79, 171, 
23, 156, 172, 
24, 127, 183, 
25, 181, 42, 
26, 9, 179, 
27, 130, 74, 
28, 94, 77, 
29, 171, 24, 
30, 193, 39, 
31, 123, 79, 
32, 118, 73, 
33, 152, 25, 
34, 194, 88, 
35, 149, 120, 
36, 133, 28, 
37, 115, 53, 
38, 6, 80, 
39, 0, 9, 
40, 86, 15, 
41, 76, 69, 
42, 27, 19, 
43, 14, 93, 
44, 150, 149, 
45, 102, 105, 
46, 74, 198, 
47, 67, 177, 
48, 34, 117, 
49, 162, 46, 
50, 179, 130, 
51, 121, 187, 
52, 47, 50, 
53, 189, 56, 
54, 10, 163, 
55, 141, 178, 
56, 103, 128, 
57, 60, 108, 
58, 23, 16, 
59, 84, 103, 
60, 45, 174, 
61, 55, 72, 
62, 36, 159, 
63, 128, 112, 
64, 96, 100, 
65, 77, 194, 
66, 44, 81, 
67, 98, 161, 
68, 132, 6, 
69, 135, 139, 
70, 186, 166, 
71, 105, 129, 
72, 175, 4, 
73, 81, 75, 
74, 144, 12, 
75, 69, 68, 
76, 170, 121, 
77, 139, 157, 
78, 32, 199, 
79, 83, 133, 
80, 68, 185, 
81, 92, 191, 
82, 30, 167, 
83, 66, 70, 
84, 37, 64, 
85, 50, 18, 
86, 153, 2, 
87, 119, 23, 
88, 159, 85, 
89, 11, 138, 
90, 62, 35, 
91, 19, 124, 
92, 173, 186, 
93, 53, 175, 
94, 151, 101, 
95, 124, 26, 
96, 17, 91, 
97, 169, 125, 
98, 143, 49, 
99, 49, 188, 
100, 24, 104, 
101, 42, 131, 
102, 165, 87, 
103, 97, 156, 
104, 71, 173, 
105, 59, 118, 
106, 110, 122, 
107, 1, 5, 
108, 80, 135, 
109, 93, 189, 
110, 185, 84, 
111, 117, 47, 
112, 57, 8, 
113, 87, 62, 
114, 104, 115, 
115, 134, 111, 
116, 26, 34, 
117, 61, 65, 
118, 72, 51, 
119, 109, 119, 
120, 191, 192, 
121, 51, 136, 
122, 137, 113, 
123, 184, 140, 
124, 180, 89, 
125, 114, 184, 
126, 190, 55, 
127, 16, 13, 
128, 154, 196, 
129, 63, 67, 
130, 25, 78, 
131, 138, 143, 
132, 182, 71, 
133, 145, 1, 
134, 64, 147, 
135, 116, 99, 
136, 177, 45, 
137, 90, 32, 
138, 5, 58, 
139, 82, 126, 
140, 40, 40, 
141, 39, 182, 
142, 33, 31, 
143, 155, 44, 
144, 146, 162, 
145, 158, 155, 
146, 163, 17, 
147, 122, 148, 
148, 56, 27, 
149, 89, 153, 
150, 48, 63, 
151, 199, 114, 
152, 18, 176, 
153, 148, 193, 
154, 7, 144, 
155, 176, 20, 
156, 95, 10, 
157, 41, 154, 
158, 183, 116, 
159, 100, 195, 
160, 65, 102, 
161, 2, 86, 
162, 172, 60, 
163, 29, 54, 
164, 112, 94, 
165, 58, 52, 
166, 131, 14, 
167, 166, 57, 
168, 125, 150, 
169, 136, 96, 
170, 8, 76, 
171, 22, 0, 
172, 140, 82, 
173, 4, 145, 
174, 73, 134, 
175, 3, 197, 
176, 187, 180, 
177, 99, 11, 
178, 111, 132, 
179, 46, 160, 
180, 113, 97, 
181, 157, 38, 
182, 167, 181, 
183, 15, 36, 
184, 108, 146, 
185, 174, 33, 
186, 195, 7, 
187, 161, 48, 
188, 85, 164, 
189, 196, 151, 
190, 54, 98, 
191, 31, 29, 
192, 12, 21, 
193, 88, 22, 
194, 101, 41, 
195, 13, 83, 
196, 107, 168, 
197, 164, 169, 
198, 126, 142, 
199, 192, 107, 
