nbElements: 50
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 0, 27, 
1, 1, 47, 
2, 18, 20, 
3, 3, 29, 
4, 4, 39, 
5, 13, 10, 
6, 44, 6, 
7, 7, 16, 
8, 42, 34, 
9, 49, 7, 
10, 38, 4, 
11, 43, 46, 
12, 15, 1, 
13, 31, 22, 
14, 14, 32, 
15, 24, 36, 
16, 16, 44, 
17, 17, 17, 
18, 35, 13, 
19, 19, 19, 
20, 32, 42, 
21, 34, 49, 
22, 30, 2, 
23, 33, 15, 
24, 11, 24, 
25, 5, 3, 
26, 29, 26, 
27, 27, 25, 
28, 40, 23, 
29, 8, 12, 
30, 48, 30, 
31, 41, 31, 
32, 28, 14, 
33, 46, 28, 
34, 12, 21, 
35, 26, 35, 
36, 47, 0, 
37, 2, 9, 
38, 25, 48, 
39, 39, 37, 
40, 23, 41, 
41, 6, 8, 
42, 45, 11, 
43, 20, 43, 
44, 10, 38, 
45, 37, 45, 
46, 22, 33, 
47, 36, 18, 
48, 21, 40, 
49, 9, 5, 
