nbElements: 50
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 11, 26, 
1, 10, 20, 
2, 6, 29, 
3, 0, 40, 
4, 29, 48, 
5, 27, 13, 
6, 25, 23, 
7, 36, 43, 
8, 20, 35, 
9, 47, 19, 
10, 12, 8, 
11, 49, 39, 
12, 38, 47, 
13, 23, 42, 
14, 16, 49, 
15, 40, 0, 
16, 9, 46, 
17, 7, 18, 
18, 44, 24, 
19, 19, 27, 
20, 14, 45, 
21, 5, 36, 
22, 13, 44, 
23, 30, 5, 
24, 48, 15, 
25, 46, 34, 
26, 26, 28, 
27, 28, 22, 
28, 2, 11, 
29, 34, 32, 
30, 18, 30, 
31, 3, 33, 
32, 4, 4, 
33, 39, 3, 
34, 45, 25, 
35, 41, 2, 
36, 1, 14, 
37, 35, 38, 
38, 22, 41, 
39, 8, 6, 
40, 32, 7, 
41, 24, 1, 
42, 37, 16, 
43, 15, 10, 
44, 33, 17, 
45, 43, 21, 
46, 31, 37, 
47, 17, 31, 
48, 42, 9, 
49, 21, 12, 
