nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 1851, 1018, 
1, 1143, 445, 
2, 1318, 1041, 
3, 1474, 1590, 
4, 758, 1439, 
5, 1843, 921, 
6, 1641, 448, 
7, 2078, 976, 
8, 185, 1578, 
9, 2103, 2129, 
10, 1935, 1134, 
11, 523, 744, 
12, 574, 689, 
13, 1773, 74, 
14, 2025, 543, 
15, 1468, 1524, 
16, 879, 522, 
17, 2008, 659, 
18, 424, 1659, 
19, 1505, 443, 
20, 1597, 1694, 
21, 279, 161, 
22, 59, 1113, 
23, 1405, 846, 
24, 1809, 1869, 
25, 1187, 1697, 
26, 1509, 1884, 
27, 1749, 1602, 
28, 15, 230, 
29, 2057, 2051, 
30, 149, 187, 
31, 312, 1304, 
32, 670, 160, 
33, 2090, 2134, 
34, 1176, 409, 
35, 1222, 1751, 
36, 766, 2089, 
37, 1934, 135, 
38, 869, 535, 
39, 1932, 819, 
40, 1171, 171, 
41, 1066, 586, 
42, 1825, 1060, 
43, 1021, 1395, 
44, 717, 2054, 
45, 2023, 619, 
46, 666, 500, 
47, 2091, 1899, 
48, 409, 359, 
49, 351, 98, 
50, 1709, 370, 
51, 1513, 933, 
52, 480, 1192, 
53, 2036, 893, 
54, 2126, 1739, 
55, 1682, 377, 
56, 1020, 1471, 
57, 1207, 1989, 
58, 851, 483, 
59, 419, 1370, 
60, 477, 342, 
61, 1387, 114, 
62, 1490, 1386, 
63, 1064, 1913, 
64, 2147, 1139, 
65, 1351, 2097, 
66, 1054, 1774, 
67, 163, 1762, 
68, 1494, 1713, 
69, 1092, 180, 
70, 904, 174, 
71, 408, 133, 
72, 516, 875, 
73, 287, 1655, 
74, 1402, 2128, 
75, 2148, 1600, 
76, 1398, 902, 
77, 1046, 1004, 
78, 690, 697, 
79, 1944, 1559, 
80, 522, 1334, 
81, 1090, 796, 
82, 960, 960, 
83, 951, 173, 
84, 687, 1586, 
85, 1795, 1374, 
86, 645, 1845, 
87, 1327, 979, 
88, 957, 892, 
89, 1960, 1217, 
90, 292, 1572, 
91, 250, 895, 
92, 1210, 1775, 
93, 728, 89, 
94, 1409, 1999, 
95, 1610, 1784, 
96, 1897, 1064, 
97, 673, 1749, 
98, 573, 1597, 
99, 172, 922, 
100, 1890, 1143, 
101, 1969, 225, 
102, 1249, 1872, 
103, 2136, 1620, 
104, 1211, 1575, 
105, 1245, 2071, 
106, 1023, 78, 
107, 631, 552, 
108, 614, 1938, 
109, 1227, 583, 
110, 536, 2056, 
111, 917, 1456, 
112, 1117, 1296, 
113, 1177, 1393, 
114, 1414, 2145, 
115, 56, 1952, 
116, 1865, 1170, 
117, 20, 978, 
118, 1504, 1042, 
119, 137, 2013, 
120, 1439, 27, 
121, 2109, 292, 
122, 652, 1918, 
123, 64, 1281, 
124, 1619, 1403, 
125, 885, 1498, 
126, 1170, 1750, 
127, 473, 708, 
128, 1754, 1690, 
129, 1121, 1862, 
130, 803, 1568, 
131, 73, 2001, 
132, 1462, 904, 
133, 23, 1094, 
134, 1307, 146, 
135, 824, 1755, 
136, 1579, 1736, 
137, 1466, 178, 
138, 604, 118, 
139, 811, 769, 
140, 492, 1409, 
141, 1736, 723, 
142, 959, 2084, 
143, 1873, 2131, 
144, 102, 9, 
145, 136, 317, 
146, 273, 266, 
147, 2061, 970, 
148, 882, 1327, 
149, 1870, 55, 
150, 1215, 525, 
151, 46, 1404, 
152, 2112, 517, 
153, 775, 1804, 
154, 2063, 101, 
155, 1769, 1246, 
156, 2144, 2109, 
157, 2079, 1085, 
158, 1765, 1623, 
159, 1933, 674, 
160, 1518, 2103, 
161, 428, 757, 
162, 1089, 1093, 
163, 1772, 618, 
164, 1225, 1740, 
165, 2043, 1335, 
166, 2133, 1570, 
167, 74, 2036, 
168, 761, 973, 
169, 1428, 1852, 
170, 1119, 751, 
171, 277, 494, 
172, 596, 868, 
173, 76, 2033, 
174, 1570, 240, 
175, 612, 269, 
176, 1108, 1185, 
177, 667, 1382, 
178, 1764, 1722, 
179, 1144, 1102, 
180, 691, 212, 
181, 1762, 1005, 
182, 776, 1535, 
183, 1259, 1782, 
184, 186, 1609, 
185, 788, 1160, 
186, 176, 1012, 
187, 760, 1028, 
188, 1192, 1820, 
189, 248, 1371, 
190, 196, 1072, 
191, 1399, 901, 
192, 1280, 106, 
193, 1140, 841, 
194, 411, 2112, 
195, 1190, 826, 
196, 2069, 1076, 
197, 120, 1898, 
198, 1380, 2139, 
199, 298, 229, 
200, 601, 1036, 
201, 296, 109, 
202, 440, 937, 
203, 836, 1849, 
204, 1552, 1672, 
205, 1534, 1930, 
206, 1638, 906, 
207, 1334, 1940, 
208, 1664, 63, 
209, 1458, 1818, 
210, 253, 867, 
211, 1286, 475, 
212, 1229, 248, 
213, 1275, 700, 
214, 1436, 732, 
215, 307, 1929, 
216, 805, 1429, 
217, 1999, 881, 
218, 345, 568, 
219, 483, 823, 
220, 31, 820, 
221, 2076, 319, 
222, 820, 843, 
223, 1392, 2009, 
224, 840, 341, 
225, 462, 1557, 
226, 638, 394, 
227, 606, 1205, 
228, 630, 95, 
229, 1085, 170, 
230, 870, 336, 
231, 1957, 835, 
232, 1118, 774, 
233, 1771, 1432, 
234, 1083, 1796, 
235, 1442, 585, 
236, 221, 1550, 
237, 1724, 1543, 
238, 294, 460, 
239, 427, 1297, 
240, 603, 994, 
241, 1806, 1613, 
242, 1061, 1062, 
243, 1871, 1190, 
244, 1230, 1719, 
245, 1545, 562, 
246, 509, 1063, 
247, 300, 2090, 
248, 487, 1949, 
249, 575, 1944, 
250, 1488, 1127, 
251, 125, 645, 
252, 1840, 1141, 
253, 555, 1596, 
254, 839, 1378, 
255, 1486, 276, 
256, 1449, 1781, 
257, 1469, 759, 
258, 1867, 1350, 
259, 180, 352, 
260, 1982, 1075, 
261, 1801, 824, 
262, 743, 291, 
263, 1846, 524, 
264, 936, 947, 
265, 381, 1915, 
266, 444, 1931, 
267, 447, 764, 
268, 1075, 1987, 
269, 795, 762, 
270, 493, 954, 
271, 1142, 1460, 
272, 1163, 931, 
273, 1983, 485, 
274, 619, 596, 
275, 1391, 1709, 
276, 2081, 72, 
277, 370, 951, 
278, 810, 331, 
279, 1037, 1657, 
280, 1472, 31, 
281, 1223, 117, 
282, 330, 2070, 
283, 1699, 1138, 
284, 713, 714, 
285, 405, 804, 
286, 2041, 656, 
287, 2034, 2104, 
288, 189, 1860, 
289, 1169, 1187, 
290, 358, 466, 
291, 646, 1252, 
292, 924, 1426, 
293, 42, 1840, 
294, 798, 1311, 
295, 514, 646, 
296, 726, 1810, 
297, 1911, 1551, 
298, 1295, 997, 
299, 2146, 1628, 
300, 245, 1716, 
301, 1842, 1725, 
302, 664, 51, 
303, 1728, 838, 
304, 127, 1691, 
305, 1885, 848, 
306, 613, 518, 
307, 484, 741, 
308, 1663, 1448, 
309, 1931, 808, 
310, 499, 1772, 
311, 1740, 1207, 
312, 642, 1791, 
313, 718, 772, 
314, 1604, 465, 
315, 683, 1212, 
316, 1284, 861, 
317, 818, 263, 
318, 53, 1627, 
319, 1956, 800, 
320, 1767, 2119, 
321, 660, 32, 
322, 1807, 1078, 
323, 1182, 1052, 
324, 757, 946, 
325, 2050, 1883, 
326, 829, 232, 
327, 774, 1389, 
328, 1055, 1497, 
329, 838, 218, 
330, 1070, 1490, 
331, 580, 526, 
332, 1003, 1923, 
333, 1952, 1216, 
334, 1516, 1098, 
335, 1526, 1799, 
336, 336, 905, 
337, 698, 739, 
338, 507, 685, 
339, 63, 1485, 
340, 1251, 1866, 
341, 1630, 496, 
342, 1333, 616, 
343, 1217, 322, 
344, 1332, 1043, 
345, 1805, 2042, 
346, 538, 1515, 
347, 329, 1789, 
348, 40, 578, 
349, 109, 1927, 
350, 442, 353, 
351, 585, 321, 
352, 1742, 510, 
353, 1365, 2125, 
354, 927, 570, 
355, 1062, 512, 
356, 1212, 339, 
357, 1729, 2008, 
358, 1452, 1514, 
359, 1346, 112, 
360, 2086, 1508, 
361, 2145, 1445, 
362, 948, 48, 
363, 896, 1738, 
364, 1672, 884, 
365, 29, 559, 
366, 725, 1394, 
367, 1971, 1155, 
368, 1869, 687, 
369, 1550, 2023, 
370, 1476, 1330, 
371, 1489, 558, 
372, 942, 412, 
373, 862, 1555, 
374, 68, 391, 
375, 1348, 1685, 
376, 863, 1731, 
377, 1194, 1165, 
378, 8, 15, 
379, 1042, 1401, 
380, 1979, 477, 
381, 931, 1183, 
382, 1437, 1996, 
383, 17, 1766, 
384, 1120, 1122, 
385, 1078, 122, 
386, 834, 608, 
387, 1565, 1405, 
388, 259, 1726, 
389, 38, 1316, 
390, 581, 1705, 
391, 1811, 453, 
392, 1884, 1467, 
393, 515, 2044, 
394, 171, 1106, 
395, 1008, 802, 
396, 77, 948, 
397, 684, 606, 
398, 1686, 1592, 
399, 389, 1068, 
400, 106, 332, 
401, 979, 1985, 
402, 859, 1427, 
403, 1128, 1854, 
404, 2095, 1541, 
405, 182, 149, 
406, 1311, 845, 
407, 1763, 2142, 
408, 285, 29, 
409, 1685, 162, 
410, 1723, 952, 
411, 1904, 479, 
412, 290, 1955, 
413, 1416, 1086, 
414, 1493, 282, 
415, 178, 46, 
416, 1097, 205, 
417, 1539, 1107, 
418, 1164, 1449, 
419, 98, 812, 
420, 261, 2041, 
421, 1440, 1108, 
422, 70, 1979, 
423, 1315, 1895, 
424, 1060, 368, 
425, 583, 2082, 
426, 1992, 277, 
427, 1370, 94, 
428, 344, 1994, 
429, 1512, 1532, 
430, 254, 2025, 
431, 1745, 546, 
432, 569, 405, 
433, 97, 2000, 
434, 945, 916, 
435, 1129, 1233, 
436, 1645, 1123, 
437, 215, 942, 
438, 1244, 82, 
439, 174, 139, 
440, 2031, 1670, 
441, 364, 719, 
442, 2080, 1787, 
443, 1026, 1888, 
444, 854, 1611, 
445, 586, 1345, 
446, 1278, 2029, 
447, 624, 1199, 
448, 96, 216, 
449, 780, 1089, 
450, 1947, 1699, 
451, 47, 1961, 
452, 676, 1560, 
453, 1655, 684, 
454, 753, 1209, 
455, 1104, 911, 
456, 2013, 484, 
457, 997, 920, 
458, 131, 1337, 
459, 883, 454, 
460, 1620, 594, 
461, 813, 1580, 
462, 1048, 50, 
463, 858, 580, 
464, 2002, 651, 
465, 255, 1398, 
466, 2017, 1926, 
467, 519, 853, 
468, 147, 807, 
469, 730, 878, 
470, 1401, 1763, 
471, 696, 1175, 
472, 1358, 676, 
473, 486, 196, 
474, 1583, 1425, 
475, 1139, 1538, 
476, 412, 396, 
477, 1962, 1890, 
478, 781, 400, 
479, 508, 1714, 
480, 1918, 334, 
481, 542, 136, 
482, 1939, 2005, 
483, 187, 1124, 
484, 9, 1354, 
485, 1705, 1473, 
486, 910, 223, 
487, 2098, 1681, 
488, 1496, 1283, 
489, 616, 537, 
490, 1954, 1601, 
491, 1706, 641, 
492, 737, 574, 
493, 1322, 786, 
494, 1422, 982, 
495, 1501, 1339, 
496, 383, 1593, 
497, 1498, 134, 
498, 587, 1737, 
499, 1833, 1505, 
500, 1542, 1908, 
501, 104, 949, 
502, 1861, 711, 
503, 1907, 2015, 
504, 1582, 1466, 
505, 769, 1636, 
506, 1640, 1844, 
507, 1538, 440, 
508, 1832, 1275, 
509, 1198, 832, 
510, 1566, 129, 
511, 651, 2146, 
512, 682, 673, 
513, 1704, 1969, 
514, 291, 1710, 
515, 801, 1865, 
516, 1737, 1223, 
517, 377, 153, 
518, 860, 21, 
519, 2001, 1807, 
520, 1635, 1279, 
521, 85, 255, 
522, 360, 1522, 
523, 65, 870, 
524, 202, 701, 
525, 1592, 1544, 
526, 139, 96, 
527, 455, 2059, 
528, 566, 1717, 
529, 443, 837, 
530, 2000, 468, 
531, 414, 554, 
532, 965, 1743, 
533, 964, 630, 
534, 1857, 755, 
535, 1631, 444, 
536, 173, 1110, 
537, 502, 116, 
538, 1022, 293, 
539, 1938, 66, 
540, 124, 1343, 
541, 1678, 194, 
542, 113, 600, 
543, 1188, 569, 
544, 2027, 1708, 
545, 1038, 221, 
546, 1800, 1434, 
547, 1150, 1077, 
548, 10, 663, 
549, 21, 702, 
550, 190, 361, 
551, 2021, 829, 
552, 1766, 2012, 
553, 984, 406, 
554, 359, 2096, 
555, 1065, 1648, 
556, 304, 7, 
557, 1615, 2106, 
558, 495, 1525, 
559, 212, 438, 
560, 617, 2064, 
561, 2058, 1095, 
562, 976, 1249, 
563, 2072, 115, 
564, 445, 668, 
565, 146, 1227, 
566, 1371, 1153, 
567, 962, 1693, 
568, 1862, 705, 
569, 1653, 487, 
570, 397, 1166, 
571, 1981, 873, 
572, 2129, 372, 
573, 693, 1225, 
574, 1586, 1850, 
575, 593, 1417, 
576, 663, 877, 
577, 1717, 1837, 
578, 1274, 1420, 
579, 1633, 2055, 
580, 1492, 1288, 
581, 1132, 563, 
582, 1381, 737, 
583, 1114, 1450, 
584, 313, 2003, 
585, 100, 980, 
586, 749, 1877, 
587, 2108, 1104, 
588, 111, 91, 
589, 474, 809, 
590, 1157, 794, 
591, 5, 1416, 
592, 1213, 42, 
593, 1606, 1607, 
594, 1987, 2147, 
595, 831, 347, 
596, 570, 386, 
597, 1948, 77, 
598, 1974, 2045, 
599, 1237, 1324, 
600, 280, 1978, 
601, 644, 615, 
602, 1203, 1805, 
603, 662, 184, 
604, 782, 766, 
605, 1937, 2058, 
606, 553, 993, 
607, 441, 1469, 
608, 158, 1039, 
609, 2082, 1431, 
610, 1757, 1701, 
611, 1316, 1130, 
612, 992, 528, 
613, 922, 1747, 
614, 62, 1349, 
615, 1487, 521, 
616, 1319, 1553, 
617, 1361, 1549, 
618, 1167, 384, 
619, 747, 1228, 
620, 1632, 623, 
621, 2135, 814, 
622, 913, 1753, 
623, 1133, 1707, 
624, 1553, 1066, 
625, 1817, 2075, 
626, 552, 119, 
627, 75, 1632, 
628, 1372, 557, 
629, 706, 415, 
630, 1430, 1035, 
631, 421, 418, 
632, 478, 1932, 
633, 320, 2092, 
634, 1347, 364, 
635, 12, 73, 
636, 343, 1652, 
637, 1751, 1998, 
638, 937, 268, 
639, 1475, 1916, 
640, 1888, 1020, 
641, 1734, 447, 
642, 755, 742, 
643, 1309, 614, 
644, 1506, 1663, 
645, 826, 1433, 
646, 933, 604, 
647, 1738, 1164, 
648, 828, 175, 
649, 2024, 930, 
650, 1404, 1472, 
651, 1519, 1496, 
652, 457, 1200, 
653, 1293, 1503, 
654, 607, 1941, 
655, 1621, 209, 
656, 1798, 1897, 
657, 24, 1381, 
658, 837, 335, 
659, 802, 534, 
660, 379, 499, 
661, 1200, 660, 
662, 894, 894, 
663, 276, 1059, 
664, 723, 1780, 
665, 1894, 1375, 
666, 1994, 1258, 
667, 416, 5, 
668, 367, 480, 
669, 2151, 381, 
670, 1978, 1013, 
671, 1608, 1676, 
672, 237, 692, 
673, 142, 935, 
674, 1852, 1581, 
675, 2064, 219, 
676, 1503, 1832, 
677, 1984, 928, 
678, 1941, 516, 
679, 105, 629, 
680, 1337, 1771, 
681, 1875, 2107, 
682, 1929, 2080, 
683, 475, 1821, 
684, 812, 599, 
685, 308, 1412, 
686, 1787, 1415, 
687, 1053, 81, 
688, 350, 1240, 
689, 57, 2021, 
690, 785, 1830, 
691, 1593, 1255, 
692, 2119, 87, 
693, 489, 1506, 
694, 584, 1348, 
695, 1153, 1277, 
696, 265, 693, 
697, 955, 2002, 
698, 1088, 883, 
699, 1525, 2066, 
700, 324, 1180, 
701, 1174, 1250, 
702, 286, 885, 
703, 1208, 2043, 
704, 1448, 14, 
705, 1254, 1474, 
706, 972, 1669, 
707, 1697, 797, 
708, 877, 1303, 
709, 521, 773, 
710, 901, 1447, 
711, 1774, 2102, 
712, 1456, 450, 
713, 720, 939, 
714, 1922, 650, 
715, 1283, 1494, 
716, 181, 39, 
717, 1886, 891, 
718, 754, 1331, 
719, 1521, 977, 
720, 2120, 241, 
721, 868, 519, 
722, 128, 492, 
723, 778, 249, 
724, 949, 1960, 
725, 557, 257, 
726, 355, 378, 
727, 1988, 683, 
728, 649, 2081, 
729, 1835, 1263, 
730, 1859, 362, 
731, 1563, 709, 
732, 921, 1836, 
733, 1880, 738, 
734, 1162, 267, 
735, 1135, 120, 
736, 1100, 60, 
737, 621, 1353, 
738, 543, 1317, 
739, 32, 984, 
740, 1460, 312, 
741, 224, 47, 
742, 1558, 1587, 
743, 1930, 1834, 
744, 348, 1161, 
745, 1574, 429, 
746, 1323, 1825, 
747, 1860, 2116, 
748, 1743, 654, 
749, 634, 876, 
750, 471, 896, 
751, 1464, 788, 
752, 2088, 647, 
753, 1951, 1718, 
754, 816, 237, 
755, 777, 104, 
756, 66, 795, 
757, 1363, 459, 
758, 43, 2144, 
759, 595, 888, 
760, 1388, 357, 
761, 1677, 1006, 
762, 1145, 790, 
763, 1761, 1051, 
764, 709, 80, 
765, 806, 1552, 
766, 845, 192, 
767, 1368, 2123, 
768, 716, 2083, 
769, 1248, 2098, 
770, 1427, 363, 
771, 907, 1957, 
772, 880, 1151, 
773, 319, 1453, 
774, 117, 344, 
775, 1878, 1079, 
776, 210, 1971, 
777, 1411, 246, 
778, 1549, 182, 
779, 1972, 138, 
780, 141, 56, 
781, 1024, 950, 
782, 1067, 1476, 
783, 262, 1321, 
784, 1325, 779, 
785, 208, 1326, 
786, 1802, 1893, 
787, 1569, 1573, 
788, 981, 855, 
789, 1481, 1274, 
790, 365, 1864, 
791, 786, 852, 
792, 1214, 1856, 
793, 1759, 41, 
794, 246, 132, 
795, 609, 1293, 
796, 239, 1282, 
797, 1115, 288, 
798, 1760, 1885, 
799, 2130, 1197, 
800, 2048, 1744, 
801, 26, 495, 
802, 145, 1757, 
803, 2004, 1811, 
804, 1, 481, 
805, 1485, 1536, 
806, 496, 866, 
807, 2045, 1483, 
808, 1231, 1925, 
809, 1383, 203, 
810, 524, 436, 
811, 729, 2126, 
812, 2137, 1204, 
813, 1081, 915, 
814, 564, 1256, 
815, 1138, 681, 
816, 539, 632, 
817, 150, 770, 
818, 2054, 2057, 
819, 1226, 1741, 
820, 1776, 648, 
821, 1845, 432, 
822, 1461, 1040, 
823, 532, 1397, 
824, 1696, 1338, 
825, 269, 1819, 
826, 2020, 283, 
827, 626, 1900, 
828, 1722, 532, 
