nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
0, 1395, 978, 
1, 2062, 311, 
2, 1731, 829, 
3, 622, 1598, 
4, 315, 674, 
5, 1219, 1654, 
6, 272, 1602, 
7, 156, 373, 
8, 26, 984, 
9, 342, 2133, 
10, 948, 987, 
11, 1, 1697, 
12, 311, 754, 
13, 1831, 1308, 
14, 1348, 212, 
15, 1429, 2121, 
16, 951, 94, 
17, 650, 733, 
18, 888, 221, 
19, 71, 1018, 
20, 1297, 555, 
21, 911, 1340, 
22, 759, 1373, 
23, 597, 1425, 
24, 1196, 1675, 
25, 685, 1521, 
26, 871, 698, 
27, 349, 158, 
28, 623, 2107, 
29, 1099, 1375, 
30, 1739, 1531, 
31, 814, 149, 
32, 1400, 717, 
33, 2120, 1053, 
34, 402, 1645, 
35, 839, 444, 
36, 51, 1496, 
37, 584, 134, 
38, 2140, 335, 
39, 1962, 1698, 
40, 96, 145, 
41, 1476, 759, 
42, 1481, 1866, 
43, 97, 783, 
44, 2005, 1365, 
45, 1825, 116, 
46, 1125, 1753, 
47, 290, 1050, 
48, 78, 974, 
49, 153, 2000, 
50, 1642, 31, 
51, 724, 1637, 
52, 1985, 368, 
53, 787, 2041, 
54, 764, 962, 
55, 433, 235, 
56, 1540, 1370, 
57, 1652, 2122, 
58, 2143, 2080, 
59, 1893, 585, 
60, 1404, 274, 
61, 1674, 1950, 
62, 1823, 1742, 
63, 1947, 745, 
64, 1381, 1046, 
65, 365, 372, 
66, 1192, 1259, 
67, 1031, 786, 
68, 2057, 1385, 
69, 1362, 71, 
70, 2058, 711, 
71, 190, 1560, 
72, 968, 1527, 
73, 574, 1886, 
74, 726, 1079, 
75, 1751, 257, 
76, 492, 207, 
77, 195, 797, 
78, 1001, 704, 
79, 197, 630, 
80, 795, 979, 
81, 649, 1021, 
82, 368, 1875, 
83, 314, 47, 
84, 813, 294, 
85, 4, 975, 
86, 1415, 758, 
87, 1497, 619, 
88, 503, 973, 
89, 2144, 1468, 
90, 1087, 1312, 
91, 1398, 1458, 
92, 1764, 654, 
93, 250, 1559, 
94, 2151, 1371, 
95, 554, 599, 
96, 1142, 736, 
97, 1421, 2019, 
98, 1733, 724, 
99, 1636, 2062, 
100, 1307, 1384, 
101, 667, 1157, 
102, 418, 707, 
103, 811, 920, 
104, 944, 953, 
105, 1228, 166, 
106, 794, 1176, 
107, 1105, 914, 
108, 1177, 1252, 
109, 1618, 62, 
110, 1409, 135, 
111, 1924, 2120, 
112, 1543, 1655, 
113, 1323, 556, 
114, 1180, 222, 
115, 88, 687, 
116, 1749, 1231, 
117, 679, 1748, 
118, 141, 473, 
